id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
9,Республиканская Мемориальная Компания компания ритуальных услуг,73902358463; 79233920001; 73902353932; 73902329960; 70281027102,"просп. Дружбы Народов, 2, Абакан, Абакан",https://rmk19.ru/,kvmk-abakan@mail.ru,Абакан,,A,45,No,unknown,No,https://t.me/+79232954390,,https://api.whatsapp.com/send?phone=79232954390
18,"КаменьПро, компания по изготовлению памятников и благоустройству ...",79330984758; 75889330984,г. Абакан 2025,https://stonepro-abakan.ru/,89330984758@bk.ru; 18-933-098-47-5889330984758@bk.ru; 933-098-47-5889330984758@bk.ru,Абакан,,A,42,No,tilda,No,https://t.me/Stonepro_abakan,,
10,Долина Камней гранитная мастерская художников и камнерезов,79833732222; 79134487460,"Кирпичная ул., 11, Абакан, Абакан",http://памятники-абакан.рф/,d.kamnei@mail.ru,Абакан,,B,35,No,unknown,No,https://t.me/+79833732222,,
15,Абакан-гранит,73902267374; 79020103377,"Кожевенная ул., 28, Абакан, Абакан",http://abakan-granit.ru/,,Абакан,,B,35,Yes,unknown,No,https://t.me/+73902267374,,
8,Гравер Мастер гранитная мастерская,79134487461; 73902320460; 79532590460,"Промышленная ул., 7Е, Абакан, Абакан",http://www.graver-master.net/,goncharenya@gmail.com,Абакан,,B,32,No,joomla,No,https://t.me/+79134487461,https://vk.com/memorial19,
23,Изготовлениепамятниковв Мариуполе. Продажапамятников...,79496017019; 79498214385; 79493570535,"г. Мариуполь, ул. Сталеварная",https://xn----7sbabkhptsslekcgj7bzq.xn--p1ai/,,Абакан,,B,30,No,unknown,No,https://t.me/+79496017019,,
19,My Site,79020103377,,https://quatro81.wixsite.com/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Абакан,,B,27,Yes,unknown,No,https://t.me/+79020103377,,
16,Граниты России,79134415335; 79232154640,"Республика Хакасия, Абакан, Абакан",,,Абакан,,B,25,No,unknown,No,https://t.me/+79134415335,,
11,Гранит,79235926409,"Республика Хакасия, 95Н-153, Абакан",,,Абакан,,C,20,No,unknown,No,https://t.me/+79235926409,,
13,Енисей камень,79237587739,"Республика Хакасия, Алтайский район, Абакан",,,Абакан,,C,20,No,unknown,No,https://t.me/+79237587739,,
17,АхТас,79232157710,"Кирпичная ул., 25, Абакан, Абакан",,,Абакан,,C,20,No,unknown,No,https://t.me/+79232157710,,
20,Прямоугольные памятники из гранита в Абакане - цена и фото в каталоге,79785971717; 79885811717; 70172111195,"г. Абакан, ул. Чертыгашева",https://abakan.rm-ryabina.ru/,rim-ryabina@yandex.ru,Абакан,,C,20,No,unknown,No,https://t.me/+79785971717,,
22,Купитьпамятникис аркойизгранитаи мрамора на могилу...,79185568320; 79892201077; 79882409747; 79618559078; 79618555089,,https://donetsk.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Абакан,,C,17,No,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
