id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
35,Гранитная мастерская «Камень памяти»,79884862981; 79180200986; 79180522828; 79676647555; 79528571237; 79824811620,"ул. Новосёлов, 56, Абинск, Абинск",https://memorygranit.ru/,memorygranit@mail.ru,Абинск,,A,48,No,wordpress,No,https://t.me/+79180200986,https://vk.com/pamyat23,https://api.whatsapp.com/send?phone=79180522828
40,Изготовление памятников Абинск / Памятники на заказ,79181555554; 79821903475,г  памятников с 3,https://monument23.ru/,monymentbelora@mail.ru,Абинск,,B,38,No,wordpress,No,https://t.me/+79181555554,,
38,Небо Одно,79097535050,,https://abinsk.nebo-odno.ru/,op.nebo1@gmail.com,Абинск,,B,37,No,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
46,Изготовлениепамятникови мемориальных комплексов из...,79535311809,,https://prime-granit.ru/,info@prime-granit.ru,Абинск,,B,33,Yes,wordpress,No,https://t.me/+79535311809,https://vk.com/pamyatnikiizgranita,
41,Изготовление памятников на могилу в г. Абинск - Центр гранита,79184378000; 79885278000; 70709896871; 79182594359; 79182648000,"г. Сочи, ул. ул",https://granitkamen.ru/,granitkamen.ru@mail.ru,Абинск,,B,31,No,wordpress,Yes,http://telegram.me/+79885278000,,
39,"Изготовление памятников в Абинске: адреса и телефоны, список ...",79181236337; 74957726644; 74959977398; 74956912990; 74959605333; 74957300006; 74959330001; 74956998918; 74957805991; 74957839213; 74952281880; 74956950158; 74954115341; 74957711070; 74951070910; 74956166626; 74956916145; 74957397653; 74956287922; 74992386061; 74957898019; 79857783757; 74957777100; 74957717070; 74953892111; 74957796906; 74953660187; 74952320160; 74953524981; 74991727692; 74959798877; 79267765678; 79267765680; 79250111375; 79031739507; 74952580042; 79267765729; 79055083828; 79267765682; 79031735819,,https://www.plan1.ru/,your@email.com,Абинск,,B,30,No,unknown,No,https://t.me/+79181236337,,
44,Изготовлениепамятниковв Волгограде,78442504400; 79275093365; 78442503828; 79275103828; 78442509009; 79275095009; 78442745444; 78442270207,,https://xn--34-6kc6akkhn3a3k.xn--p1ai/,korotkov.pro@yandex.ru,Абинск,,B,30,No,joomla,No,https://t.me/+78442504400,https://vk.com/obeliscvlg,
43,Изготовлениеи установкапамятниковвАбинске,79182699977; 79531133563,,https://abinsk.zakaz-pamyatnik.ru/,,Абинск,,B,28,No,wordpress,No,https://t.me/+79182699977,,
42,Изготовлениепамятниковна могилу вАбинскепо цене от 18900...,79892201077; 79882409747; 79618559078; 79618555089,,https://abinsk.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Абинск,,C,22,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
36,Компания по изготовлению и продаже памятников,79180599600,"ул. Советов, 120, Абинск, Абинск",,,Абинск,,C,20,No,unknown,No,https://t.me/+79180599600,,
47,"Памятник из гранита Рябина 1, купить по низкой цене в Абинске | Ритуалум",79182792792; 72375001374,,https://abinsk.ritualum.ru/,zakaz@ritualum.ru; krd.ritualum@yandex.ru,Абинск,,C,15,No,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
37,Памятники из гранита - купить в Абинске по выгодной цене,79183999916,,https://altair-master.ru/,aldan05@yandex.ru,Абинск,,D,10,No,unknown,No,https://t.me/+79183999916,,
34,Чёрный обелиск,,"Тульская ул., 60, Абинск, Абинск",,,Абинск,,D,5,No,unknown,No,,,
