id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
631,Стикс,79029113243; 79082142274; 79951722274,"ул. Чкалова, 32, Ачинск, Ачинск",https://styx.tb.ru/,,Ачинск,,A,40,No,unknown,No,https://t.me/+79029113243,,https://api.whatsapp.com/send?phone=79029113243
642,Ритуальная мастерская Александрит,79302381020; 79200111008,,https://diadema52.ru/,grs1bor@mail.ru; diadema-52@yandex.ru,Ачинск,,A,40,No,unknown,No,https://t.me/+79302381020,,https://api.whatsapp.com/send?phone=79302381020
633,Некрополь бюро ритуальных услуг,79138396644; 79134446479,"ул. Льва Толстого, 63А, Ачинск, Ачинск",http://некрополь24.рф/,nekropol24@mail.ru,Ачинск,,B,38,No,wordpress,No,https://t.me/+79138396644,,
637,Похоронный Дом Белый Ангел,73912097707; 79233252000,"18, 1-й Юго-Восточный микрорайон, Ачинск, Ачинск",,,Ачинск,,B,37,No,unknown,No,https://t.me/+7(923)3252000,,https://api.whatsapp.com/send?phone=79233252000
632,Ритуал Гарант,79960531053,"ул. Дзержинского, 30Д, Ачинск, Ачинск",https://vk.link/,,Ачинск,,B,35,No,unknown,No,https://t.me/+79960531053,https://vk.com/rityal_garant_achinsk,https://api.whatsapp.com/send?phone=79960531053
638,Данила-Мастер,79022234935; 79022202052,,https://achinsk.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Ачинск,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=achinsk,
634,Ритуал + Сервис специализированная ритуальная служба,73915178593; 79538493990; 73915193990,"ул. Ленина, 22А, Ачинск, Ачинск",,,Ачинск,,B,25,No,unknown,No,https://t.me/+73915178593,,
636,Харон,79131880799; 73915150105,"ул. Льва Толстого, 51Б, Ачинск, Ачинск",,,Ачинск,,B,25,No,unknown,No,https://t.me/+79131880799,https://vk.com/haron_achinsk,
643,Памятникиизгранита- купить по доступной цене вАчинске,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://achinsk.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Ачинск,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
629,Памятники,79504012242,"ул. Дзержинского, 43А, Ачинск, Ачинск",,,Ачинск,,C,20,No,unknown,No,https://t.me/+79504012242,,
630,Мемориал-К,79535854370,"ул. Дзержинского, 30Н, Ачинск, Ачинск",,,Ачинск,,C,20,No,unknown,No,https://t.me/+79535854370,http://vk.com/memorialkrsk,
640,ПамятникизгранитавАчинске- цена и фото в каталоге,79785971717; 79885811717; 70172111195,,https://achinsk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Ачинск,,C,20,Yes,unknown,No,https://t.me/+79785971717,,
