id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
107,Мемориал Дон,79885627818; 79188564511; 79281096677; 79897245804; 78632733334; 75475521813; 75475524408; 75475526451; 75475527477; 75475529383,"Западная ул., 2А, Аксай, Аксай",https://sm-region.ru/,smregion_sales@bk.ru; smregion@bk.ru,Аксай,,A,52,No,tilda,No,https://t.me/memorial_Don,https://vk.com/memorialdon,https://api.whatsapp.com/send?phone=892810966770901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
113,Первая мемориальная компания,78632266711; 78633224905,"просп. Ленина, 53, Аксай, Аксай",https://one-memorial.ru/,info@one-memorial.ru,Аксай,,A,45,No,bitrix,No,https://t.me/+78632266711,,
111,Мемориальная компания Рыбаковъ и Ко,79518498689; 78635048889; 79281205555; 79085155530; 79515149012,"Ростовская область, Аксай, Новый Аксай, Аксай",https://ritualrostov.ru/,,Аксай,,A,40,No,unknown,No,https://t.me/+79518498689,,https://api.whatsapp.com/send?phone=79518498689
126,Данила-Мастер,78633082459; 79022234935; 79022202052; 76270002825; 76030120290; 79201304980,"г Ярославль, ул 6",https://aksay.danila-master.ru/,dm-on-line@danila-master.ru; galina.savvidi@danila-master.ru; mail@danila-master.ru; info@danila-master.ru; victoria.kanadyuk@danila-master.ru,Аксай,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=aksay,
108,Ритуальный салон Омега,79281207788; 79281001100,"Садовая ул., 33, Аксай, Аксай",http://omegaritual.ru/,omega-ritual@mail.ru,Аксай,,B,38,No,wordpress,No,https://t.me/+79281207788,,
118,Скульптура на заказ,79281252559,"Строительная ул., 14, посёлок Янтарный, Аксай",https://a-v-sculpture.clients.site/,,Аксай,,B,37,No,unknown,No,https://t.me/berimornils,,https://api.whatsapp.com/send?phone=79281252559
106,Стелла Юг,79081770513,"Садовая ул., 33, Аксай, Аксай",https://stella-ug.ru/,,Аксай,,B,35,No,unknown,No,https://t.me/+79081770513,http://vk.com/dj_biggy,https://api.whatsapp.com/send?phone=890817705130901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
109,Ритуал Память,79515353534; 79085103520,"ул. Шевченко, 189А, Аксай, Аксай",,,Аксай,,B,35,No,unknown,No,https://t.me/+79515353534,,https://api.whatsapp.com/send?phone=79515353534
105,Ритгран,79896335049; 79081894009,"ул. Шевченко, 154, Аксай, Аксай",http://www.ritgran.ru/,,Аксай,,B,30,No,unknown,No,https://t.me/+79896335049,,
121,Памятники из гранита в Аксай – современные технологии от ...,77771888292,,https://rosbaltnord.ru/,info@rosbaltnord.ru,Аксай,,B,30,Yes,unknown,No,https://t.me/+77771888292,,
128,Ангел,78632790405; 79282790405; 79381141149; 79289661259; 78632295620; 79282295620,,https://ritualnie-uslugi.ru/,,Аксай,,B,28,No,wordpress,No,https://t.me/+78632790405,,
110,Мир гранита,79289043833,"Атлантическая ул., 1А, посёлок Янтарный, Аксай",https://andronov-master.ru/,,Аксай,,B,25,No,unknown,No,https://t.me/+79289043833,,
120,Партнер,78635051822; 78635051804; 78632466091,"Ростовская обл., Аксайский р-н, Аксай г., ул. Вартанова, 9а, Аксай",,,Аксай,,B,25,No,unknown,No,https://t.me/+78635051822,,
124,Надежные памятники из гранита в Аксае - долговечные материалы.,77771581201,,https://edu.edgestile.ru/,info@edu.edgestile.ru,Аксай,,B,25,No,unknown,No,https://t.me/+77771581201,,
122,ГРАНД-ПАМЯТЬ,79381759592,,https://grand-pamyatniki.ru/,,Аксай,,C,23,No,wordpress,No,https://t.me/+79381759592,,
112,Памятники,79281304559,"ул. Шевченко, 189А, Аксай, Аксай",,,Аксай,,C,20,No,unknown,No,https://t.me/+79281304559,,
115,Навлон,79287554857,"Садовая ул., 33, Аксай, Аксай",,,Аксай,,C,20,No,unknown,No,https://t.me/+79287554857,,
116,Апостол,79286054450,"Объездная ул., 10, Аксай, Аксай",,,Аксай,,C,20,No,unknown,No,https://t.me/+79286054450,,
125,Изготовлениепамятниковна могилу вАксаепо цене от 18900...,78633225045; 79185568320; 79892201077; 79882409747,,https://aksay.xn--80apbncqgt0j.xn--p1ai/,,Аксай,,C,17,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
127,Каталогпамятниковизгранитаи мрамора на могилу в Донецке...,79010001019; 79286092711,,https://granite161.ru/,pamytnik-doneck@mail.ru,Аксай,,C,15,No,unknown,No,https://t.me/+79010001019,,
117,Вечность,,"ул. Менделеева, 83, Аксай, Аксай",,,Аксай,,D,5,No,unknown,No,,,
119,Цех памятников,,"ул. Степана Разина, 31А, Аксай, Аксай",,,Аксай,,D,5,No,unknown,No,,,
