id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
165,Пирамида Д,79106773377; 79253339166; 79773280540; 79167284793,"Красный пер., 12, Александров, Александров",https://piramida-d.ru/,dzfs_prof@mail.ru; info@piramida-d.ru; piramidad@bk.ru,Александров,,A,45,No,bitrix,No,https://t.me/+79106773377,,
166,Град-Экс гранитная мастерская,74951205544; 74951096677,"Владимирская область, Александровский район, Новое кладбище, Александров",https://ru.gorodwiki.ru/,,Александров,,A,42,No,unknown,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=7925444400009011800018905008052849617015006080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
168,Арт Камень,79990708461,"ул. Свердлова, 37/1, Александров, Александров",https://masterskaja-artkamen.clients.site/,,Александров,,B,35,No,unknown,No,https://t.me/+79990708461,,https://api.whatsapp.com/send?phone=799907084610901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
176,Гранитная мастерская,79112198897; 79219547539,,https://granit-ks.ru/,spbgranitks@gmail.com,Александров,,B,35,Yes,opencart,No,https://t.me/+79112198897,https://vk.com/club58764742,
171,Ритуальные услуги на Правде,74924422578; 79190086648; 79106747557; 79157944328; 74924438535,"Московская обл., Александров г., ул. Кольчугинская, Александров",https://центрритуальныхуслуг.рф/,,Александров,,B,30,No,unknown,No,https://t.me/+74924422578,,
172,Памятники 33,79620883388,"Кольчугинская ул., 49АС2, Александров, Александров",https://gravermaster.1c-umi.ru/,you@example.com,Александров,,B,30,No,unknown,No,https://t.me/+79620883388,,
177,"Памятникииз гранита на могилу,изготовлениепамятников...",79684366589,г   на Яндексе 5,https://vnukovo-granit.ru/,info@vnukovo-granit.ru,Александров,,B,27,No,unknown,No,https://t.me/vnukovo_granit,,https://api.whatsapp.com/send?phone=79684366589
169,Гран-Финити,79157761271; 79036483010; 79157521065,"Красный пер., 17, стр. 1, Александров, Александров",,,Александров,,B,25,No,unknown,No,https://t.me/+79157761271,,
173,Гравёрная мастерская,74924423784,"Толстовская ул., 15, Александров, Александров",,,Александров,,C,20,No,unknown,No,https://t.me/+74924423784,,
175,Изготовление памятников в Александрове услуги с ценами ...,,,https://portaluslug.ru/,mail@portaluslug.ru,Александров,,D,14,No,unknown,No,https://t.me/portaluslugbot,,
