id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
233,Ритуальная мастерская,79196357690; 79196954233,"Республика Татарстан, Альметьевск, Индустриальная улица, Альметьевск",https://xn----7sbaba3aqvemi6ajmcfij7omck.xn--p1ai/,,Альметьевск,,A,40,No,unknown,No,https://t.me/+79196357690,https://vk.com/villy07,https://api.whatsapp.com/send?phone=79106357690
246,Данила-Мастер,79022234935; 79022202052,"г. Альметьевск, ул. Базовая",https://almetyevsk.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Альметьевск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=almetyevsk,
242,Гранит памяти,79678087675,,https://almetyevsk.granit-pamyati.ru/,office@granit-pamyati.ru,Альметьевск,,B,35,No,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
244,Век памяти гранитный завод,78129857838; 79626857838,,https://granitniy-zavod.ru/,granitnyyzavod@mail.ru,Альметьевск,,B,33,No,wordpress,No,https://t.me/+79626857838,https://vk.com/vekpamyatispb,
232,Мемориальная компания,79178752174; 78553324573; 78553337608; 78553424444,"просп. Габдуллы Тукая, 44, Альметьевск, Альметьевск",https://almet-ritual.ru/,,Альметьевск,,B,30,No,unknown,No,https://t.me/+79178752174,https://vk.com/almetritual,
235,Памятники из гранита,79656123161,"ул. Белоглазова, 70, Альметьевск, Альметьевск",https://www.xn--80apmglwl.xn--p1ai/,rating@mail.ru,Альметьевск,,B,30,No,unknown,No,https://t.me/+79656123161,https://vk.com/public142936163,
237,Памятники,78553400171; 79172941171; 79872709384,"Республика Татарстан (Татарстан), Альметьевск, улица Ризы Фахретдина, Альметьевск",https://urbanplaces.su/,,Альметьевск,,B,30,No,unknown,No,https://t.me/+78553400171,,
241,Эдем сеть салонов памятников,79178861028; 79869092412,"ул. Кул Шарифа, 7, п. г. т. Джалиль, Альметьевск",,,Альметьевск,,B,25,No,unknown,No,https://t.me/+79178861028,https://vk.com/pamyatniki_edem,
234,Память фирма,79503207272,"просп. Строителей, 51Б, Альметьевск, Альметьевск",,,Альметьевск,,C,20,No,unknown,No,https://t.me/+79503207272,,
239,Ритуальные услуги,79179278578,"ул. Габдуллы Тукая, 77А, Альметьевск, Альметьевск",,,Альметьевск,,C,20,No,unknown,No,https://t.me/+79179278578,,
236,Альгрант,,"ул. Чернышевского, 40А, Альметьевск, Альметьевск",,,Альметьевск,,D,5,No,unknown,No,,,
238,Оформитель,,"ул. Ризы Фахретдина, 34Б, Альметьевск, Альметьевск",,,Альметьевск,,D,5,No,unknown,No,,,
240,КамаМрамор,,"ул. Бигаш, 8А, Альметьевск, Альметьевск",,,Альметьевск,,D,5,No,unknown,No,,,
