id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
223,Гранит-мастер,79785748333; 79788985251; 79783053042; 75004875060,"ул. Багликова, 27, Алушта, Алушта",https://alushta.granitmaster-crimea.ru/,granit.simferopol@mail.ru; granit.alushta@mail.ru,Алушта,,A,58,No,wordpress,Yes,https://t.me/GranitMasterCrimea,https://vk.com/crimea_granit,https://api.whatsapp.com/send?phone=79788985251
231,Фото,74957215998; 79037215998,,https://nisp.ru/,info@nisp.ru; Info@nisp.ru,Алушта,,A,55,Yes,bitrix,No,https://t.me/+74957215998,https://vk.com/nisp_ru,https://api.whatsapp.com/send?phone=79037215998
227,Данила-Мастер,79022234935; 79022202052,"г. Алушта, ул. Виноградная",https://alushta.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Алушта,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=alushta,
222,granitline82.ru : Гранит Лайн,79787076584; 79789394103; 79789394102; 79788150940; 79787386903; 79785602382; 79787366179; 79787366170; 79786597189; 79780614707; 79785101249,"Алуштинская ул., 13, село Кипарисное, Алушта",https://granitline82.ru/,granitline.82@mail.ru,Алушта,,B,38,No,wordpress,No,https://t.me/alina005,https://vk.com/club127418751,
221,ЭТАЛОН-ГРАНИТ,79787202060; 79780208546; 79183787935,"ул. Пуцатова, 18А, Алушта, Алушта",https://xn----7sbbl0aoodexpk5k.xn--p1ai/,etalon-granit82@ya.ru,Алушта,,B,35,No,unknown,No,https://t.me/+79787202060,https://vk.com/etalongranit82,
230,"Каталогпамятников| Цена, стоимостьпамятникаизгранитана...",79780161610; 79788940218; 79787203792; 79786922935; 79789474763; 79782587046; 79785485896; 79788718785; 79788694952; 79786646141; 79782930201; 79781181944; 79788578371,"г 
 Фаски фигурные 	 3",https://granit-sorax.ru/,granit-rost2000@mail.ru; granitimramor.opt@mail.ru,Алушта,,B,35,No,wordpress,No,https://t.me/granitsorax,https://vk.com/granit_sorax,https://api.whatsapp.com/send?phone=79780161610
228,«Гранит 82»,79787657330; 79780272712; 79787656114,,https://granit82.ru/,info@granit82.ru; donate@opencart.com,Алушта,,B,32,No,opencart,No,https://t.me/granit82,https://vk.com/granit82a,
219,Гранитная мастерская,79785486775,"ул. Багликова, 6, Алушта, Алушта",,,Алушта,,B,30,No,unknown,No,https://t.me/79785486775,https://vk.com/pamyatniki_crimea,https://api.whatsapp.com/send?phone=79785486775
220,Крым-ритуал,79785207000,"ул. Пуцатова, 18А, Алушта, Алушта",http://алушта.ритуал-гуп.рф/,myemail@sendme.ru,Алушта,,B,30,No,unknown,No,https://t.me/+79785207000,,
229,"Изготовлениепамятников,производствонадгробных...",74957694455; 79857694455; 79653322822; 79165389200,,https://www.vipmemorial.ru/,name@example.com; info@vipmemorial.ru; vipmemorial@mail.ru,Алушта,,B,30,No,unknown,No,https://t.me/+74957694455,,
226,Profi.ru,,"г холодильник 
примерно 20",https://profi.ru/,,Алушта,,B,27,No,unknown,No,https://t.me/profi_ru_official,https://vk.com/profiru,
225,Изготовлениепамятниковна могилу вАлуштепо цене от 18900...,79882409747; 79618559078; 79892201077,,https://alushta.xn--80apbncqgt0j.xn--p1ai/,,Алушта,,C,17,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
