id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
270,Реквием служба ритуальных услуг,73955684422; 79027684422; 79025145566; 73955520200; 73955527407; 73955635566; 73955594139; 79921170005; 79041192811; 79041182511,"Ангарск, 251-й квартал, 51, Ангарск",https://rekviem-ang.ru/,,Ангарск,,A,40,No,unknown,No,https://t.me/89027640802,,https://api.whatsapp.com/send?phone=79027684422
273,Завод камня официальный представитель Улан-Удэнский крематорий,73952708458; 73952708459; 79641235436; 79641231028; 79641230487; 79641231471; 79641232566; 73952487104; 79641235276; 79641232643; 79641233951; 79641230797; 79641034453,"Сибирский федеральный округ, Иркутская область, Ангарск, Ангарское городское кладбище, 1 ст3, Ангарск",https://zavodkamnya.ru/,zkirk38@mail.ru,Ангарск,,B,35,No,unknown,No,https://t.me/+73952708458,,
284,Данила-Мастер,79022234935; 79022202052,,https://angarsk.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Ангарск,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=angarsk,
282,pamyatniki-stone.ru,79037917331; 79089323676,,https://angarsk.pamyatniki-stone.ru/,angarsk.pamyatniki-stone.ru; 932-36-76info@pamyatniki-stone.ru,Ангарск,,B,30,No,unknown,No,https://t.me/+79037917331,,
285,ПАМЯТНИКИизгранитаЛуганск |Гранитнаямастерская №1 в ЛНР,79591473287,г. Луганск    ул. Буденного,https://obelisklg.ru/,obelisklg@gmail.com,Ангарск,,B,30,No,joomla,No,https://t.me/+79591473287,,
278,Новый подход,79500701773; 79526291246,"ул. Тельмана, 3, микрорайон Майск, Ангарск, Ангарск",https://www.newpodhod38.com/,,Ангарск,,B,27,No,unknown,No,https://t.me/+79500701773,,
283,Изготовлениепамятников- по выгодной цене вАнгарске,79785971717; 70172111195,"г. Ангарск, ул. Ленина",https://angarsk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Ангарск,,B,25,Yes,unknown,No,https://t.me/+79785971717,,
271,Ритуальные принадлежности,79501148027,"Ангарск, 93-й квартал, 30/1, Ангарск",,,Ангарск,,C,20,No,unknown,No,https://t.me/+79501148027,,
277,Цех фотокерамики,73955512131,"4, 30-й квартал, Ангарск, Ангарск",,,Ангарск,,C,20,No,unknown,No,https://t.me/+73955512131,,
280,Изготовлениепамятниковна могилу вАнгарске,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://angarsk.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Ангарск,,C,20,No,unknown,No,https://t.me/+79039558117,,
286,Вертикальные из гранита,79525808450,,https://stela-don.ru/,steladon@yandex.ru; rndgranit@yandex.ru,Ангарск,,C,20,No,bitrix,No,,https://vk.com/steladon,
281,Изготовлениепамятниковна могилу вАнгарскепо цене от 18900...,79618559078; 79892201077; 79882409747,,https://angarsk.xn--80apbncqgt0j.xn--p1ai/,,Ангарск,,C,17,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
272,Военно-мемориальная компания гранитная мастерская,,"Ангарск, 19-й микрорайон, 4, Ангарск",https://www.vmkros.ru/,,Ангарск,,D,10,No,unknown,No,,,
274,Салон ритуальных принадлежностей,,"Ангарск, 100-й квартал, 8, Ангарск",,,Ангарск,,D,5,No,unknown,No,,,
276,Ритуальный сервис,,"1, 13-й микрорайон, Ангарск, Ангарск",,,Ангарск,,D,5,No,unknown,No,,,
