id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
313,Ангел магазин ритуальных принадлежностей,79180377515; 78155520717; 70253115213; 79143406090; 79147049595; 74232979999; 79240060200; 74232324908; 74232100470; 79147078003; 74232904685; 79089931222; 74232431852,"ул. Бредова, 11, Апатиты, Апатиты",https://zahoron.ru/,info@zahoron.ru; kislinsky@mail.ru,Апатиты,,A,40,Yes,unknown,No,https://t.me/@chelik_msk,,
319,Данила-Мастер,79022234935; 79022202052,"г. Апатиты, ул. Промышленная",https://apatity.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Апатиты,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=apatity,
320,Век памяти гранитный завод,78129857838; 79626857838,,https://granitniy-zavod.ru/,granitnyyzavod@mail.ru,Апатиты,,B,38,Yes,wordpress,No,https://t.me/+79626857838,https://vk.com/vekpamyatispb,
315,Обряд,79113443386; 79210467694,"ул. Бредова, 11, Апатиты, Апатиты",,,Апатиты,,B,35,No,unknown,No,https://t.me/+79113443386,,https://api.whatsapp.com/send?phone=79113443386
317,"памятники, оградки, столы, лавки, захоронения вАпатитах",79512970051,г. Апатиты ул. Победы,https://www.hibiny.ru/,press@hibiny.ru; info@hibiny.ru,Апатиты,,B,32,No,unknown,No,https://t.me/hibinyon,https://vk.com/hibiny_com,
306,Скорбь мастерская ритуальных услуг,79113189117,"ул. Ленина, 17, Апатиты, Апатиты",,,Апатиты,,B,30,No,unknown,No,https://t.me/+79113189117,https://vk.com/public197534675,https://api.whatsapp.com/send?phone=79021322558
307,Салон ритуальных услуг,79217342551; 79211686560,"ул. Бредова, 11А, Апатиты, Апатиты",,,Апатиты,,B,25,No,unknown,No,https://t.me/+79217342551,,
308,Гравер,79512960006; 79212884261,"Московская ул., 1, Апатиты, Апатиты",,,Апатиты,,B,25,No,unknown,No,https://t.me/+79512960006,https://vk.com/engraver51,
318,ПамятникизгранитавАпатитах- цена и фото в каталоге,79785971717; 79885811717; 70172111195,"г. Апатиты, ул. Космонавтов",https://apatity.rm-ryabina.ru/,rim-ryabina@yandex.ru,Апатиты,,B,25,Yes,unknown,No,https://t.me/+79785971717,,
311,Мемориал,,"ул. Дзержинского, 60, Апатиты, Апатиты",,,Апатиты,,C,22,No,unknown,No,https://t.me/memorial_ritual,,
309,Небеса,79916684006,"ул. Бредова, 11, Апатиты, Апатиты",,,Апатиты,,C,20,No,unknown,No,https://t.me/+79916684006,https://vk.com/nebesa51,
310,Слеза в камне,79022811575,"Геофизическая ул., 3, Апатиты, Апатиты",,,Апатиты,,C,20,No,unknown,No,https://t.me/+79022811575,https://vk.com/slezavkamne,
312,Мурман - Гранит,,"ул. Победы, 17, Апатиты, Апатиты",,,Апатиты,,D,5,No,unknown,No,,,
314,Городская ритуальная служба,,"ул. Дзержинского, 27, Апатиты, Апатиты",,,Апатиты,,D,5,No,unknown,No,,,
