id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
329,Монумент,74959724607; 79015464607,,https://monument-nd.ru/,monument-nd@bk.ru,Апрелевка,,A,51,Yes,unknown,No,https://t.me/monument_nd,https://vk.com/monument_n,https://api.whatsapp.com/send?phone=79015464607&text=&source=&data=
331,Первая Социальная Гранитная Мастерская,74957866288; 74952293591; 74956466899; 74956380901; 70281023800; 74959406351; 74959406365; 74959406372,,https://rosmems.ru/,info@rosmems.ru,Апрелевка,,A,48,Yes,bitrix,No,https://t.me/rosmemsru,https://vk.com/rosmems,
327,Небо Одно,79097535050,,https://aprelevka.nebo-odno.ru/,op.nebo1@gmail.com,Апрелевка,,A,44,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
323,Гранит Гарант,79777204552,"Москва, поселение Новофёдоровское, деревня Кузнецово, Апрелевка",https://granit-garant.com/,zaa9260861058@yandex.ru; ZAA9260861058@yandex.ru,Апрелевка,,A,42,Yes,opencart,No,https://t.me/+79777204552,https://vk.com/granit.garant,https://api.whatsapp.com/send?phone=79777204552
325,Гранитная мастерская,79057773336,"д. Алабино, 1А, Апрелевка",https://ритуал50.рф/,,Апрелевка,,A,40,Yes,unknown,No,https://t.me/+79057773336,https://vk.com/ritual50,https://api.whatsapp.com/send?phone=79057773336
333,"Гранитная мастерская ""Евростела""",79253813308; 79259813308; 79259883308,,https://eurostela.ru/,zakaz@eurostela.ru,Апрелевка,,B,38,Yes,wordpress,No,https://t.me/+79253813308,https://vk.com/id1023221806,
328,Памятникина могилу вАпрелевке:гранитныенадгробия.,74951474745; 79530863611; 79882409747,,https://aprelevka.xn--80apbncqgt0j.xn--p1ai/,garantpamyati@yandex.ru,Апрелевка,,C,23,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
324,Стелла-память,74951518119,"Юбилейная ул., 32Б, д. Власово, Апрелевка",,,Апрелевка,,C,20,Yes,unknown,No,https://t.me/+74951518119,,
326,Гранит,79685237871,"Московская обл., Апрелевка г., ул. Апрелевская, 65, тер. ЦНИИЭПсельстрой, Апрелевка",,,Апрелевка,,C,20,No,unknown,No,https://t.me/+79685237871,,
330,Апрелевка - изготовление памятников по доступным ценам,74957694455; 79857694455; 79653322822; 79165389200,,https://www.vipmemorial.ru/,name@example.com; info@vipmemorial.ru; vipmemorial@mail.ru,Апрелевка,,C,20,Yes,unknown,No,https://t.me/+74957694455,,
