id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
508,ВсеПамятники,,"Троицкий просп., 12, Архангельск, Архангельск",https://vsepamyatniki29.ru/,Arkhangelsk@vsepamyatniki.ru; arkhangelsk@vsepamyatniki.ru; zakaz@vsepamyatniki.ru; office@vsepamyatniki.ru,Архангельск,,A,50,No,bitrix,No,https://t.me/8-906-284-94-78,https://vk.com/vsepamyatniki,https://api.whatsapp.com/send?phone=79062849478
503,Гранат производственно-торговая компания,78182213800; 78182471141; 79022861141; 79214961790; 78182212106; 78182213819; 79009114382,"Ленинградский просп., 251, Архангельск, Архангельск",https://granit-pomoria.ru/,info@granit-pomoria.ru; donate@opencart.com,Архангельск,,A,45,No,opencart,No,https://t.me/+78182213800,https://vk.com/granit_pomoria,https://api.whatsapp.com/send?phone=79214961790
504,Акрополь,79212432062; 78182432062; 79212433545; 79216001131; 79212979798; 79212430441; 79216725133; 79212432092; 79314054505,"ул. Терёхина, 5, стр. 13, исторический район Соломбала, Архангельск, Архангельск",https://akropol29.ru/,menager@akropol29.ru,Архангельск,,A,45,No,unknown,No,https://t.me/+79212430441,https://vk.com/akropol29_arh,https://api.whatsapp.com/send?phone=79212432062
506,Верона Гранит салон ритуальных услуг,79212430524; 79022864765; 79217191417; 79217430524; 78182484747; 78182430524; 78182474765,"ул. Выучейского, 26, корп. 1, Архангельск, Архангельск",https://veronagranit.ru/,granit-verona@list.ru,Архангельск,,A,45,No,unknown,No,https://t.me/+79212430524,https://vk.com/verona_granit,https://api.whatsapp.com/send?phone=79212430524
514,Память в граните,78182400740; 78182440740,"ул. Адмирала Кузнецова, 14, корп. 1, исторический район Соломбала, Архангельск, Архангельск",https://granit29.ru/,pamyatniki29@yandex.ru,Архангельск,,A,45,No,unknown,No,https://t.me/+79115940740,https://vk.com/granit29ru,https://api.whatsapp.com/send?phone=79115940740
541,arhangelsk.bilkam.ru,73833830392; 73517009492,"г. Архангельск, ул. Талажское",https://arhangelsk.bilkam.ru/,sales@bilkam.ru,Архангельск,,A,45,No,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
505,Гранит из Карелии,78182699030; 78182699190; 78182290904; 79210772149; 78182430133; 78182448587,"ул. Прокопия Галушина, 12, Архангельск, Архангельск",https://ritual29.ru/,ritual29@mail.ru,Архангельск,,B,38,No,wordpress,No,https://t.me/+78182699030,https://vk.com/grk29,
512,Есения ритуальное агентство,78182200555; 78182484838; 79216761049; 78182432026; 79216758556,"ул. Г. Суфтина, 33, корп. 1, Архангельск, Архангельск",https://www.есения29.рф/,esenia.29@yandex.ru,Архангельск,,B,38,No,wordpress,No,https://t.me/+78182200555,,
509,Гранитный ангел,79115943020; 78182403020,"ул. Прокопия Галушина, 21, Архангельск, Архангельск",,,Архангельск,,B,35,No,unknown,No,https://t.me/+79115943020,,https://api.whatsapp.com/send?phone=79115943020
511,Студия Гранита агентство ритуальных услуг,79212973438; 79522513193; 79532672171; 78182431158,"ул. Самойло, 15, Архангельск, Архангельск",,,Архангельск,,B,35,No,unknown,No,https://t.me/+79212973438,https://vk.com/studiogranit,https://api.whatsapp.com/send?phone=79212973438
