id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
404,Ритуальное агентство Память,79386661555; 78613750455,"ул. Луначарского, 70, Армавир, Армавир",https://ritualnoe-agentstvo-pamjat-ulitsa-lunacharskogo.clients.site/,,Армавир,,A,40,No,unknown,No,https://t.me/+79386661555,,https://api.whatsapp.com/send?phone=7928280024409011800018905008052849616933664713080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
407,Изготовление памятников у Арама,79180256088; 79180805147,"посёлок Заветный, СТ Берёзка, 35, Армавир",https://izgotovleniya-pamyatnikov-u-arama.clients.site/,,Армавир,,A,40,No,unknown,No,https://t.me/+79180256088,https://vk.com/pamjatniki_armavir,https://api.whatsapp.com/send?phone=791802560880901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
438,Данила-Мастер,79022234935; 79022202052,"г. Армавир,ул. Мичурина",https://armavir.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Армавир,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=armavir,
434,Гранитная мастерская «Камень памяти»,79180200986; 79824811620,,https://armavir.memorygranit.ru/,memorygranit@mail.ru,Армавир,,B,38,Yes,wordpress,No,https://t.me/+79180200986,,
406,Ритуалум,79618559078; 78652911216; 78652386043; 78652404077; 79280053259; 79284040050,"Урупская ул., 100, Армавир, Армавир",http://ritualnye-uslugi.armavir.mnogonado.net/,support@mnogonado.net; zakaz@ritualum.ru,Армавир,,B,37,Yes,unknown,No,https://t.me/+79618559078,https://vk.com/ritualum,
436,Небо Одно,79034080128,,https://armavir.nebo-odno.ru/,op.nebo1@gmail.com,Армавир,,B,37,No,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
405,Память производственная компания,79883797070; 78613723399; 79883794242; 79384045888; 79180250099; 79189553366; 79180240099,"ул. Маяковского, 167, Армавир, Армавир",http://pamyat-armavir.ru/,pamyat2006@yandex.ru,Армавир,,B,35,No,unknown,No,https://t.me/+79883797070,https://vk.com/pamyatarmavir,
418,Памятники,79181271459; 79182727703; 79183884440; 79184175401; 79183738399,"Краснодарский край, Армавир, улица Мира, Армавир",https://armavir.moyaspravka.ru/,vopros-po-situ@yandex.ru,Армавир,,B,35,No,unknown,No,https://t.me/+79181271459,http://vk.com/MoyaSpravka,
409,Classic-design,79280403252; 79384074767,"Армавир, СНТ Восход, 1, Армавир",,,Армавир,,B,25,No,unknown,No,https://t.me/+79280403252,,
411,Латур и К бюро ритуальных услуг,78613771666; 78613795799,"ул. Луначарского, 175/1, Армавир, Армавир",,,Армавир,,B,25,No,unknown,No,https://t.me/+78613771666,,
419,Фирма по изготовлению памятников,79628572999; 79189792999,"Армавир, СНТ Урупское, 178Б, Армавир",,,Армавир,,B,25,No,unknown,No,https://t.me/+79628572999,,
423,Магазин памятников,79282603427; 79284271293,"ул. Тургенева, 294А, Армавир, Армавир",,,Армавир,,B,25,No,unknown,No,https://t.me/+79282603427,,
432,"Памятник, ИП",79189605810; 78613746790,"Краснодарский край, Армавир г., ул. Т. Соломахи, 156, Армавир",,,Армавир,,B,25,No,unknown,No,https://t.me/+79189605810,,
435,Изготовлениепамятниковна могилу вАрмавире,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://armavir.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Армавир,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
412,Элит камень,79182436133,"Армавир, СНТ Урупское, 92, Армавир",,,Армавир,,C,20,No,unknown,No,https://t.me/+79182436133,,
420,Мастер гранит,79180327117,"Армавир, СНТ Восход, микрорайон 1-е Отделение, 90, Армавир",,,Армавир,,C,20,No,unknown,No,https://t.me/+79180327117,,
439,Изготовлениепамятниковизгранитаи мрамора »...,79086709630; 79184593173,,https://nash-pamyatnik.ru/,rating@mail.ru; info@nash-pamyatnik.ru,Армавир,,C,18,No,wordpress,No,,,
417,Памятники и надгробия,,"ул. Маяковского, 134, Армавир, Армавир",,,Армавир,,D,5,No,unknown,No,,,
421,Торговая компания ИП А.М. Фролов Памятники,,"ул. Луначарского, 171, Армавир, Армавир",,,Армавир,,D,5,No,unknown,No,,,
424,Цех по производству памятников,,"посёлок Заветный, СТ Берёзка, 29, Армавир",,,Армавир,,D,5,No,unknown,No,,,
427,Цветы Ритуал,,"ул. Маяковского, 138, Армавир, Армавир",,,Армавир,,D,5,No,unknown,No,,,
428,Изделия из гранита и мрамора,,"ул. Генерала Гоголева, 4/А, Армавир, Армавир",,,Армавир,,D,5,No,unknown,No,,,
429,Торгово-производственная фирма,,"Крыжовниковая ул., 2, СНТ Ротор, Армавир, Армавир",,,Армавир,,D,5,No,unknown,No,,,
430,Художественная мастерская по изготовлению памятников,,"ул. 30 лет Победы, 122, Армавир, Армавир",,,Армавир,,D,5,No,unknown,No,,,
431,Ритуальный магазин,,"Школьная ул., 10А, посёлок Глубокий, Армавир",,,Армавир,,D,5,No,unknown,No,,,
433,Венки,,"ул. Генерала Гоголева, 4, Армавир, Армавир",,,Армавир,,D,5,No,unknown,No,,,
