id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
395,Памятник с волной и двумя розами из гранита 61ФР в Арзамасе,79785971717; 70172111195,"г. Арзамас, ул. Калинина",https://arzamas.rm-ryabina.ru/,rim-ryabina@yandex.ru,Арзамас,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
396,Данила-Мастер,79022234935; 79022202052,"г. Арзамас, ул. Заготзерно",https://arzamas.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Арзамас,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=arzamas,
386,Центральная Похоронная Служба,78312304343; 78312002188,"ул. Гостиный Ряд, 5, Арзамас, Арзамас",https://gos-cps.ru/,cps_nn@mail.ru,Арзамас,,B,39,No,unknown,No,https://t.me/cps_nn52,,
381,Гранитная мастерская,79081604436; 78314720415; 79867502316; 78314766109; 78312610162; 79524622994; 79877541005; 79159596560; 79201117161; 78312610000; 78314771017; 79290512512,"ул. Красной Милиции, 3А, Арзамас, Арзамас",https://arz-biz.ru/,i&#110;fo&#64;83&#49;4&#55;&#46;&#114;u; pogranitnik.ru@gmail.com; &#109;ai&#108;&#64;&#209;&#130;ри&#208;�&#208;�&#208;&#187;&#208;&#190;�&#128;&#53;2&#46;&#209;&#128;&#209;&#132;; &#109;&#97;i&#108;&#64;т&#209;�и&#208;�&#208;�&#208;�&#208;�&#209;&#128;&#53;2&#46;р&#209;�; in&#102;o&#64;a&#114;&#122;&#112;r.ru; e.&#109;&#97;&#114;amzin&#64;&#110;ng&#46;en&#102;&#111;&#114;&#116;&#97;&#46;&#99;&#111;&#109;; i&#110;f&#111;&#64;&#98;&#114;&#111;&#45;&#109;e&#100;ia&#46;&#114;&#117;,Арзамас,,B,38,No,wordpress,No,https://t.me/+79081604436,,
378,Арзамасский Камень,79306773377,"ул. Ленина, 125, Арзамас, Арзамас",https://arzkamen.ru/,,Арзамас,,B,35,No,unknown,No,https://t.me/+79306773377,,https://api.whatsapp.com/send?phone=79306773377
379,Ритуал,79307070067; 78314751668,"ул. Ленина, 3, рабочий посёлок Выездное, Арзамас",,,Арзамас,,B,35,No,unknown,No,https://t.me/89307070067,,https://api.whatsapp.com/send?phone=79307070067
380,Нижегородская мемориальная компания - НМК,79306666761; 78312783848; 78312400042; 78314522028; 78314573454; 78312955257,"ул. Володарского, 81А, Арзамас, Арзамас",https://www.vmkros.ru/,,Арзамас,,B,35,Yes,unknown,No,https://t.me/+79306666761,https://vk.com/vrknmk,
385,Монумент,79200499380; 79200003785,"ул. Мира, 10, Арзамас, Арзамас",https://xn----7sbbaa4bearshexwte4t.xn--p1ai/,nuzhdin.stas@yandex.ru,Арзамас,,B,35,No,unknown,No,https://t.me/+79200499380,,
387,"Крон, ритуальная служба",79200560505; 79877560505; 78314726318,"ул. Володарского, 18А, Арзамас, Арзамас",,,Арзамас,,B,35,No,unknown,No,https://t.me/+79200560505,,https://api.whatsapp.com/send?phone=79877560505
382,Мемориальная студия Гранит-дизайн,79038495070,"ул. Ленина, 18, Арзамас, Арзамас",,,Арзамас,,C,20,No,unknown,No,https://t.me/+79038495070,,
384,Мастерская Гранит,79107994379,"ул. Володарского, 71А, Арзамас, Арзамас",,,Арзамас,,C,20,No,unknown,No,https://t.me/+79107994379,,
388,Память,78314776400,"ул. Победы, 4, Арзамас, Арзамас",,,Арзамас,,C,20,No,unknown,No,https://t.me/+78314776400,,
389,Ритуальный салон Оникс,79200704830,"ул. Володарского, 7, Арзамас, Арзамас",,,Арзамас,,C,20,No,unknown,No,https://t.me/+79200704830,,
390,Стела,79308044040,"Зелёная ул., 26, Арзамас, Арзамас",,,Арзамас,,C,20,No,unknown,No,https://t.me/+79308044040,,
393,Гранит и мрамор,79200222802,"ул. Ленина, 110/1, Арзамас, Арзамас",,,Арзамас,,C,20,No,unknown,No,https://t.me/+79200222802,,
383,Прощальный зал,,"ул. Сеченова, 1, микрорайон Ивановский, Арзамас, Арзамас",http://ritual-ark.ru/,,Арзамас,,D,10,No,unknown,No,,,
391,Вечность,,"ул. Сеченова, 6, микрорайон Ивановский, Арзамас, Арзамас",,,Арзамас,,D,5,No,unknown,No,,,
392,Эконом памятники,,"ул. 50 лет ВЛКСМ, 12В, Арзамас, Арзамас",,,Арзамас,,D,5,No,unknown,No,,,
