id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
545,Черный гранит (СТАНДАРТ),73436574940,"Промышленная ул., 9, Асбест, Асбест",https://xn----7sbbegqr3bzapcgg.xn--p1ai/,asbest@rekviemasb.ru,Асбест,,A,42,No,bitrix,No,https://t.me/stonestudio_asbest,,
543,Гранит Урал,79321167799; 79122489647,"Промышленная ул., 2/2, Асбест, Асбест",http://гранитурал.рф/,hit-a@yandex.ru; 248-96-47hit-a@yandex.ru,Асбест,,A,40,Yes,unknown,No,https://t.me/+79321167799,,
542,Мемориал,79043877879; 79617715835,"ул. Чапаева, 24, Асбест, Асбест",http://memasbt.ru/,asbt123@mail.ru,Асбест,,B,38,No,wordpress,No,https://t.me/+79043877879,,
554,Данила-Мастер,73432264431; 79022234935; 79022202052; 76270002932; 76070150598; 79250963206,,https://asbest.danila-master.ru/,gulnara.nurieva@danila-master.ru; mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Асбест,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=asbest,
555,Гранитныепамятники,79122489647,,https://xn--80aahvqjtdrk.xn--p1ai/,hit-a@yandex.ru; 248-96-47hit-a@yandex.ru,Асбест,,B,30,Yes,unknown,No,https://t.me/+79122489647,,
544,Похоронный дом Стикс,79049828727,"ул. Плеханова, 5, Асбест, Асбест",,,Асбест,,C,20,No,unknown,No,https://t.me/+79049828727,,
546,Реквием,73436575918,"Садовая ул., 1В, Асбест, Асбест",,,Асбест,,C,20,No,unknown,No,https://t.me/+73436575918,,
553,ПамятникизгранитавАсбесте- цена и фото в каталоге,79785971717; 79885811717; 70172111195,,https://asbest.rm-ryabina.ru/,rim-ryabina@yandex.ru,Асбест,,C,20,Yes,unknown,No,https://t.me/+79785971717,,
552,Гранитные памятники Асбест,,"г. Асбест , ул. Набережная",https://vestiyuga.ru/,,Асбест,,C,18,Yes,wordpress,No,,,
550,Памятники,,"ул. 8 Марта, 6, Асбест, Асбест",,,Асбест,,D,5,No,unknown,No,,,
551,Урал Гранит,,"Свердловская область, Асбест, кладбище № 2, Асбест",,,Асбест,,D,5,No,unknown,No,,,
