id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
561,Дон Мемориал,79881714555; 79881714666; 78512414555; 78512414666; 79185436070,"Астраханская область, Наримановский район, село Солянка, Астрахань",https://дон-мемориал.рф/,don.memorial@mail.ru; don.memorial.ast@mail.ru,Астрахань,,A,57,No,joomla,Yes,https://t.me/donmemorial,https://vk.com/donmemorial,https://api.whatsapp.com/send?phone=79881714555
560,Акрополь ритуальная компания,78512742420; 79171773567; 79064576092; 79678217380; 78512626282; 79881734949,"Астраханская область, Приволжский район, Кулаковский Промузел,18К, Астрахань",https://www.akropol30.ru/,akropol.rit.usl@mail.ru,Астрахань,,A,47,No,unknown,No,https://t.me/+7,https://vk.com/akropol30,https://api.whatsapp.com/send?phone=79171773567
563,Ангел stone house торгово-производственная фирма,79093767069; 71904579183,"Весенняя ул., 38Д, поселок Трусово, Астрахань",https://ангел30.рф/,mail@example.com; sheludko.1983@list.ru,Астрахань,,A,45,No,opencart,No,https://t.me/+79093767069,https://vk.com/angelstonehouse,https://api.whatsapp.com/send?phone=79093767069
564,Mestam.info,79171810643; 78902206228,"ул. Рождественского, 21А/Б, Астрахань, Астрахань",https://resrex.ru/,email@email.ru; ritual_1981@mail.ru; mail@mail.com,Астрахань,,A,45,No,unknown,No,https://t.me/+79171810643,,https://api.whatsapp.com/send?phone=79171810643
565,Мир Памятников № 1,79881728282; 78512428282; 79377779992,"ул. Победы, 16А/18А, Астрахань, Астрахань",https://mir-pamyatnikov.turbo.site/,pamyatniki.astrakhan@mail.ru,Астрахань,,A,45,No,opencart,No,https://t.me/+79881728282,,https://api.whatsapp.com/send?phone=79881728282
576,Похоронный дом,79881736616; 78512616616; 78512436616,"ул. Татищева, 2, корп. 16, Астрахань, Астрахань",http://похоронныйдом.com/,funeralhome616@gmail.com; info@193.168.3.61,Астрахань,,A,42,No,bitrix,No,https://t.me/+79881736616,https://vk.com/pohoronniy_dom,
562,АМК-Память,79378217777; 79275770627; 79379090077,"Астраханская область, Приволжский район, село Карагали, Астрахань",https://памятники30.рф/,,Астрахань,,A,40,No,unknown,No,https://t.me/+79378217777,,https://api.whatsapp.com/send?phone=79378217777
567,Ритуальная мастерская,79275715598; 79275556596; 79276637500; 79086144264; 78512744264; 79086148435,"3-я Зеленгинская ул., 56Д, Астрахань, Астрахань",https://onyx30.clients.site/,,Астрахань,,A,40,No,unknown,No,https://t.me/+79275715598,,https://api.whatsapp.com/send?phone=79275715598
605,Гранит памяти,79678087675,,https://astrahan.granit-pamyati.ru/,office@granit-pamyati.ru,Астрахань,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
606,Гранитная мастерская Lux Monument,74959280108; 79859280108; 74952339293; 79852339293,,https://luxmonument.ru/,luxmonument@yandex.ru,Астрахань,,A,40,Yes,wordpress,No,https://t.me/Luxmonument,,
