id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
78,Мемориал-Нева,78633033621,"Элеваторная ул., 39, Азов, Азов",https://rip-service.ru/,,Азов,,B,39,No,unknown,No,https://t.me/timponik,https://vk.com/memoneva,https://api.whatsapp.com/send?phone=798857708100901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
97,Изготовление памятников в Азове - «Ритуалум»,79182792792; 72375001374,,https://azov.ritualum.ru/,krd.ritualum@yandex.ru; zakaz@ritualum.ru,Азов,,B,35,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
81,Память,79043439658,"Парковый пер., 1, Азов, Азов",,,Азов,,B,30,No,unknown,No,https://t.me/+79043439658,,https://api.whatsapp.com/send?phone=790434396580901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
82,Ритуал,78634244400; 79381310131,"Парковый пер., 1/1, Азов, Азов",http://ritual-azov.ru/,,Азов,,B,30,No,unknown,No,https://t.me/+78634244400,,
89,Памятники,79885760306; 79044474487,"село Кулешовка, дачное некоммерческое товарищество Ягодка-2, 79, Азов",https://azov1.1c-umi.ru/,,Азов,,B,30,No,unknown,No,https://t.me/+79885760306,,
80,Стела бюро ритуальных услуг,79525750555; 79381160555,"Элеваторная ул., 3, Азов, Азов",,,Азов,,B,25,No,unknown,No,https://t.me/+79525750555,https://vk.com/stela_ritual,
83,Монолит ритуальный магазин,78634253355; 79281670464; 78634267577,"просп. Зои Космодемьянской, 77, Азов, Азов",,,Азов,,B,25,No,unknown,No,https://t.me/+78634253355,,
87,Мемориальная мастерская,78634255636; 79281771128,"пер. Достоевского, 72, Азов, Азов",,,Азов,,B,25,No,unknown,No,https://t.me/+78634255636,,
79,Памятники на могилу,79281173909; 79803770661,"ул. Ленина, 72И, Азов, Азов",http://rostov-pamyat.topoleon.ru/,studio@topoleon.ru,Азов,,C,20,No,joomla,No,https://t.me/+79281173909,http://vk.com/club160179431,
85,Монолит,79286101943,"Литейный пр., 1, Азов, Азов",,,Азов,,C,20,No,unknown,No,https://t.me/+79286101943,,
86,Мир Камня,79045051863,"Кагальницкое ш., 5, Азов, Азов",,,Азов,,C,20,No,unknown,No,https://t.me/+79045051863,,
88,Мастерская памятников Гранит,79043442844,"просп. Зои Космодемьянской, 62, Азов, Азов",,,Азов,,C,20,No,unknown,No,https://t.me/+79043442844,,
92,Донстела,79508578488,"Россия, Ростовская область, Азов, ул. Элеваторная, 1а, Азов",,,Азов,,C,20,No,unknown,No,https://t.me/+79508578488,,
96,Изготовлениепамятниковна могилу вАзовепо цене от 18900...,78633225045; 79185568320; 79892201077; 79882409747,,https://azov.xn--80apbncqgt0j.xn--p1ai/,,Азов,,C,17,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
98,Изготовление памятников из гранита в Азове - эксклюзивные проекты.,,,https://rosbaltnord.ru/,info@rosbaltnord.ru,Азов,,D,10,No,unknown,No,,,
99,Гранитные памятники в Азове - himbat.ru,,"г. Азов , ул. Заречная",https://www.himbat.ru/,,Азов,,D,10,No,unknown,No,,,
84,Мастерская памятников,,"ул. Дружбы, 28, Азов, Азов",,,Азов,,D,5,No,unknown,No,,,
90,Траур,,"ул. Ленина, 324Е, село Кулешовка, Азов",,,Азов,,D,5,No,unknown,No,,,
91,Цех памятников,,"Парковый пер., 1/1, Азов, Азов",,,Азов,,D,5,No,unknown,No,,,
93,Гранит,,"Кооперативная ул., 10А, Азов, Азов",,,Азов,,D,5,No,unknown,No,,,
94,Изготовление памятников и надгробий,,"Ростовская область, Азовский район, село Кагальник, Азов",,,Азов,,D,5,No,unknown,No,,,
95,Сеть ритуальных магазинов,,"пер. Маяковского, 77А, Азов, Азов",,,Азов,,D,5,No,unknown,No,,,
