id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
845,Гранит-мастер,79785748333; 79781443554; 79783053042; 79781067434; 79787910581; 79788984535; 79783053043; 75004875060,"ул. Мира, 11, Бахчисарай, Бахчисарай",https://granitmaster-crimea.ru/,granit.simferopol@mail.ru; granit.master44@gmail.com; granit.office1@mail.ru; granit.officesev4@mail.ru,Бахчисарай,,A,63,Yes,wordpress,Yes,https://t.me/granitmastercrimea,https://vk.com/crimea_granit,https://api.whatsapp.com/send?phone=79781443554
844,Гранит-соракс,79780161610; 79785717281; 79788940218; 79787203792; 79786922935; 79789474763; 79782587046; 79785485896; 79788718785; 79788694952; 79786646141; 79782930201; 79781181944; 79788578371,"ул. Фрунзе, 26Д, Бахчисарай, Бахчисарай",https://granit-sorax.ru/,granit-rost2000@mail.ru; granitimramor.opt@mail.ru,Бахчисарай,,A,55,Yes,wordpress,No,https://t.me/granitsorax,https://vk.com/club160240571,https://api.whatsapp.com/send?phone=79780161610
843,«Гранит 82»,79785280625; 79787656114; 79780272712; 79787657330; 79939932194,"Центральная ул., 1, село Красный Мак, Бахчисарай",http://ritual-bakhchisarai.ru/,82granit@mail.ru; no-reply@domain.com; donate@opencart.com,Бахчисарай,,A,50,Yes,unknown,No,https://t.me/+79785280625,https://vk.com/granit82a,https://api.whatsapp.com/send?phone=79787656114
842,ИП Гринев В. С. гранитная мастерская,79786670467,"ул. Фрунзе, 43, Бахчисарай, Бахчисарай",https://xn--80aaab0bi1cg8au.xn----7sbyajcjfdrtr8jzb.xn--p1ai/,,Бахчисарай,,A,42,Yes,unknown,No,https://t.me/Pamyat82,https://vk.com/memorual_82,https://api.whatsapp.com/send?phone=79786670467
852,Данила-Мастер,79022234935; 79022202052,"г. Бахчисарай, ул. Кооперативная",https://bahchisarai.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Бахчисарай,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=bahchisarai,
853,"Памятникина могилу вБахчисараев Крыму, низкие цены...",79783053042; 79781443554; 75004875060,"г. Бахчисарай, ул. Мира",https://bahchisaray.granitmaster-crimea.ru/,granit.office4@mail.ru,Бахчисарай,,B,38,Yes,wordpress,Yes,https://t.me/granitmastercrimea,https://vk.com/crimea_granit,
846,Память Души,79788485411; 79784540525,"ул. Фрунзе, 34А, Бахчисарай, Бахчисарай",,,Бахчисарай,,B,35,No,unknown,No,https://t.me/+79788485411,https://vk.com/idpamyatritsal,https://api.whatsapp.com/send?phone=79788485411
849,ИП Татаренко Д. Н.,79787968981,"ул. Македонского, 11, Бахчисарай, Бахчисарай",,,Бахчисарай,,C,20,No,unknown,No,https://t.me/+79787968981,,
855,Изготовлениепамятников- по выгодной цене вБахчисарае,79785971717; 70172111195,,https://bakhchisaray.rm-ryabina.ru/,rim-ryabina@yandex.ru,Бахчисарай,,C,20,Yes,unknown,No,https://t.me/+79785971717,,
854,Изготовлениепамятниковна могилу вБахчисараепо цене от...,79882409747; 79618559078; 79892201077,,https://bahchisaray.xn--80apbncqgt0j.xn--p1ai/,,Бахчисарай,,C,17,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
847,Чуфут-Кале,,"ул. Басенко, 97А, Бахчисарай, Бахчисарай",,,Бахчисарай,,D,5,No,unknown,No,,,
848,Памятники,,"Республика Крым, Бахчисарай, Промышленная улица, Бахчисарай",,,Бахчисарай,,D,5,No,unknown,No,,,
850,Пещерный город Эски-Кермен,,"Республика Крым, Бахчисарайский район, село Красный Мак, Бахчисарай",,,Бахчисарай,,D,5,No,unknown,No,,,
