id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
697,ИП Костиков Валентин Константинович: изготовление и установка ...,79279161868; 79873624908,"Россия, Саратовская область, Балаковский район, Быково-Отрогское муниципальное образование, село Ивановка, Балаково",https://kostikov.gobalakovo.ru/,monument.balakovo@mail.ru,Балаково,,A,55,No,bitrix,No,https://t.me/+79279161868,https://vk.com/monument.balakovo,https://api.whatsapp.com/send?phone=79279161868
696,Гранит Памяти магазин памятников,79678087675,"Транспортная ул., 8Б, Балаково, Балаково",https://granit-pamyati.ru/,office@granit-pamyati.ru,Балаково,,A,45,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati_moscow,
693,Вечность,79372500007; 79198234156; 79173039392; 79873245528; 79169858414; 79198234155; 79173280809; 79370235615; 79272252530,"Саратовская область, Балаковский район, Быково-Отрогское муниципальное образование, село Ивановка (пригород Балаково), Балаково",https://www.gobalakovo.ru/,,Балаково,,A,42,No,bitrix,No,https://t.me/gobalakovo,https://vk.com/miseblk?erid=Kra23jQvj,
699,Гранит памяти,79678087675,,https://balakovo.granit-pamyati.ru/,office@granit-pamyati.ru,Балаково,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
701,Данила-Мастер,79022234935; 79022202052,"г. Балаково, ул. Саратовское",https://balakovo.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Балаково,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=balakovo,
685,Янтарь,79271261116; 79272256507,"Саратовская область, Балаковский район, Быково-Отрогское муниципальное образование, село Ивановка (пригород Балаково), Балаково",http://памятники-балаково.рф/,jantar.burlakov@yandex.ru,Балаково,,B,38,No,wordpress,No,https://t.me/+79271261116,,
702,pamyatniki-stone.ru,79037917331; 79089323676,,https://balakovo.pamyatniki-stone.ru/,balakovo@pamyatniki-stone.ru; 932-36-76info@pamyatniki-stone.ru,Балаково,,B,35,Yes,unknown,No,https://t.me/+79037917331,,
686,Балгранит,79030202020; 79053252489,"Саратовская область, Балаковский район, Быково-Отрогское муниципальное образование, село Ивановка (пригород Балаково), Балаково",http://www.balgranit.com/,077mk@mail.ru,Балаково,,B,32,No,unknown,No,https://t.me/+79030202020,,
683,Цветы венки,79372683700,"Саратовская область, Балаковский район, Быково-Отрогское муниципальное образование, село Ивановка (пригород Балаково), Балаково",,,Балаково,,B,30,No,unknown,No,https://t.me/+79372683700,,https://api.whatsapp.com/send?phone=793726837000901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
684,Акрополь,79272256290,"Саратовская область, Балаковский район, Быково-Отрогское муниципальное образование, село Ивановка (пригород Балаково), Балаково",https://akropol.gobalakovo.ru/,,Балаково,,B,25,No,unknown,No,https://t.me/+79272256290,,
687,Память,79053844924; 79379604269,"ул. Академика Жук, 51/1, Балаково, Балаково",,,Балаково,,B,25,No,unknown,No,https://t.me/+79053844924,,
689,Граверная мастерская,79371451905; 79272240591,"Саратовская обл., Балаковский р-н, Балаково, ул. 20 лет ВЛКСМ, 19а, Балаково",,,Балаково,,B,25,No,unknown,No,https://t.me/+79371451905,,
704,Памятники из гранита - купить по доступной цене в Балаково,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://balakovo.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Балаково,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
700,Изготовлениепамятниковна могилу вБалаковопо цене от 18900...,79618559078; 79892201077; 79882409747; 79618555089,,https://balakovo.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Балаково,,C,22,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
691,Памятники,79376372777,"Саратовская область, Балаковский район, Быково-Отрогское муниципальное образование, село Ивановка (пригород Балаково), Балаково",,,Балаково,,C,20,No,unknown,No,https://t.me/+79376372777,,
692,Монумент,79272252991,"Саратовская область, Балаковский район, Быково-Отрогское муниципальное образование, село Ивановка (пригород Балаково), Балаково",,,Балаково,,C,20,No,unknown,No,https://t.me/+79272252991,,
703,ПамятникизгранитавБалаково- цена и фото в каталоге,79785971717; 79885811717; 70172111195,,https://balakovo.rm-ryabina.ru/,rim-ryabina@yandex.ru,Балаково,,C,20,Yes,unknown,No,https://t.me/+79785971717,,
705,Изготовлениеи благоустройствогранитныхи мраморных...,,,https://xn----7sbbadi1barfjfnxbb7cxp.xn--p1ai/,jantar.burlakov@yandex.ru,Балаково,,D,13,No,wordpress,No,,,
694,Империя камня,,"Ивановское ш., 6/5, Балаково, Балаково",,,Балаково,,D,5,No,unknown,No,,,
698,АнгелЪ,,"Саратовская область, Балаковский район, Быково-Отрогское муниципальное образование, село Ивановка (пригород Балаково), Балаково",,,Балаково,,D,5,No,unknown,No,,,
