id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
838,batajsk.bilkam.ru,73833830392; 73517009492,"г. Батайск, ул. Фермерская",https://batajsk.bilkam.ru/,sales@bilkam.ru,Батайск,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
812,Ритуал Память,79515353534; 79085103520,"Ростовская область, Батайск, Совхозная улица, Батайск",https://ritual-pamjat-ulitsa-turgeneva.clients.site/,,Батайск,,A,45,Yes,unknown,No,https://t.me/+79515353534,,https://api.whatsapp.com/send?phone=795153535340901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
811,Похоронное бюро,79613213060; 79613213080,"ул. Максима Горького, 152/143, Батайск, Батайск",https://похоронное-бюро-батайск.рф/,,Батайск,,A,40,No,unknown,No,https://t.me/+79613213060,,https://api.whatsapp.com/send?phone=896132130600901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
813,Аргранит161,79289603327,"ул. Тельмана, 1, Батайск, Батайск",http://argranit161.ru/,argranit161@yandex.ru,Батайск,,A,40,No,unknown,No,https://t.me/+79289603327,,https://api.whatsapp.com/send?phone=792896033270901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
814,Похоронный Дом,79525603947; 79525737295,"ул. Клары Цеткин, 37, Батайск, Батайск",https://похоронный-дом-батайск.рф/,,Батайск,,A,40,No,unknown,No,https://t.me/+79525603947,,https://api.whatsapp.com/send?phone=795256039470901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
815,Вечность ритуальный салон,79001392955; 79286014679; 71604571803; 71638783901,"ул. Луначарского, 117Б, Батайск, Батайск",https://ritualnie-uslugi-bataysk.clients.site/,,Батайск,,A,40,No,unknown,No,https://t.me/+79001392955,,https://api.whatsapp.com/send?phone=890013929550901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
820,Гранитная мастерская,79996900192; 79592916173; 79591167663,"Революционная ул., 65, Батайск, Батайск",http://masterskay-granit.ru/,masterskay-granit@mail.ru,Батайск,,A,40,No,tilda,No,https://t.me/GranitMaster24,https://vk.com/id855766190,
841,Данила-Мастер,78633082459; 79022234935; 79022202052; 76270002825; 76030120290; 79201304980,"г Ярославль, ул 6",https://bataysk.danila-master.ru/,dm-on-line@danila-master.ru; galina.savvidi@danila-master.ru; mail@danila-master.ru; info@danila-master.ru; victoria.kanadyuk@danila-master.ru,Батайск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=bataysk,
818,Изготовление памятников,79289052390; 79281415271; 79001360440; 79281665112; 79281025070; 79001370440,"Индустриальная ул., 6А, Батайск, Батайск",http://памятникивростове.рф/,,Батайск,,B,38,Yes,wordpress,No,https://t.me/+79289052390,,
824,Цех у Часовни,79001360440; 79281665112; 79281025070; 79001370440,"Совхозная ул., 20/2, Батайск, Батайск",http://цехучасовни.рф/,,Батайск,,B,38,Yes,wordpress,No,https://t.me/+79001360440,,
816,ФабрикаПамятниковМалахит,79883377703,"Шоссейная ул., 102, дачное некоммерческое товарищество Мелиоратор, Батайск",https://malahit-1711449885.clients.site/,,Батайск,,B,37,No,unknown,No,https://t.me/malahite761,,https://api.whatsapp.com/send?phone=798833777030901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
830,Самсара,79314443888,"ул. Максима Горького, 257, Батайск, Батайск",https://samsara-pohorony.ru/,,Батайск,,B,35,No,unknown,No,https://t.me/+79314443888,,https://api.whatsapp.com/send?phone=79314443888
834,Мастерская «Траур» в Батайске: памятники любой сложности по низким ...,,"г. Батайск, ул Ленина",https://battime.ru/,bat.vremya@yandex.ru,Батайск,,B,32,No,unknown,No,https://t.me/batayskoe_vremya,https://vk.com/battime,
817,Оцинкованные гробницы и оградки |,79045035881; 79081966561,"Западный пер., 33А, Батайск, Батайск",https://stal-cink.com/,,Батайск,,B,30,No,wordpress,No,https://t.me/+79045035881,,
819,С любовью и скорбью ритуальное бюро,79525834555,"ул. Максима Горького, 420, Батайск, Батайск",,,Батайск,,B,30,No,unknown,No,https://t.me/+79525834555,,https://api.whatsapp.com/send?phone=79001392955
822,Памятники,79281904161; 79044474487; 79064399807,"Шоссейная ул., 102, дачное некоммерческое товарищество Мелиоратор, Батайск",,,Батайск,,B,30,Yes,unknown,No,https://t.me/+79281904161,,
839,Памятникиизгранита- купить по доступной цене вБатайске,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://bataysk.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Батайск,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
840,ПамятникизгранитавБатайске- цена и фото в каталоге,79785971717; 79885811717; 70172111195,"г. Батайск, ул. Северный",https://bataysk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Батайск,,B,25,Yes,unknown,No,https://t.me/+79785971717,,
823,Гранит,79381033353,"ул. Максима Горького, 154, Батайск, Батайск",,,Батайск,,C,20,No,unknown,No,https://t.me/+79381033353,,
825,Донмонолит,79897117244,"ул. Станиславского, 1Б, Батайск, Батайск",,,Батайск,,C,20,No,unknown,No,https://t.me/+79897117244,,
826,Ритуальные услуги,79612731773,"Крым-Гиреевская ул., 32А, село Новобатайск, Батайск",,,Батайск,,C,20,No,unknown,No,https://t.me/+79612731773,,
827,Изготовление памятников и надгробий,79043406587,"ул. Молокова, 9, Батайск, Батайск",,,Батайск,,C,20,No,unknown,No,https://t.me/+79043406587,,
833,Ростовская мемориальная компания,78635461210,"Ростовская обл., Батайск г., ул. Торговое Кольцо, 33, Батайск",,,Батайск,,C,20,No,unknown,No,https://t.me/+78635461210,,
836,Изготовлениепамятниковна могилу вБатайскепо цене от...,78633225045; 79185568320; 79892201077; 79882409747,,https://bataysk.xn--80apbncqgt0j.xn--p1ai/,,Батайск,,C,17,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
829,Ростовская мемориальная компания Памятники,,"ул. Торговое Кольцо, 29, Батайск, Батайск",,,Батайск,,D,5,No,unknown,No,,,
832,Гранит мрамор,,"Шоссейная ул., 102, дачное некоммерческое товарищество Мелиоратор, Батайск",,,Батайск,,D,5,No,unknown,No,,,
