id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
900,Гранит-Мастер,79040948394; 79205853524; 73123000167,"просп. Богдана Хмельницкого, 135, Белгород, Белгород",https://granitmaster31.ru/,granitmaster31@yandex.ru,Белгород,,A,63,No,bitrix,Yes,https://t.me/+79205853524,,https://api.whatsapp.com/send?phone=79205853524
872,Гранит Белогорья,74722500069; 79036420069; 79511525015,"просп. Богдана Хмельницкого, 133М, Белгород, Белгород",https://granitb.ru/,_belogorya@mail.ru; granit_belogorya@mail.ru,Белгород,,A,55,No,bitrix,Yes,https://t.me/GranitBgd,https://vk.com/granitbgd,
870,Много Памятников,79954948444; 79194313777,"Железнодорожная ул., 79Б, Белгород, Белгород",http://многопамятников.рф/,pals31@yandex.ru,Белгород,,A,50,No,wordpress,No,https://t.me/pamyatniki36,,https://api.whatsapp.com/send?phone=79954948444
881,Звонница салон ритуальных услуг,79205721151; 79524302792; 79103203652; 74722358422; 74722356172; 79524302794,"Юбилейная ул., 16, рабочий посёлок Разумное, Белгород",http://ритуал31.рф/,belfenix@mail.ru,Белгород,,A,50,No,wordpress,No,https://t.me/FENIX31,,https://api.whatsapp.com/send?phone=79103203652
945,belgorod.bilkam.ru,73833830392; 73517009492,"г. Белгород, ул. Михайловское",https://belgorod.bilkam.ru/,sales@bilkam.ru,Белгород,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
871,Агентство ритуальных услуг Мемориал,74722371658; 79056752224; 79107371658; 79511420334,"Студенческая ул., 40, корп. 10, Белгород, Белгород",https://memorialbel.ru/,memorialbel@mail.ru,Белгород,,A,48,No,wordpress,No,https://t.me/+74722371658,,https://api.whatsapp.com/send?phone=79056752224
874,Мир Гранита,74722360736; 79100303736,"ул. Белгородского Полка, 65, Белгород, Белгород",https://mirgranita31.ru/,info@mirgranita31.ru,Белгород,,A,48,No,wordpress,No,https://t.me/89100303736,https://vk.com/mirgranita31,https://api.whatsapp.com/send?phone=891003037360901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
880,Набат сервис-бюро похоронных услуг,79036420955; 79036420911; 74722500905; 74722500911; 79036420905,"Зелёная ул., 9, Белгород, Белгород",https://nabat31.ru/,nabat.servis@mail.ru,Белгород,,A,48,No,wordpress,No,https://t.me/+79036420955,,https://api.whatsapp.com/send?phone=79036420955
906,Ритуальные услуги ритуальное агентство,74722364537; 74722506305; 74722506537; 79107414537,"Садовая ул., 120Е, Белгород, Белгород",http://ritual.go31.ru/,ritual.vo@mail.ru,Белгород,,A,47,No,bitrix,No,https://t.me/belgorod_go31,https://vk.com/belgorodgo31,
877,Гвоздика,79040946935; 79045331260; 79103684025; 79517688175,"ул. Попова, 56Г, Белгород, Белгород",http://белпамятник.рф/,belgvozdika@yandex.ru,Белгород,,A,45,No,unknown,No,https://t.me/+79040946935,https://vk.com/club93389701,https://api.whatsapp.com/send?phone=79040946935
