id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
978,belogorsk.bilkam.ru,73833830392; 73517009492,"г. Белогорск, ул. Ленина",https://belogorsk.bilkam.ru/,sales@bilkam.ru,Белогорск,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
972,Паллада бюро ритуальных услуг,79143842020; 79145578080; 79146002626,"Набережная ул., 71, Белогорск, Белогорск",http://ritual-amur.ru/,graal.blg.byuro28@gmail.com,Белогорск,,A,45,No,bitrix,No,https://t.me/+79143842020,,
974,Данила-Мастер,79022234935; 79022202052,,https://belogorsk.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Белогорск,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=belogorsk,
967,Миллениум,79145687339; 79145970260,"Набережная ул., 100, Белогорск, Белогорск",,,Белогорск,,B,25,No,unknown,No,https://t.me/+79145687339,,
971,Ангел ритуальный центр,79140410101,"Набережная ул., 103, Белогорск, Белогорск",http://angel-rc.ru/,,Белогорск,,B,25,No,unknown,No,https://t.me/+79140410101,,
979,ПамятникизгранитавБелогорске- цена и фото в каталоге,79785971717; 79885811717; 70172111195,"г. Белогорск, ул. Чобан",https://belogorsk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Белогорск,,B,25,Yes,unknown,No,https://t.me/+79785971717,,
977,Изготовлениепамятниковна могилу вБелогорскепо цене от...,79882409747; 79618559078; 79892201077,г. Белогорск  ул. Бекира,https://belogorsk.xn--80apbncqgt0j.xn--p1ai/,,Белогорск,,C,22,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
970,МБУ услуги,74164126230,"Набережная ул., 97, Белогорск, Белогорск",,,Белогорск,,C,20,No,unknown,No,https://t.me/+74164126230,,
968,Ритуальные услуги,,"Набережная ул., 100, Белогорск, Белогорск",,,Белогорск,,D,5,No,unknown,No,,,
969,Ритуальные товары,,"ул. 9 Мая, 159, Белогорск, Белогорск",,,Белогорск,,D,5,No,unknown,No,,,
973,Ангел,,"Набережная ул., 103, Белогорск, Белогорск",,,Белогорск,,D,5,No,unknown,No,,,
