id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1035,Похоронный дом Обелиск,79529027532; 79137715973,"Пионерская ул., 15/2, Бердск, Бердск",https://obel-lisk.ru/,,Бердск,,A,40,No,unknown,No,https://t.me/+79529027532,https://vk.com/ritualobelisk,https://api.whatsapp.com/send?phone=791377159730901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1038,ПрофГранит,79930317073; 79133714745; 79132040250; 79538748338,"Бердск, садовое товарищество Бытовик, 82, Бердск",https://profgranit54.ru/,,Бердск,,A,40,No,opencart,No,https://t.me/+79930317073,,https://api.whatsapp.com/send?phone=791337147450901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1041,Арт-Ритуал,79538054309; 79628337115,"ул. Максима Горького, 4, корп. 4, Бердск, Бердск",,,Бердск,,B,35,No,unknown,No,https://t.me/89538054309,https://vk.com/artritualberdsk,https://api.whatsapp.com/send?phone=895380543090901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1039,СибПамять154,79134790883; 79963802139; 79529489394,"Бердск, садовое товарищество Бытовик, 85, Бердск",https://sibpamyat154.ru/,,Бердск,,B,30,No,joomla,No,https://t.me/+79134790883,,
1047,Сохраняем памятьв веках,78126276802,"г 
 
 Конструктор памятника 
 
 
 
 
 
 
 
 8",https://1-granit.ru/,a9114002322@gmail.com,Бердск,,B,30,No,unknown,No,https://t.me/SuiGenerisA,,
1044,Ритуальные услуги мемориальная компания,79137666870; 73834130061; 79138960785,"ул. Островского, 84/2, Бердск, Бердск",,,Бердск,,B,25,No,unknown,No,https://t.me/+79137666870,,
1045,Ритуальные услуги,79139321396; 73834153611; 79130651856; 79130020104,"Новосибирская область, Бердск, садовое товарищество Бытовик, Бердск",,,Бердск,,B,25,No,unknown,No,https://t.me/+79139321396,,
1046,ДеНаКом,79915042240,"ул. Ленина, 89/1, Бердск, Бердск",,,Бердск,,C,20,No,unknown,No,https://t.me/+79915042240,,
1037,ГраННит,,"Бердск, садовое товарищество Бытовик, 72, Бердск",http://kam-54.ru/,,Бердск,,D,10,No,unknown,No,,https://vk.com/grannitnsk,
1040,Ритуальные принадлежности,,"Новосибирская область, Бердск, Бердск",,,Бердск,,D,5,No,unknown,No,,,
1042,Гранит мрамор,,"84, Бердск, садовое товарищество Бытовик, Бердск",,,Бердск,,D,5,No,unknown,No,,,
1043,Благоустройство захоронений,,"Бердск, садовое товарищество Бытовик, 64/64А, Бердск",,,Бердск,,D,5,No,unknown,No,,,
