id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1087,bijsk.bilkam.ru,73833830392; 73517009492,"г. Бийск, ул. Мерлина",https://bijsk.bilkam.ru/,sales@bilkam.ru,Бийск,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
1068,Стикс мемориальное производство,79627930777; 79132241155; 79293788748,"Красногвардейская ул., 16/1, Бийск, Бийск",https://styx22.ru/,styx.granit@mail.ru,Бийск,,A,45,No,unknown,No,https://t.me/+79627930777,,https://api.whatsapp.com/send?phone=7962793077709011800018905008052849610689795080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1066,Аркадо-Гранит,79095064303; 73852504187; 73852251770; 79132606686; 79635008699; 79836040841; 79039476880,"Минская ул., 2, посёлок Нагорный, Бийск",http://www.granitopt.ru/,opt1@granitopt.ru; arkado-granit@mail.ru; roznica4@granitopt.ru; opt2@granitopt.ru; roznica2@granitopt.ru,Бийск,,A,40,Yes,unknown,No,https://t.me/+XYT7zy-x7egyNGQy,https://vk.com/club227335999,
1067,Пантеон,79628159738; 79059825553,"Солтонская ул., 1, поселок Пригородный, Бийск",https://panteon22.ru/,,Бийск,,A,40,No,unknown,No,https://t.me/+79628159738,https://vk.com/granitmas,https://api.whatsapp.com/send?phone=796281597380901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1092,Данила-Мастер,79022234935; 79022202052,"г. Бийск, ул. Мерлина",https://biysk.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Бийск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=biysk,
1074,Память компания по организации похорон и благоустройству мест захоронения,73854326710; 73854337004; 79132307577; 79635370231; 79627951908,"Алтайский край, Бийск, переулок Гилева, Бийск",https://muppamyat.ru/,,Бийск,,B,33,No,wordpress,No,https://t.me/+73854326710,,
1072,Стела,73854364620; 79039959654,"ул. имени Героя Советского Союза Трофимова, 21, Бийск, Бийск",,,Бийск,,B,25,No,unknown,No,https://t.me/+73854364620,,
1077,Магазин ритуальных услуг Памятники,79039915986; 73854353527,"ул. Максима Горького, 109, Бийск, Бийск",,,Бийск,,B,25,No,unknown,No,https://t.me/+79039915986,,
1086,Изготовлениепамятниковна могилу вБийске,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://biysk.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Бийск,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
1088,СемейныепамятникиизгранитавБийске- цена и фото в каталоге,79785971717; 79885811717; 70172111195,"г. Бийск, ул. Казанцевых",https://biysk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Бийск,,B,25,Yes,unknown,No,https://t.me/+79785971717,,
1085,Изготовлениепамятниковна могилу вБийскепо цене от 18900...,79185568320; 79892201077; 79882409747,,https://biysk.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Бийск,,C,22,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
1073,Вечность,79095002849,"Бытовая ул., 8, Бийск, Бийск",,,Бийск,,C,20,No,unknown,No,https://t.me/+79095002849,,
1076,Сервис,79059283800,"ул. Челюскинцев, 3/1, Бийск, Бийск",,,Бийск,,C,20,No,unknown,No,https://t.me/+79059283800,,
1080,Гранитная мастерская Стела,79130849344,"ул. Петра Мерлина, 17, Бийск, Бийск",,,Бийск,,C,20,No,unknown,No,https://t.me/+79130849344,,
1081,Ритуальные принадлежности,73854329405,"ул. Льва Толстого, 182, Бийск, Бийск",,,Бийск,,C,20,No,unknown,No,https://t.me/+73854329405,,
1084,МКК-АлтайМраморГранит,79609643430,"659322, Алтайский край, Бийск г., ул. Социалистическая, 1, эт. 1, оф. 9, Бийск",,,Бийск,,C,20,No,unknown,No,https://t.me/+79609643430,,
1071,Военно-мемориальная компания гранитная мастерская,,"ул. имени Героя Советского Союза Васильева, 48, Бийск, Бийск",https://www.vmkros.ru/,,Бийск,,C,15,Yes,unknown,No,,,
1089,Купитьпамятникв Барнауле и Алтайском крае |ГранитМастер,79130985691; 79293972510; 79293970402; 79237291065; 79236454216,,https://granit-ab.ru/,granit-ab@yandex.ru,Бийск,,C,15,No,unknown,No,https://t.me/+79130985691,,
1091,"Памятники и надгробия в Бийске на карте — рейтинг, адреса",,г на основании 197,https://rting.ru/,,Бийск,,C,15,Yes,unknown,No,,,
1079,Памятники,,"Алтайский край, Смоленский район, Смоленский сельсовет, Новое кладбище, Бийск",,,Бийск,,D,5,No,unknown,No,,,
1082,Мемори Алтай,,"Прямой пер., 14, Бийск, Бийск",,,Бийск,,D,5,No,unknown,No,,,
1083,Торгово-производственная компания,,"Сенная ул., 104, Бийск, Бийск",,,Бийск,,D,5,No,unknown,No,,,
