id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1190,Центральная Похоронная Служба,78312002570; 78312304343; 78312002188,"29, д. Шумилово, коттеджный посёлок Русская Деревня, Богородск",https://bogorodsk.gos-cps.ru/,cps_nn@mail.ru,Богородск,,A,50,Yes,unknown,No,https://t.me/89506096414,https://vk.com/cps2304343,https://api.whatsapp.com/send?phone=7950696414
1200,мастерскаяпоизготовлениюпамятников,79023024444; 78312100444; 79200306006,,https://marin-kamen.ru/,210-04-44@mail.ru,Богородск,,B,35,Yes,unknown,No,https://t.me/+79200306006,https://vk.com/marin.kamen,
1191,Стела гранитная мастерская,79527763068; 79107981447,"ул. Ленина, 189, Богородск, Богородск",http://www.stela52.ru/,,Богородск,,B,30,No,unknown,No,https://t.me/+79527763068,,
1192,Нижегородская мемориальная компания,78317023115,"ул. Венецкого, 5, Богородск, Богородск",https://vrk-nmk.ru/,,Богородск,,B,30,Yes,unknown,No,https://t.me/+78317023115,,
1195,Мастерская памятников Дольмен салон памятников,79201113169,"Нижегородская область, Богородский муниципальный округ, деревня Берёзовка, Богородск",,,Богородск,,B,30,No,unknown,No,https://t.me/+79201113169,https://vk.com/id192245405,https://api.whatsapp.com/send?phone=79201113169
1198,Наша компания это:,79535546658,,https://bogorodsk-pamyatniki.ru/,,Богородск,,B,30,No,unknown,No,https://t.me/+79535546658,,https://api.whatsapp.com/send?phone=79535546658
1189,ДОК,78317028580,"ул. Огарёва, 2, Богородск, Богородск",http://dokstone.ru/,,Богородск,,B,25,No,unknown,No,https://t.me/+78317028580,,
1193,АнгелХВ,79063665696; 79030598811,"ул. Розы Люксембург, 1А, Богородск, Богородск",,,Богородск,,B,25,No,unknown,No,https://t.me/+79063665696,,
1197,Вечность ритуальная служба,79202997686,"ул. Венецкого, 11, Богородск, Богородск",,,Богородск,,C,20,No,unknown,No,https://t.me/+79202997686,,
1196,Оннго,,"ул. Ленина, 187, Богородск, Богородск",,,Богородск,,D,5,No,unknown,No,,,
