id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1246,Городская Ритуальная Служба № 1,79030599510; 79200111008; 79307001777; 79049001313; 78315995816,"ул. Папанина, 6, Бор, Бор",https://grs52.ru/,Grs1Bor@mail.ru; grs1bor@mail.ru,Бор,,A,53,Yes,wordpress,No,https://t.me/+79307001777,https://vk.com/public159306721,https://api.whatsapp.com/send?phone=7930700177709011800018905008052849647894576080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1242,Александрит,79993921020; 79302381020; 79200111008,"Подлужная ул., 2В, Бор, Бор",https://diadema52.ru/,grs1bor@mail.ru; diadema-52@yandex.ru,Бор,,A,52,Yes,unknown,No,https://t.me/++79993921020,,https://api.whatsapp.com/send?phone=79993921020
1243,Центральная Похоронная Служба,78312002570; 78312304343; 78312002188,"ул. Ленина, 144, Бор, Бор",https://bor.gos-cps.ru/,cps_nn@mail.ru,Бор,,A,50,Yes,unknown,No,https://t.me/79506096414,https://vk.com/club236098857,https://api.whatsapp.com/send?phone=795060964140901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1241,Ритуал ритуальный салон,79036047002; 79087209774; 78315922857,"ул. Максима Горького, 62/1, Бор, Бор",http://www.ritual-bor.ru/,vale-danilina@yandex.ru,Бор,,A,48,No,wordpress,No,https://t.me/+79036047002,,https://api.whatsapp.com/send?phone=790360470020901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1240,Монумент ритуальная компания,79049042494; 79049242480,"Стеклозаводское ш., 19, Бор, Бор",https://tvoy-bor.ru/,,Бор,,A,40,No,unknown,No,https://t.me/+79049242480,https://vk.com/monument52,https://api.whatsapp.com/send?phone=790490424940901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1245,Областная ритуальная компания,79308148222; 79049007050,"ул. Фрунзе, 21, Бор, Бор",https://orknn.ru/,,Бор,,A,40,No,joomla,No,https://t.me/+79308148222,,https://api.whatsapp.com/send?phone=793081482220901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1247,Эксперт-камень,79873978264; 78314222446,"3-й пер., 11/1, Бор, Бор",http://expert-kamen.ru/,,Бор,,A,40,No,bitrix,No,https://t.me/+79873978264,,
1250,Ритуальная компания Память,79200041149; 79527675776; 79290501150,"Стеклозаводское ш., 1Ж, Бор, Бор",,,Бор,,B,35,No,unknown,No,https://t.me/+79200041149,,https://api.whatsapp.com/send?phone=795276757760901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1244,Нижегородская мемориальная компания,78315923390,"ул. Ленина, 131, Бор, Бор",https://vrk-nmk.ru/,,Бор,,B,30,Yes,unknown,No,https://t.me/+78315923390,,
1259,"Изготовление памятников на могилу, установка памятников на кладбище в ...",78129246727; 79817199420,"г. 
 
 
 
 
 
 
 Татьяна Михайловна 
 22",https://pamyatniki-na-mogilu-spb.ru/,roks.kamen@yandex.ru; ebxf.xnzra@lnaqrk.eh,Бор,,B,28,No,unknown,Yes,https://t.me/+79817199420,https://vk.com/pamyatniki_na_mogilu_v_spb,
1249,Обелиск компания по изготовлению и реставрации памятников,79524587227; 79056660009,"ул. Ленина, 133, Бор, Бор",,,Бор,,B,25,No,unknown,No,https://t.me/+79524587227,,
1253,Памятники,79026887630; 79302716040,"ул. Неклюдово, 16, посёлок Неклюдово, Бор, Бор",,,Бор,,B,25,No,unknown,No,https://t.me/+79026887630,,
1251,От Екатерины ритуальный салон,79200119933,"Полевой пер., 2, Бор, Бор",,,Бор,,C,20,No,unknown,No,https://t.me/+79200119933,,
1255,Борский похоронный дом,79087581644,"Нижегородская область, Бор, Пичугинское кладбище, Бор",,,Бор,,C,20,No,unknown,No,https://t.me/+79087581644,,
1260,Гранитные памятники оптом - купить по выгодной цене,79211968000,,https://borgranit.ru/,opt@borgranit.ru; gross53bor@mail.ru,Бор,,D,10,No,unknown,No,https://t.me/+79211968000,,
1252,Литейная мастерская,,"ул. Грибоедова, 1А, Бор, Бор",,,Бор,,D,5,No,unknown,No,,,
1254,Ника,,"Стеклозаводское ш., 1Ж, Бор, Бор",,,Бор,,D,5,No,unknown,No,,,
1256,Мир камня,,"Полевой пер., 2, корп. 1, Бор, Бор",,,Бор,,D,5,No,unknown,No,,,
1257,Компания по изготовлению и реставрации памятников,,"ул. Чугунова, 1, Бор, Бор",,,Бор,,D,5,No,unknown,No,,,
1258,Манумент,,"д. Заборье, 41В, Бор",,,Бор,,D,5,No,unknown,No,,,
