id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1313,Комплекс ритуальных услуг Корус комплекс по оказанию ритуальных услуг,79629630045; 79262677424,"ул. Гоголя, 18, Бронницы, Бронницы",http://ritual-korus.ru/,korus18@bk.ru,Бронницы,,A,55,No,bitrix,No,https://t.me/+79262677424,https://vk.com/club188703315,https://api.whatsapp.com/send?phone=79629630045
1312,Ритус городская похоронная служба,79175035652; 79160170696; 75040007118; 70281014035,"Московская ул., 14, Бронницы, Бронницы",http://www.gorritual.site/,sakh77@mail.ru,Бронницы,,A,45,No,unknown,No,https://t.me/+79175035652,,https://api.whatsapp.com/send?phone=791750356520901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1322,Небо Одно,79097535050,,https://bronnici.nebo-odno.ru/,op.nebo1@gmail.com,Бронницы,,A,42,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
1317,Контакты гранитной мастерской РамГранит,79263999774; 79266055946,"Московская ул., 14, Бронницы, Бронницы",https://ramgranit.ru/,info@ramgranit.ru,Бронницы,,A,40,Yes,unknown,No,https://t.me/+79263999774,,
1321,Бронницкое городское кладбище в Бронницах. Изготовление памятников и ...,74957698374; 79857698374; 79162012666; 79104200687; 79258891134; 79268740087; 79151772333; 79167697735; 79165044435; 75035000336,,https://pamyatm.ru/,zakaz@pamyatm.ru,Бронницы,,B,32,No,unknown,No,https://t.me/pamyatm_moscow,https://vk.com/pamyat_m/,
1318,Памятники,79265777298; 79646400745,"Строительная ул., 2А, Бронницы, Бронницы",,,Бронницы,,B,25,No,unknown,No,https://t.me/+79265777298,,
1314,Диабаз,79165063669,"Московская область, Бронницы, Бронницкое городское кладбище, Бронницы",,,Бронницы,,C,20,No,unknown,No,https://t.me/+79165063669,,
1315,"Памятники, надгробья",79168435179,"Московская область, городской округ Бронницы, Бронницы",,,Бронницы,,C,20,No,unknown,No,https://t.me/+79168435179,,
1316,Artgran,79854414825,"Московская область, Раменский городской округ, село Ганусово, территория Промзона, Бронницы",,,Бронницы,,C,20,No,unknown,No,https://t.me/+79854414825,,
1319,Мастерская,,"Строительная ул., 2А, Бронницы, Бронницы",,,Бронницы,,D,5,No,unknown,No,,,
1320,Гранитная мастерская,,"Московская область, Раменский городской округ, сельское поселение Рыболовское, Бронницы",,,Бронницы,,D,5,No,unknown,No,,,
