id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1326,Ритуальные услуги ритуальная компания,74832343435; 79006987015; 79191999435; 74832420424; 79532840156; 74832323171,"ул. Орджоникидзе, 34, п. г. т. Большое Полпино, Брянск",https://bryansk-ritual.ru/,mail@bryansk-ritual.ru,Брянск,,A,60,Yes,bitrix,No,https://t.me/79191999435,https://vk.com/archangel32rus,https://api.whatsapp.com/send?phone=79191999435
1329,Небеса,79100341020; 74832341020; 79679705950; 79050543030; 79102931030; 79103349011; 79103389759; 79803171742; 79158089511; 79103389825; 79155328938,"городской округ Брянск, Бежицкий район, улица 22-го съезда КПСС, 31А, Брянск",https://www.nebesa32.ru/,nebesa32ru@mail.ru; nebesa32@mail.ru,Брянск,,A,57,No,bitrix,No,https://t.me/nebesa_ritualcentr,https://vk.com/nebesa32,https://api.whatsapp.com/send?phone=791003410200901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1325,Томбстоун компания по изготовлению памятников,79605553905; 74832515071,"ул. Ульянова, 18А, Брянск, Брянск",https://tombstone32.ru/,granit32@list.ru,Брянск,,A,47,No,opencart,No,https://t.me/tombstone32,,https://api.whatsapp.com/send?phone=796055539050901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1331,Благо32. ру,79632100326; 79605485817; 79506974545,"Фосфоритная ул., 1, Брянск, Брянск",http://blago32.ru/,romsere2009@yandex.ru,Брянск,,A,47,No,unknown,No,https://t.me/blago32,,https://api.whatsapp.com/send?phone=796054858170901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
1332,Чёрный лебедь,79045620039; 74832303283; 79103313000; 79621379111,"п. г. т. Большое Полпино, СО Энергетик, 216А, Брянск",https://чёрный-лебедь.рф/,ad@lebed-stone.ru,Брянск,,A,47,No,unknown,No,https://t.me/lebed_stone32,https://vk.com/lebedstone,https://api.whatsapp.com/send?phone=79103313000
1327,Ритуальный салон,74832505650; 79532842527; 74832445605; 74832323171; 79621427498; 79155362811; 79155328806,"городской округ Брянск, Бежицкий район, Кромской переулок, 67, Брянск",https://изготовление-памятников32.рф/,,Брянск,,A,45,Yes,unknown,No,https://t.me/+74832505650,https://vk.com/win32kot,https://api.whatsapp.com/send?phone=79532842527
1341,Гранит,79103375444; 79103340287,"Лучистая ул., 70, село Толмачево, Россия, Брянск",http://32granit.ru/,granit32@inbox.ru,Брянск,,A,45,No,unknown,No,https://t.me/+79103375444,,https://api.whatsapp.com/send?phone=79103375444
1355,Век ритуальная компания,79103376607; 79529642546; 79803393680; 79103316648; 74832642164; 79529641170,"Волочаевская ул., 36, Брянск, Брянск",http://vek32.ru/,vek32-work@mail.ru; info@vek32.ru,Брянск,,A,45,No,bitrix,No,https://t.me/+79103376607,,
1328,Эребор Ритуальная компания,79529684122,"Фосфоритная ул., 1АС1, Брянск, Брянск",https://ierebor.ru/,info@ierebor.ru; erebor.granit@mail.ru,Брянск,,A,43,No,wordpress,No,https://t.me/+79529684122,https://vk.com/public215393423,https://api.whatsapp.com/send?phone=79529684122
1362,Ritual Agency,79662010281,"просп. Станке Димитрова, 88, корп. 3, Брянск, Брянск",https://ritualagency.ru/,,Брянск,,A,42,Yes,unknown,No,https://t.me/mk_ritual,,https://api.whatsapp.com/send?phone=79669999000
1323,Ангел ритуальное агентство,74832555006; 79103330053; 74832555002; 74832555001; 74832555220; 74832555330; 79102348008,"городской округ Брянск, Бежицкий район, Почтовый переулок, 84, Брянск",https://angel32-shop.ru/,,Брянск,,A,40,No,bitrix,No,https://t.me/+74832555006,https://vk.com/angel32shop,
1330,Салон Камня,79103333653; 74832333653,"ул. Вали Сафроновой, 56, Брянск, Брянск",http://www.centr-k.ru/,,Брянск,,A,40,No,unknown,No,https://t.me/+79103333653,,https://api.whatsapp.com/send?phone=79103333653
1333,Муниципальное унитарное специализированное предприятие по вопросам похоронного дела города Брянска,79006969966; 74832743602; 74832782093; 74832782092; 74832782091; 79803190903; 79532901312; 79103373938; 79803069147; 79038696938,"ул. Ленина, 3А, п. г. т. Белые Берега, Брянск",http://musp-bryansk.ru/,,Брянск,,A,40,No,unknown,No,https://t.me/+79006969966,,https://api.whatsapp.com/send?phone=79006969966
1336,Ритуальное агентство Алгея,74832367649; 74832629512,"ул. Чернышевского, 72Б, Брянск, Брянск",https://algeya.ru/,Email:; info@algeya.ru,Брянск,,A,40,No,tilda,No,https://t.me/evilkres,,
1370,Гранит памяти,79678087675,,https://bryansk.granit-pamyati.ru/,office@granit-pamyati.ru,Брянск,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
1371,Данила-Мастер,79022234935; 79022202052,"г. Брянск, ул. М",https://bryansk.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Брянск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=bryansk,
