id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
1408,Гранит памяти,79678087675,,https://buzuluk.granit-pamyati.ru/,office@granit-pamyati.ru,Бузулук,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
1399,Gora,79953535656; 79958388423,"Оренбургская область, 53К-0801000, Бузулук",,,Бузулук,,B,35,No,unknown,No,https://t.me/+79953535656,,https://api.whatsapp.com/send?phone=79953535656
1403,Грани,73534295389; 73534295392; 79228806412,"ул. Гая, 69, Бузулук, Бузулук",http://grani56.ru/,graany@mail.ru,Бузулук,,B,35,No,unknown,No,https://t.me/+73534295389,,
1407,O. D. A,79991580080,"Оренбургская область, Бузулук, Бузулук",,,Бузулук,,B,30,No,unknown,No,https://t.me/+79991580080,,https://api.whatsapp.com/send?phone=79991580080
1400,Православное погребение,73534221929,"ул. Щорса, 40, Бузулук, Бузулук",https://funeral-home-3271.business.site/,,Бузулук,,B,25,No,unknown,No,https://t.me/+73534221929,,
1406,Память,79226203003,"ул. Фрунзе, 3, Бузулук, Бузулук",http://память56.рф/,,Бузулук,,B,25,No,unknown,No,https://t.me/+79226203003,,
1409,Изготовление памятников на могилу в Бузулуке,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://buzuluk.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Бузулук,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
1397,Монумент,79960785650,"Московская ул., 10, Бузулук, Бузулук",,,Бузулук,,C,20,No,unknown,No,https://t.me/+79960785650,,
1401,Зодчий,73534274444,"Дорожная ул., 1, Бузулук, Бузулук",,,Бузулук,,C,20,No,unknown,No,https://t.me/+73534274444,https://vk.com/maxpred,
1402,Памятники,79225550095,"ул. 3-я Линия, 2, Бузулук, Бузулук",,,Бузулук,,C,20,No,unknown,No,https://t.me/+79225550095,,
1404,Служба быта,79058448366,"ул. Галактионова, 26, Бузулук, Бузулук",,,Бузулук,,C,20,No,unknown,No,https://t.me/+79058448366,,
