id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
8112,ГРАНИТ — МЕМОРИ,79162582013; 76145021873; 73116191126,,https://granit-memory.ru/,granit-memory@yandex.ru,Чебаркуль,,A,48,Yes,bitrix,No,https://t.me/Granit_Memory,,
8114,ДЕЛО,79000717912; 79000717920,,https://chebarkul.pamyatniki74.ru/,89000717912@mail.ru,Чебаркуль,,A,41,Yes,wordpress,No,https://t.me/Kamennoe_delo_rf,https://vk.com/blagoustrojstvachelyabinsk,
8113,lipetsk.xn--80apbncqgt0j.xn--p1ai,79618559078; 79892201077; 79882409747,"г Инна 
 20",https://lipetsk.xn--80apbncqgt0j.xn--p1ai/,,Чебаркуль,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
8109,Тихая обитель,73516828306; 74232431852; 74232634848; 74232904685,"ул. Заря, 31, Чебаркуль, Чебаркуль",http://www.tikhayaobitel.ru/,,Чебаркуль,,B,35,Yes,unknown,No,https://t.me/+73516828306,,
8110,chebarkul.skidkom.ru,73517774460; 79085786508; 79511205777; 79193298407; 79517928821; 79675550072,,https://chebarkul.skidkom.ru/,support@skidkom.ru,Чебаркуль,,B,35,Yes,unknown,No,https://t.me/+73517774460,https://vk.com/skidkom,
8105,Уральский Мастер,79000863884; 79128984789; 79193128909,"ул. Карпенко, 8А, Чебаркуль, Чебаркуль",,,Чебаркуль,,B,25,No,unknown,No,https://t.me/+79000863884,,
8102,Белый ангел,79085733880,"ул. 9 Мая, 28, Чебаркуль, Чебаркуль",,,Чебаркуль,,C,20,No,unknown,No,https://t.me/+79085733880,https://vk.com/club204020692,
8103,Бюро ритуальных услуг,79048062472,"ул. Карпенко, 6Б, Чебаркуль, Чебаркуль",,,Чебаркуль,,C,20,No,unknown,No,https://t.me/+79048062472,,
8111,VK Видео — смотреть онлайн бесплатно,,,https://vkvideo.ru/,efa96777c79b4ab4925936e4f31994dd@stacks.vk-portal.net; info@sportmail.ru,Чебаркуль,,C,15,Yes,unknown,No,,,
8104,Память,,"Челябинская область, Чебаркуль, Чебаркуль",,,Чебаркуль,,D,5,No,unknown,No,,,
8106,Памятники,,"ул. Ленина, 31А, Чебаркуль, Чебаркуль",,,Чебаркуль,,D,5,No,unknown,No,,,
8107,Гранд гранит,,"ул. Ленина, 48А, Чебаркуль, Чебаркуль",,,Чебаркуль,,D,5,No,unknown,No,,,
8108,Уральская мемориальная компания,,"ул. Крылова, 10А, Чебаркуль, Чебаркуль",,,Чебаркуль,,D,5,No,unknown,No,,,
