id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
8196,granitkamen.ru,79182648000; 79184378000; 79885278000; 70709896871; 79182594359,"ул. Доватора, 130, Черкесск, Черкесск",https://granitkamen.ru/,granitkamen.ru@mail.ru,Черкесск,,A,51,Yes,wordpress,Yes,http://telegram.me/+79885278000,,
8203,nebo-pamyatniki.ru,78652302405; 76296158638; 76296157651,,https://nebo-pamyatniki.ru/,mail@example.com,Черкесск,,A,49,Yes,unknown,Yes,https://t.me/neboodnosalebot,,
8209,Небо Одно,79097535050,,https://cherkessk.nebo-odno.ru/,op.nebo1@gmail.com,Черкесск,,A,44,Yes,drupal,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
8206,cherkessk.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://cherkessk.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Черкесск,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
8208,cherkessk.rm-ryabina.ru,79785971717; 79885811717; 70172111195,"г. Черкесск, ул. Красная",https://cherkessk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Черкесск,,A,40,Yes,unknown,No,https://t.me/+79785971717,,
8211,Данила-Мастер,79022234935; 79022202052,"г. Черкесск,  ул. Шоссейная",https://cherkessk.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; cc@danila-master.ru; mail@danila-master.ru,Черкесск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=cherkessk,
8205,cherkessk.xn--80apbncqgt0j.xn--p1ai,79882409747; 79618559078; 79892201077; 79618555089,,https://cherkessk.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Черкесск,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
8207,cherkessk.ritualum.ru,79182792792; 72375001374,,https://cherkessk.ritualum.ru/,krd.ritualum@yandex.ru; zakaz@ritualum.ru,Черкесск,,B,35,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
8193,Юон,79289232203; 79886140506; 79283807064,"площадь Кирова, 23, Черкесск, Черкесск",,,Черкесск,,B,25,No,unknown,No,https://t.me/+79289232203,,
8195,Центр гранита,79189918000; 79969173204,"Светлая ул., 18, Черкесск, Черкесск",,,Черкесск,,B,25,No,unknown,No,https://t.me/+79189918000,,
8202,Ангел салон ритуальных услуг,79054200300; 79283842956,"ул. Космонавтов, 5А, Черкесск, Черкесск",,,Черкесск,,B,25,No,unknown,No,https://t.me/+79054200300,,
8197,ИП Фирсов А. С,79632839660,"Железнодорожный пер., 2А, Черкесск, Черкесск",,,Черкесск,,C,20,No,unknown,No,https://t.me/+79632839660,,
8200,"Скала, ИП",79640422100; 79280322100,,,,Черкесск,,C,20,No,unknown,No,https://t.me/+79640422100,,
8204,granitnaya-masterskaya.com.ua,,,http://granitnaya-masterskaya.com.ua/,granitmaster437@gmail.com; #,Черкесск,,C,18,Yes,wordpress,No,,,
8210,tashkent.remkarta.ru - всё для ремонта квартиры и офиса в Ташкенте.,,,https://tashkent.remkarta.ru/,support@remkarta.ru,Черкесск,,D,10,No,unknown,No,,,
8194,Изготовление памятников и надгробий,,"ул. Доватора, 105А, Черкесск, Черкесск",,,Черкесск,,D,5,No,unknown,No,,,
8198,Памятники,,"ул. Доватора, 69Б, Черкесск, Черкесск",,,Черкесск,,D,5,No,unknown,No,,,
8199,Производственная фирма,,"Кавказская ул., 89, Черкесск, Черкесск",,,Черкесск,,D,5,No,unknown,No,,,
