id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
8268,chita.bilkam.ru,73833830392; 73517009492,,https://chita.bilkam.ru/,sales@bilkam.ru,Чита,,A,45,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
8254,КаменьГрад салон ритуальных принадлежностей,79148053321; 79025394381; 79148034953; 79144441142,"ул. Красной Звезды, 40, Чита, Чита",https://xn----7sbb4aablojr9ag7dzf.xn--p1ai/,,Чита,,A,43,No,wordpress,No,https://t.me/+79144686616,https://vk.com/kamen__grad,https://api.whatsapp.com/send?phone=7914805332109704180000218118202183091820500090818818308070180080006050081820930980100
8269,Данила-Мастер,79022234935; 79022202052,"г. Чита,  ул. Ковыльная",https://chita.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; mail@danila-master.ru,Чита,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=chita,
8270,chita.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://chita.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Чита,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
8271,chita.xn--80apbncqgt0j.xn--p1ai,79185568320; 79892201077; 79882409747,,https://chita.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Чита,,B,38,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
8252,Вечность магазин,79141290551; 79144601830,"ул. Рахова, 126, Чита, Чита",,,Чита,,B,35,No,unknown,No,https://t.me/+79141290551,,https://api.whatsapp.com/send?phone=891446018300901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
8255,Некрополь единая городская служба ритуальных услуг,73022313570; 73022711100; 79248111100; 73022314060; 79244707790; 73022713003; 79248113003,"ул. Матвеева, 64, корп. 3, Чита, Чита",http://ritual-chita.ru/,ritual-chita@mail.ru; keramer.nekropol@mail.ru,Чита,,B,35,No,unknown,No,https://t.me/+73022313570,https://vk.com/ritual_chita,
8258,Гранит салон ритуальных принадлежностей,79245720808; 73022261613; 79144840308,"ул. Полины Осипенко, 4, Чита, Чита",,,Чита,,B,35,No,unknown,No,https://t.me/+79245720808,,https://api.whatsapp.com/send?phone=791448403080901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
8261,Забайкальская мемориальная компания,73022455040; 73022451200; 79144706500; 73024021396; 79145083024; 79145122529; 79245045962; 79244729959; 73023521454; 79141373289,"1-я Автогенная ул., 1А, Чита, Чита",http://zabvmk.ru/,vmk_shlyahta@mail.ru,Чита,,B,35,No,unknown,No,https://t.me/+73022455040,,
8262,Лобас-Чита,79145270007; 79144689333,"Забайкальский край, Чита, Центральный район, Чита",http://lobas-chita.ru/,lobas_chita@mail.ru,Чита,,B,35,No,unknown,No,https://t.me/+79145270007,,
8263,Випа-Гранит,79144706571,"ул. Нечаева, 66, Чита, Чита",,,Чита,,B,25,Yes,unknown,No,https://t.me/+79144706571,,
8257,Хэлп,79144569866,"ул. Богомягкова, 62, Чита, Чита",,,Чита,,C,20,No,unknown,No,https://t.me/+79144569866,,
8260,Память'ники,79144352066,"ул. Красной Звезды, 15, Чита, Чита",,,Чита,,C,20,No,unknown,No,https://t.me/+79144352066,,
