id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2266,Гранитная мастерская Эбру,79663880099; 79680483258; 74951421848; 79851433417; 79891876767; 79160546699; 74957995006; 79037995006; 74959691199; 79039691199; 74957499798; 70281083800,"179, д. Шишкино (Растуновский административный округ), коттеджный посёлок Шишкино, Домодедово",https://domodedovskoe-kladbishe.ru/,granit-manufactura@yandex.ru; granit.pamyat@mail.ru; gpmihnevo@mail.ru; +74957499798,Домодедово,,A,55,Yes,wordpress,No,https://t.me/pamyatniki_domodedovo_ebru,https://vk.com/domodedovograniteworkshop,https://api.whatsapp.com/send?phone=7968048325809011800018905008052849632346702080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
2270,Каменный цветок,79032020207; 79266343401; 79670031333; 79651880099; 79037995006,"Московская область, городской округ Домодедово, деревня Ловцово, Домодедово",https://домодедовское-кладбище.рф/,rbt-profi@yandex.ru,Домодедово,,A,53,Yes,wordpress,No,https://t.me/+79032020207,,https://api.whatsapp.com/send?phone=79670031333
2273,Sofyagranit,79036868646; 71463148882; 71463151960,"Промышленная ул., 19, Домодедово, Домодедово",http://sofyagranit.ru/,sofyagranit@mail.com,Домодедово,,A,50,No,tilda,No,https://t.me/sofyagranit/50,,https://api.whatsapp.com/send?phone=79036868646
2271,Золотое сечение,79850221010; 79168221010; 77000015239; 77215302841,"Промышленная ул., 19, Домодедово, Домодедово",https://gr-anit.ru/,gr-anit@mail.ru,Домодедово,,A,48,No,wordpress,No,https://t.me/+79850221010,,https://api.whatsapp.com/send?phone=79850221010
2269,Ритуал Град,79262761123; 74992838994; 74997557393; 79268321609; 79265688566,"Московская область, городской округ Домодедово, Каширское шоссе, 37-й километр, 1, Домодедово",http://monument-dom.ru/,,Домодедово,,A,47,Yes,unknown,No,https://t.me/ritualgradru,https://vk.com/ritualgradru,https://api.whatsapp.com/send?phone=79268321609
2274,Град-Экс гранитная мастерская,74951096677; 74951205544; 79254444000; 79268884444,"ул. 25 лет Октября, 9, Домодедово, Домодедово",http://www.grad-ex.ru/,,Домодедово,,A,47,Yes,joomla,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=7925444400009011800018905008052849617015006080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
2272,Гласс-Мемори,74959551679; 79163311641; 79161887092; 70281084000,"Домодедово, микрорайон Западный, территория Интегра, с3, Домодедово",http://glass-memory.ru/,zakupki.gm@gmail.com; info@glass-memory.ru,Домодедово,,A,45,No,unknown,No,https://t.me/79163311641,https://vk.com/glassmemory,https://api.whatsapp.com/send?phone=791633116410901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
2279,Память М,74957698374; 79857698374; 79162012666; 79104200687; 79258891134; 79268740087; 79151772333; 79167697735; 79165044435; 75035000336,"ул. Текстильщиков, 2, Домодедово, Домодедово",https://pamyatm.ru/,zakaz@pamyatm.ru,Домодедово,,A,42,Yes,unknown,No,https://t.me/pamyatm_moscow,https://vk.com/pamyat_m,
2267,Постамент. ру,79672013223; 74952013227,"ул. Корнеева, 8, микрорайон Центральный, Домодедово, Домодедово",https://postament.ru/,,Домодедово,,A,40,No,unknown,No,https://t.me/+79672013223,https://vk.com/postamentu,https://api.whatsapp.com/send?phone=792632479010901180001890500805284965524767080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
2276,Гранат,79939070777; 79251594649; 79151886421,"2-я Февральская ул., 1, микрорайон Востряково, Домодедово, Домодедово",http://мосритуалцентр.рф/,,Домодедово,,A,40,No,unknown,No,https://t.me/+79939070777,,https://api.whatsapp.com/send?phone=792605940710901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
2277,ТПД Ритуал,79015317030,"д. Истомиха, с1, Домодедово",https://tpdritual.ru/,info@tpdritual.ru,Домодедово,,A,40,No,joomla,No,https://t.me/+79015317030,,https://api.whatsapp.com/send?phone=790153170300901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
2278,Гранитная мастерская Гармония,79685900378; 79685900377,"Донбасская ул., 52Б, микрорайон Востряково, Домодедово, Домодедово",https://gravernaja-masterskaja-donbasskaja-ulitsa.clients.site/,,Домодедово,,A,40,No,unknown,No,https://t.me/+79685900378,,https://api.whatsapp.com/send?phone=79685900377
2280,Гравюра,79857626578,"Промышленная ул., 19, Домодедово, Домодедово",https://pamyatniki-izgotovlenie.ru/,office@pamyatniki-izgotovlenie.ru,Домодедово,,A,40,No,unknown,No,https://t.me/+79857626578,,https://api.whatsapp.com/send?phone=79857626578
2299,Памятники.Moscow,79268252866; 74953694359; 79057057777,"Россия, Московская область, Домодедово, микрорайон Северный, Набережная улица, Домодедово",https://pamyatniki.moscow/,info@pamyatniki.moscow,Домодедово,,A,40,Yes,opencart,No,https://t.me/+79268252866,,
