id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2421,Мемориал специализированный центр,79178745155; 78555760011,"Молодёжная ул., 2, Елабуга, Елабуга",https://ритуал16.рф/,,Елабуга,,A,50,No,bitrix,No,https://t.me/+79178745155,,https://api.whatsapp.com/send?phone=795204600110901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
2430,Кукморский Камнеобрабатывающий Завод,79872258805; 79869315791,,https://kukmorstones.ru/,magistralnaya@kukmorstone.ru; pr.ibragimova@kukmorstone.ru,Елабуга,,B,35,Yes,unknown,No,https://t.me/+79869315791,,
2425,Мемориал салон ритуальных услуг,79172338377; 78555760078,"Рабочий пер., 2, посёлок Голубой, Елабуга, Елабуга",http://memorial1.ru/,,Елабуга,,B,30,No,joomla,No,https://t.me/+79172338377,https://vk.com/memorialelabuga,
2422,ООО Память фирма,79656299700; 78555746033,"Республика Татарстан (Татарстан), Елабуга, Московская улица, Елабуга",,,Елабуга,,B,25,No,unknown,No,https://t.me/+79656299700,https://vk.com/club131032141,
2424,Кама Мрамор камнеобрабатывающее предприятие,79274618888,"Набережно-Челнинское ш., 2А, Елабуга, Елабуга",,,Елабуга,,C,20,No,unknown,No,https://t.me/+79274618888,https://vk.com/club143087861,
2429,Ритуальный салон Память,78555775028,"Республика Татарстан, Елабуга г., ул. Московская, 105, Елабуга",,,Елабуга,,C,20,No,unknown,No,https://t.me/+78555775028,,
2423,Гранит сервис,,"Республика Татарстан, 16К-0816, Елабуга",http://mramor16.ru/,,Елабуга,,D,10,No,unknown,No,,,
2426,Ритуал-Гранит,,"просп. Нефтяников, 92, Елабуга, Елабуга",,,Елабуга,,D,5,No,unknown,No,,,
2427,Гранит-Мрамор,,"ул. Баки Урманче, 26, Елабуга, Елабуга",,,Елабуга,,D,5,No,unknown,No,,,
2428,Памятники,,"ул. Чапаева, 70А, Елабуга, Елабуга",,,Елабуга,,D,5,No,unknown,No,,,
