id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
8424,Постамент. ру,74952013227; 79262668877; 74951322272; 79660990708; 79100847144; 79672013223; 79261303227; 79262133227,"ул. Корешкова, 02, Электросталь, Электросталь",https://postament.ru/,info@postament.ru; info@postament.ru>,Электросталь,,A,66,Yes,bitrix,No,https://t.me/PostamentBot,https://vk.com/postamentu,https://api.whatsapp.com/send?phone=79997728751
8423,Возрождение,74957402646; 79256027181; 70281001000,"Московская область, Электросталь, Загородный проезд, Электросталь",https://vozrogdenie1.ru/,infoGAVvozrogdenie1DDOTru; info@vozrogdenie1.ru,Электросталь,,A,50,Yes,unknown,No,https://t.me/+74957402646,https://vk.com/vozrogdenie1granit,https://api.whatsapp.com/send?phone=79256027181
8422,Union stone,79687933956; 79684461379,"Московская область, Богородский городской округ, деревня Тимохово, Богородское кладбище, Электросталь",https://union-stone.ru/,info@union-stone.ru,Электросталь,,A,48,No,wordpress,No,https://t.me/79684461379,,https://api.whatsapp.com/send?phone=79684461379
8421,Гранитная мастерская,79163891718; 79258049499; 79104511969; 79260887823; 79263358845; 74965166591; 79264745240; 79297459797; 79271718970,"Московская область, Электросталь, Загородный проезд, Электросталь",http://pamyati.ru/,,Электросталь,,A,45,Yes,unknown,No,https://t.me/+79163891718,,https://api.whatsapp.com/send?phone=79163891718
8434,Памятники. Moscow,79268252866; 74953694359; 79057057777,"Россия, Московская область, Богородский городской округ, Богородское кладбище, Электросталь",https://pamyatniki.moscow/,info@pamyatniki.moscow,Электросталь,,A,40,Yes,opencart,No,https://t.me/+79268252866,,
8420,Град-Экс гранитная мастерская,74951096677; 74951205544,"ул. Журавлёва, 2, Электросталь, Электросталь",,,Электросталь,,B,38,Yes,unknown,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=79254444000
8438,О нас,79266473011,,https://electrostal.pamyatnik-namogilu.ru/,info@pamyatnik-namogilu.ru,Электросталь,,B,33,Yes,wordpress,No,https://t.me/+79266473011,,
8440,borovichi.xn--80apbncqgt0j.xn--p1ai,79626840847,,https://borovichi.xn--80apbncqgt0j.xn--p1ai/,,Электросталь,,B,28,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
8425,Ритуал Фрязево,79152982459; 79637727453,"Московская область, городской округ Электросталь, село Иванисово, Электросталь",,,Электросталь,,B,25,No,unknown,No,https://t.me/+79152982459,,
8428,Центр ритуальных услуг,74965745749; 74965745747; 79165090436; 79262140036,"Загородный пр., 1, Электросталь, Электросталь",,,Электросталь,,B,25,No,unknown,No,https://t.me/+74965745749,,
8430,Гранитка у Тихой Рощи,79263403689; 79267891183,"Московская область, Электросталь, Загородный проезд, Электросталь",,,Электросталь,,B,25,No,unknown,No,https://t.me/+79263403689,,
8431,Гранит,79167845693,"Московская область, Электросталь, Загородный проезд, Электросталь",,,Электросталь,,B,25,Yes,unknown,No,https://t.me/+79167845693,,
8432,Монолит,79037480002; 79645957333; 79268275205,"ул. Мира, 31В, Электросталь, Электросталь",,,Электросталь,,B,25,No,unknown,No,https://t.me/+79037480002,,
8433,Ритуал,74965759933; 79168289517,"Трудовая ул., 31, Электросталь, Электросталь",,,Электросталь,,B,25,No,unknown,No,https://t.me/+74965759933,,
8426,Кладбище Тихая-Роща,79154735678,"Московская область, Электросталь, кладбище Тихая роща, Электросталь",,,Электросталь,,C,20,No,unknown,No,https://t.me/+79154735678,,
8427,Посбон-Лобня,74965733077,"ул. Победы, 4, корп. 1А, Электросталь, Электросталь",,,Электросталь,,C,20,No,unknown,No,https://t.me/+74965733077,,
8439,eifgaz.ru,,,https://eifgaz.ru/,,Электросталь,,D,10,Yes,unknown,No,,,
8435,Кристалл 2002,,"ул. Журавлёва, 16, Электросталь, Электросталь",,,Электросталь,,D,5,No,unknown,No,,,
8436,Памятники,,"ул. Мира, 31Б, Электросталь, Электросталь",,,Электросталь,,D,5,No,unknown,No,,,
