id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2435,Вечная память ритуальное агентство,79205220200; 74746750085; 79042188899; 74742200431,"Пушкарская ул., 4А, Елец, Елец",https://память48.рф/,mail@vechnaya-pamyat48.ru,Елец,,A,52,No,wordpress,No,https://t.me/pamyat48rf_bot,https://vk.com/pamyat48rf,https://api.whatsapp.com/send?phone=79205220200
2432,Чёрный тюльпан,79192522363,"ул. Чкалова, 31, Елец, Елец",https://оптритуал48.рф/,chernyytyulpan@list.ru; //chernyytyulpan@list.ru; Chernyytyulpan@list.ru,Елец,,A,45,No,wordpress,No,https://t.me/BlackTuilp_bot,https://vk.com/blacktulipyelets,https://api.whatsapp.com/send?phone=79192522363
2433,Мастерская по камню Малахит,79038660190; 79202494001; 79601509826,"ул. Александра Матросова, 136, Елец, Елец",https://xn----7sbqamanldkt2bydug.xn--p1ai/,ritual-48@yandex.ru,Елец,,A,45,No,joomla,No,https://t.me/+79038660190,,https://api.whatsapp.com/send?phone=79601509826
2434,Память в камне,79102529220; 79191653993,"ул. Льва Толстого, 83А, Елец, Елец",https://елец-памятники.рф/,,Елец,,A,43,No,wordpress,No,https://t.me/+79191653993,https://vk.com/granitico,https://api.whatsapp.com/send?phone=79191653993
2436,Академия камня,79092201545; 79205005836; 79601551525; 79616060606; 79056871506,"Липецкая область, Елец, Городское кладбище в районе Орловского шоссе, Елец",http://www.елецгранит.рф/,eletsgranit@yandex.ru,Елец,,B,35,No,unknown,No,https://t.me/+79092201545,https://vk.com/pamaytniki48,
2450,Данила-Мастер,74742200407; 79022234935; 79022202052; 76032210001; 79022201954; 79201305344; 79201305357,,https://yelets.danila-master.ru/,natalia.streletskaya@danila-master.ru; mail@danila-master.ru; tatiana.bronnikova@danila-master.ru; info@danila-master.ru; marina.burykina@danila-master.ru; dm-on-line@danila-master.ru,Елец,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=yelets,
2431,Вознесение,79933983095; 79205205385,"Мельничный пер., 15, Елец, Елец",http://вознесение-елец.рф/,,Елец,,B,30,No,unknown,No,https://t.me/+79933983095,https://vk.com/id817957307,
2439,Память,79103560499,"Орловское ш., 14, Елец, Елец",,,Елец,,B,30,No,unknown,No,https://t.me/+79103560499,,https://api.whatsapp.com/send?phone=79103560499
2447,MetBeton,79205060847; 79086995077; 79038677139,"Ламской пр., 7, Елец, Елец",http://metbeton.ru/,,Елец,,B,30,No,unknown,No,https://t.me/+79205060847,,
2449,Памятники из гранита - купить по доступной цене в Елец,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://elec.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Елец,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
2438,Ритуальные принадлежности,79192502303,"ул. Маяковского, 8, Елец, Елец",,,Елец,,C,20,No,unknown,No,https://t.me/+79192502303,,
2440,Ритуальные услуги памятники,,"ул. Яна Фабрициуса, 4, Елец, Елец",,,Елец,,D,5,No,unknown,No,,,
2441,Магазин Памятники,,"Клубная ул., 6, Елец, Елец",,,Елец,,D,5,No,unknown,No,,,
2442,Изготовление памятников и надгробий,,"ул. Льва Толстого, 83, Елец, Елец",,,Елец,,D,5,No,unknown,No,,,
2444,Гравёр-мастер,,"ул. Маяковского, 39, Елец, Елец",,,Елец,,D,5,No,unknown,No,,,
2445,Памятники от производителя,,"ул. Спутников, 1, Елец, Елец",,,Елец,,D,5,No,unknown,No,,,
2446,Православный крест,,"Липецкая область, 42К-295, Елец",,,Елец,,D,5,No,unknown,No,,,
