id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2365,Гранит-Соракс,79786646141; 79780161610; 79788940218; 79787203792; 79786922935; 79789474763; 79782587046; 79785485896; 79788718785; 79788694952; 79782930201; 79781181944; 79788578371,"Интернациональная ул., 102, Евпатория, Евпатория",https://granit-sorax.ru/,granit-rost2000@mail.ru; granitimramor.opt@mail.ru,Евпатория,,A,55,Yes,wordpress,No,https://t.me/granitsorax,https://vk.com/club160240571,https://api.whatsapp.com/send?phone=79780161610
2372,Эталон-гранит производитель ритуальной продукции,79785530223; 79787202060; 79780208546; 79183787935,"Интернациональная ул., 121, Евпатория, Евпатория",https://эталон-гранит.рф/,etalon-granit82@ya.ru,Евпатория,,A,50,Yes,unknown,No,https://t.me/+79787202060,https://vk.com/etalongranit82,https://api.whatsapp.com/send?phone=79787202060
2373,Рябина,79785971717; 70172111195,"Северная ул., 20А, село Лиманное, Евпатория",https://evpatoriya.rm-ryabina.ru/,rim-ryabina@yandex.ru,Евпатория,,A,50,Yes,unknown,No,https://t.me/aleksey_sev,,https://api.whatsapp.com/send?phone=79785971717
2367,Крым-памятники,79782158581; 79782312628; 79787955270; 79788238394; 79788193721,"Межквартальный пр., 9, Евпатория, Евпатория",https://krim-pamyatniki.ru/,cornet33@mail.ru; mailto:cornet33@mail.ru,Евпатория,,A,45,No,unknown,No,https://t.me/+79782158581,https://vk.com/id689857330,https://api.whatsapp.com/send?phone=79782158581
2369,Ритуал,79782101507; 79787150542,"ул. 51-й Армии, 6, Евпатория, Евпатория",http://ritual-crimea.su/,ddenis-82@mail.ru,Евпатория,,A,45,No,unknown,No,https://t.me/+79782101507,https://vk.com/ritual82,https://api.whatsapp.com/send?phone=79782101507
2371,ИП Чернавсков С.В.,79787135334; 79787159836,"Черноморское ш., 17Б, Евпатория, Евпатория",http://iz-granita.ru/,iz_granita@mail.ru,Евпатория,,A,45,No,unknown,No,https://t.me/+79787135334,http://vk.com/id334388449,https://api.whatsapp.com/send?phone=79787159836
2383,Данила-Мастер,79022234935; 79022202052,"г. Евпатория, ул. Дмитрия",https://yevpatoriya.danila-master.ru/,dm-on-line@danila-master.ru; mail@danila-master.ru; info@danila-master.ru,Евпатория,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=yevpatoriya,
2366,Соц-памятник.рф,79786732951,"Интернациональная ул., 114, Евпатория, Евпатория",https://sots-pamjatnikrf.clients.site/,,Евпатория,,B,39,No,unknown,No,https://t.me/socpamyatnik,https://vk.com/socpamyatnikevp,https://api.whatsapp.com/send?phone=79786732951
2370,Мемориал,79783343738; 79782872087,"просп. Победы, 76, Евпатория, Евпатория",,,Евпатория,,B,37,No,unknown,No,https://t.me/frttfdrf111,,https://api.whatsapp.com/send?phone=79782872087
2374,Феникс Ритуал,79786381764; 79789546303,"Республика Крым, Евпатория, квартал Промзона, Евпатория",,,Евпатория,,B,35,No,unknown,No,https://t.me/+79789546303,https://vk.com/fenikskrim,https://api.whatsapp.com/send?phone=79789546303
2375,Мастерская памятников,79780100480,"Межквартальный пр., 6, Евпатория, Евпатория",,,Евпатория,,C,20,No,unknown,No,https://t.me/+79780100480,,
2376,Памятники,79786300896,"Республика Крым, Евпатория, Черноморское шоссе, Евпатория",,,Евпатория,,C,20,No,unknown,No,https://t.me/+79786300896,,
2379,Цех памятников,79787168659,"ул. 51-й Армии, 5, Евпатория, Евпатория",,,Евпатория,,C,20,No,unknown,No,https://t.me/+79787168659,,
2380,Ритуальный центр,79785095143,"Евпаторийская ул., 8А, село Уютное, Евпатория",,,Евпатория,,C,20,No,unknown,No,https://t.me/+79785095143,,
2368,Izgranita.org,,"ул. 51-й Армии, 6, Евпатория, Евпатория",,,Евпатория,,D,5,No,unknown,No,,https://vk.com/monument_evpatoria,
2377,Каменяр,,"Межквартальный пр., 2А, Евпатория, Евпатория",,,Евпатория,,D,5,No,unknown,No,,,
2378,Грань,,"ул. 51-й Армии, 10А, Евпатория, Евпатория",,,Евпатория,,D,5,No,unknown,No,,,
