id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2420,Изготовление памятников из гранита и мрамора в Ейске с гарантией 25 лет,78652302409; 78652302405; 76347313185; 76296158638; 76296157651,г со скидками 2025,https://krasnodar.nebo-pamyatniki.ru/,mail@example.com,Ейск,,A,52,Yes,unknown,Yes,https://t.me/neboodnosalebot,,
2401,Никольская-мастерская,79284174750; 79286677770,"ул. Богдана Хмельницкого, 234/2, Ейск, Ейск",https://nikolskaya-masterskaya.ru/,info@nikolskaya-masterskaya.ru,Ейск,,A,47,No,opencart,No,https://t.me/starbuksUnit,https://vk.com/public201958448,https://api.whatsapp.com/send?phone=79284174750
2408,Град-Экс гранитная мастерская,74951205544; 74951096677,"ул. Победы, 131, Ейск, Ейск",,,Ейск,,A,42,Yes,unknown,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=79254444000
2418,Небо Одно,79097535050,,https://ejsk.nebo-odno.ru/,op.nebo1@gmail.com,Ейск,,A,42,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
2406,ТКК,79530835636; 79384044111; 79676744442,"ул. Богдана Хмельницкого, 234/3, Ейск, Ейск",https://tkk-eisk.ru/,pamyatniki.tkk@bk.ru,Ейск,,B,38,No,wordpress,No,https://t.me/EvgeniaTKK,,
2399,Ритуальные услуги,79615804343,"ул. Карла Либкнехта, 40, Ейск, Ейск",https://pamyatnik-na-zakaz-eisk.ru/,,Ейск,,B,35,No,unknown,No,https://t.me/+79615804343,,https://api.whatsapp.com/send?phone=79615804343
2410,Империя,78613253766; 79061875434; 79184463766,"ул. Богдана Хмельницкого, 234/3, Ейск, Ейск",http://памятники-империя.рф/,imperia.pam@bk.ru,Ейск,,B,35,No,unknown,No,https://t.me/+78613253766,,
2398,Геолис,79180247521,"Армавирская ул., 247, Ейск, Ейск",http://geolis-eysk.com/,,Ейск,,B,32,No,unknown,No,https://t.me/+79180247521,,https://api.whatsapp.com/send?phone=7918024752109011800018905008052849649699459080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
2403,Тафос,79094513534,"Армавирская ул., 200, Ейск, Ейск",,,Ейск,,B,30,No,unknown,No,https://t.me/+79094513534,https://vk.com/public213375357,https://api.whatsapp.com/send?phone=79094513534
2412,Харон,79181329480,"ул. Богдана Хмельницкого, 234/3, Ейск, Ейск",,,Ейск,,B,30,No,unknown,No,https://t.me/+79181329480,,https://api.whatsapp.com/send?phone=79181329480
2416,Ейская строительная компания (ЕСК),79284172023; 79182150777,"Россия, Краснодарский край, Ейск, Ейск",http://строй-ейск.рф/,,Ейск,,B,30,No,unknown,No,https://t.me/+79284172023,,
2400,Мир Камня,79384333377,"Армавирская ул., 228, Ейск, Ейск",https://mir-kamnja-1667648232.clients.site/,,Ейск,,B,25,No,unknown,No,https://t.me/+79384333377,https://vk.com/id760463335,
2407,Некрополь,79288459739,"ул. Мичурина, 25, Ейск, Ейск",http://некропольейск.рф/,,Ейск,,B,25,No,unknown,No,https://t.me/+79288459739,,
2404,Феникс,,"ул. Богдана Хмельницкого, 143, Ейск, Ейск",,,Ейск,,C,24,No,unknown,No,https://t.me/feniks_ritual,,
2409,Мемориал,78613258682,"ул. Богдана Хмельницкого, 128, Ейск, Ейск",,,Ейск,,C,20,No,unknown,No,https://t.me/+78613258682,,
2414,Памятники,79298269796,"ул. Карла Либкнехта, 40, Ейск, Ейск",,,Ейск,,C,20,No,unknown,No,https://t.me/+79298269796,,
2415,Военно-мемориальная компания,78613234004,"353691, Краснодарский край, Ейский р-н, Ейск г., ул. Ясенская, 23, Ейск",,,Ейск,,C,20,No,unknown,No,https://t.me/+78613234004,,
