id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2033,Каменный рай,79284378558; 79002299882; 79939926013,"Кирпичная ул., 3А, Горячий Ключ, Горячий Ключ",https://pamgk.ru/,info@pamgk.ru,Горячий Ключ,,A,49,No,unknown,No,https://t.me/pamyatniki_gk,https://vk.com/pamyatnikigk,https://api.whatsapp.com/send?phone=79284378558
2032,Первый завод памятников,79189900130; 79615923862,"Псекупская ул., 128В/3, Горячий Ключ, Горячий Ключ",https://pam1.ru/,zakaz@pam1.ru,Горячий Ключ,,A,45,No,unknown,No,https://t.me/+79189900130,,https://api.whatsapp.com/send?phone=79189900130
2034,Свет похоронное бюро,79282556566; 79286619998; 79298283388,"ул. Ярославского, 109Е, Горячий Ключ, Горячий Ключ",https://burosvet.ru/,pohoronnoeburosvet@gmail.com,Горячий Ключ,,A,45,No,unknown,No,https://t.me/+79282556566,https://vk.com/burosvet2020,https://api.whatsapp.com/send?phone=79282556566
2045,Изготовление памятников Горячий Ключ / Monument23,79181555554; 79821903475,г  памятников с 3,https://monument23.ru/,monymentbelora@mail.ru,Горячий Ключ,,A,43,Yes,wordpress,No,https://t.me/+79181555554,,
2041,Небо Одно,79097535050,,https://goryachij-klyuch.nebo-odno.ru/,op.nebo1@gmail.com,Горячий Ключ,,A,42,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
2040,Изготовление памятников в Горячем ключе,79180200986; 79824811620,,https://goryachiy-kluch.memorygranit.ru/,memorygranit@mail.ru,Горячий Ключ,,B,38,Yes,wordpress,No,https://t.me/+79180200986,,
2035,Похоронная городская служба,78612447898; 79184444413; 78612440064; 79882447898,"ул. Революции, 6, Горячий Ключ, Горячий Ключ",https://ritual-kuban.ru/,,Горячий Ключ,,B,33,No,wordpress,No,https://t.me/+78612447898,https://vk.com/ritualkuban,
2044,Изготовление памятников в Горячем Ключе и Горячеключевском районе,79182999123,,https://goryachiy-klyuch.zakaz-pamyatnik.ru/,danil_290494@mail.ru,Горячий Ключ,,B,33,Yes,wordpress,No,https://t.me/+79182999123,,
2036,Вечность,79184157694; 79184631576,"ул. Кучерявого, 63, Горячий Ключ, Горячий Ключ",,,Горячий Ключ,,B,25,No,unknown,No,https://t.me/+79184157694,,
2042,МОНУМЕНТ ПАМЯТИ,79184126231,,https://monyments.ru/,,Горячий Ключ,,B,25,No,tilda,No,https://t.me/Tarasenko_Dmitriy92,,
2043,Памятники на могилу в Горячем Ключе | Изготовление и установка,79994158555,,https://ritualgk.ru/,,Горячий Ключ,,D,8,No,wordpress,No,https://t.me/+79994158555,,
2037,Акропль,,"ул. Революции, 6, Горячий Ключ, Горячий Ключ",,,Горячий Ключ,,D,5,No,unknown,No,,,
2038,Памятники,,"Краснодарский край, городской округ Горячий Ключ, станица Саратовская, Горячий Ключ",,,Горячий Ключ,,D,5,No,unknown,No,,,
