id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2958,ishim.bilkam.ru,73833830392; 73517009492,"г. Ишим, ул. Курганская",https://ishim.bilkam.ru/,sales@bilkam.ru,Ишим,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
2950,"Мастерская-магазин ""Гранит""",79220013759; 79526737058; 79026243033; 79504854016; 79829830968,"11, квартал ЗАО Заря, территория № 1, село Стрехнино, Ишим",https://xn--80afoacvjwv6c.xn--p1ai/,,Ишим,,A,43,No,wordpress,No,https://t.me/+79220013759,https://vk.com/granitishim,https://api.whatsapp.com/send?phone=79220013759
2953,ООО Мрамор,73455167844; 73455123229; 70281086744,"4-я Западная ул., 9, Ишим, Ишим",https://mramor72.okis.ru/,Aklyusov@mail.ru; aklyusov@mail.ru,Ишим,,B,35,No,unknown,No,https://t.me/+73455167844,https://vk.com/mramor72ihsim,
2954,Грааль,79048886856; 79129266226,"ул. Островского, 23, Ишим, Ишим",https://kamenishim.ucoz.ru/,kamenishim@yandex.ru,Ишим,,B,35,No,unknown,No,https://t.me/+79048886856,,
2957,Данила-Мастер,73452518091; 79022234935; 79022202052; 76270002932; 76070150598; 73452564139; 73452492575; 79299015038; 79260147668; 79299014714; 79251477102,,https://ishim.danila-master.ru/,dm-on-line@danila-master.ru; yulia.chepurenko@danila-master.ru; olga.krutolevich@danila-master.ru; natalia.povarnitsyna@danila-master.ru; info@danila-master.ru; olga.doncova@danila-master.ru; yulia.stankeeva@danila-master.ru; mail@danila-master.ru; sofia.tits@danila-master.ru,Ишим,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=ishim,
2951,"TRIO-помощь в организации похорон, ритуальные услуги оптовая компания",79829427730,"Казанская ул., 54, стр. 16, Ишим, Ишим",https://trio.ru.com/,,Ишим,,C,22,No,unknown,No,https://t.me/+79829427730,https://vk.com/ishimtrio,
2952,Памятники на Казанской,79504828157,"Казанская ул., 47А, Ишим, Ишим",,,Ишим,,C,20,No,unknown,No,https://t.me/+79504828157,,
2955,Ритуал сервис,79123853548,"ул. Декабристов, 18А, Ишим, Ишим",,,Ишим,,C,20,No,unknown,No,https://t.me/+79123853548,,
2959,ПамятникизгранитавИшиме- цена и фото в каталоге,79785971717; 79885811717; 70172111195,,https://ishim.rm-ryabina.ru/,rim-ryabina@yandex.ru,Ишим,,C,20,Yes,unknown,No,https://t.me/+79785971717,,
2956,Микро,,"ул. Литвинова, 9, Ишим, Ишим",,,Ишим,,D,5,No,unknown,No,,,
