id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2910,Мемориал,79139469229; 79134866678,"ул. Коротеева, 26, Искитим, Искитим",https://memorial-nsk.ru/,memorial-sibir@mail.ru,Искитим,,A,50,Yes,unknown,No,https://t.me/+79134866678,,https://api.whatsapp.com/send?phone=791348666780901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
2908,ПрофГранит,79538748338; 79132040250; 79133714745; 79930317073,"Канатная ул., 42, Искитим, Искитим",https://profgranit54.ru/,,Искитим,,A,45,Yes,opencart,No,https://t.me/+79132040250,https://vk.com/club228442157,https://api.whatsapp.com/send?phone=791320402500901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
2909,Гранитная мастерская Ива,79833222270; 73834391002; 79823222270,"Канатная ул., 98, Искитим, Искитим",http://ива-гранит.рф/,iva-granit@yandex.ru,Искитим,,B,38,No,tilda,No,https://t.me/+79833222270,,
2921,НСК-Ритуал,73832427025,,https://nsk-ritual.ru/,,Искитим,,B,36,Yes,wordpress,Yes,https://t.me/+73832427025,,
2911,Абаз-Сибирь торгово-производственная компания,79529194500; 79529002209,"Молдавская ул., 57, Искитим, Искитим",http://www.abaz-sib.ru/,,Искитим,,B,30,No,unknown,No,https://t.me/+79529194500,,
2915,Компания ритуальных услуг,79529384680,"Большевистская ул., 5, Искитим, Искитим",,,Искитим,,C,20,No,unknown,No,https://t.me/+79529384680,,
2913,Памятники,,"Школьная ул., 38А, Искитим, Искитим",,,Искитим,,D,5,No,unknown,No,,,
2916,Оникс,,"Садовая ул., 21, посёлок Чернореченский, Искитим",,,Искитим,,D,5,No,unknown,No,,,
2919,Склад памятников,,"Молдавская ул., 57, Искитим, Искитим",,,Искитим,,D,5,No,unknown,No,,,
2920,Гранитные памятники в Искитиме: Купить горизонтальные надгробия со ...,,"г. Искитим , ул. Набережная",https://netoteka.ru/,,Искитим,,D,3,Yes,wordpress,No,,,
