id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2935,GRANT-STONE,74951065606; 79265255531; 79852726318,,https://grant-stone.ru/,sales@grant-stone.ru; shop@shop.ru,Истра,,A,50,Yes,wordpress,No,https://t.me/AnnaFreeMind,,https://api.whatsapp.com/send?phone=79852726318
2923,Louis Beton,79821442914; 79801474862,"Московская область, городской округ Истра, Истра",https://louis-beton.ru/,info@louis-beton.ru,Истра,,A,49,No,joomla,No,https://t.me/LBeton,https://vk.com/louis__beton,https://api.whatsapp.com/send?phone=79821442914
2925,Memorial-istra.ru - Гранитная мастерская,79109370414; 79685379566,"ул. Панфилова, 46Б, Истра, Россия, Истра",https://memorial-istra.ru/,petrbazalt69@mail.ru; name@mail.ru,Истра,,A,48,No,wordpress,No,https://t.me/+79109370414,,https://api.whatsapp.com/send?phone=79109370414
2927,Городской Ритуал,74952032899; 74952971752,"ул. Урицкого, 81А, Истра, Истра",https://гор-ритуал.рф/,info@гор-ритуал.рф,Истра,,A,45,No,joomla,No,https://t.me/gorodskoy_ritual,,https://api.whatsapp.com/send?phone=79268016478
2924,Городской Ритуальный центр,79647694895; 74955047292; 79689514157; 79100849668; 79252429110,"ул. Урицкого, 86, Истра, Истра",https://xn--80aahva2ateiic.xn--p1ai/,dkonov@gmail.com,Истра,,A,43,Yes,wordpress,No,https://t.me/+79647694895,,
2926,Ритуальная Служба,74956882252; 74956844403; 74951116011; 74955096618; 79912072757,"ул. Урицкого, 81А, Истра, Истра",https://gsritual.info/,info@gsritual.info,Истра,,A,43,Yes,wordpress,No,https://telegram.me/grsinfomsk,https://vk.com/club191390355,
2938,Небо Одно,79097535050,,https://istra.nebo-odno.ru/,op.nebo1@gmail.com,Истра,,A,42,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
2937,РуссКомГранит,79207977700; 71052076624,,https://istra.russkomgranit.ru/,info@russkomgranit.ru,Истра,,B,35,Yes,unknown,No,https://t.me/+79207977700,https://vk.com/id581983790,
2930,Ателье камня,79857770833,"Братцевский тупик, 8, посёлок Пионерский, Истра",,,Истра,,B,30,No,unknown,No,https://t.me/79857770833,https://vk.com/moscow.stone.studio,https://api.whatsapp.com/send?phone=79857770833
2931,Гранитные памятники,79268858434; 79775617795,"Почтовая ул., 40, Истра, Истра",http://www.памятники-истра.рф/,,Истра,,B,30,No,unknown,No,https://t.me/+79268858434,https://vk.com/share.php?url=,
2932,Ритуал PS,79651077687; 79163590633,"Россия, Московская область, городской округ Истра, Истринское кладбище, Истра",https://ritualps.ru/,,Истра,,B,30,No,unknown,No,https://t.me/+79651077687,,
2936,"Гранитнаямастерская,изготовлениепамятников,Истра...",74955451470; 79787515023; 73652262297; 79787515054,,https://riane.ru/,rating@mail.ru,Истра,,B,30,No,unknown,No,https://t.me/+74955451470,,
2934,Изготовлениепамятниковна могилу вИстрепо цене от 18900...,74951474745; 79530863611; 79882409747,,https://istra.xn--80apbncqgt0j.xn--p1ai/,garantpamyati@yandex.ru,Истра,,C,22,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
