id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2779,Град-Экс гранитная мастерская,74951205544; 74951096677; 79254444000; 79268884444,"Советский просп., 14А, Ивантеевка, Ивантеевка",https://www.grad-ex.ru/,,Ивантеевка,,A,47,Yes,joomla,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=79254444000
2780,Памятники,79269855583; 79858006901; 79257076866,"Советский просп., 14А, Ивантеевка, Ивантеевка",http://loza-omega.ru/,lozaomega@yandex.ru,Ивантеевка,,A,45,No,unknown,No,http://t.me/lozaomega,https://vk.com/id641486687,https://api.whatsapp.com/send?phone=79151573754
2790,Небо Одно,79097535050,,https://ivanteevka.nebo-odno.ru/,op.nebo1@gmail.com,Ивантеевка,,A,42,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
2782,Похороны Ритуал,74991136731; 78123854136; 74957218088,"Детский пр., 1, Ивантеевка, Ивантеевка",http://ritual-pohoroni.ru/,bills@beget.com; support@beget.com; manager@beget.com,Ивантеевка,,A,40,Yes,unknown,No,https://t.me/+74991136731,,
2788,Ритуалум Сочи,79182792792; 72375001374; 79881838853,"г. Сочи, ул. Пластунская",https://sochi.ritualum.ru/,krd.ritualum@yandex.ru; zakaz@ritualum.ru,Ивантеевка,,A,40,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
2786,"Гранитная мастерская ""Евростела""",79253813308; 79259813308; 79259883308,,https://eurostela.ru/,zakaz@eurostela.ru,Ивантеевка,,B,38,Yes,wordpress,No,https://t.me/+79253813308,https://vk.com/id1023221806,
2781,Похороны Православные,74992868179,"ул. Новосёлки Слободка, 6, Ивантеевка, Ивантеевка",https://ritual-shelkovo.ru/,,Ивантеевка,,B,30,Yes,unknown,No,https://t.me/+74992868179,,
2789,Памятники на могилу в Ивантеевке — Глобал Стоун,79067010732; 74956588000; 79778955032; 74959723972; 74956587000; 79687188589; 79269161241,,https://globalstone.ru/,dmitrov@globalstone.ru; info@globalstone.ru; mariyno@globalstone.ru; izmaylovo@globalstone.ru; opt@globalstone.ru,Ивантеевка,,B,30,Yes,bitrix,No,https://t.me/+79067010732,,
2787,София Гранит,79913676559,,https://sofiagranit.moscow/,granitsofiya@gmail.com,Ивантеевка,,B,25,No,unknown,No,https://t.me/+79913676559,,
2784,Ритуальные Услуги,79253182501,"ул. Толмачёва, 8А, Ивантеевка, Ивантеевка",,,Ивантеевка,,C,20,No,unknown,No,https://t.me/+79253182501,,
2785,Ива-Милосердие,74965363875,"Студенческий пр., 3, Ивантеевка, Ивантеевка",,,Ивантеевка,,C,20,No,unknown,No,https://t.me/+74965363875,,
2791,Составные памятники из гранита на могилу цены Ивантеевка,74951313313,,https://памятники-цены.рф/,,Ивантеевка,,D,10,Yes,unknown,No,https://t.me/+74951313313,,
