id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
2795,Похоронный дом Вознесение,73412445858; 79225050000; 73412555005; 73412451045; 73412615252,"Буммашевская ул., 7/3, Ижевск, Ижевск",https://voznesenie18.ru/,pd@voznesenie18.ru,Ижевск,,A,48,No,wordpress,No,https://t.me/+73412445858,,https://api.whatsapp.com/send?phone=79225050000
2804,Скала,79124627711; 79828171613,"Удмуртская Республика, Завьяловский район, муниципальное образование Каменское, Ижевск",http://skala18.ru/,skala18ru@yandex.ru; 18skala18@gmail.com; Skala18ru@yandex.ru,Ижевск,,A,48,No,wordpress,No,https://t.me/+79124627711,,https://api.whatsapp.com/send?phone=79124627711
2803,Мемориал,79128729575; 79512062901; 79128753544; 79120163375,"Удмуртская Республика, Ижевск, жилой район Машиностроитель, Ижевск",https://memorial18.ru/,memorial18@mail.ru,Ижевск,,A,45,No,unknown,No,https://t.me/+79128729575,https://vk.com/memorial_izh,https://api.whatsapp.com/send?phone=79128753544
2805,ИЖ Реквием ритуальная служба,79933990624; 73412907645; 79090607645; 74825422695,"ул. Городок Машиностроителей, 108Б, Ижевск, Ижевск",https://rekviem18.ru/,stasgluhov18@mail.ru,Ижевск,,A,45,No,opencart,No,https://t.me/79090607645,https://vk.com/rekviem18,https://api.whatsapp.com/send?phone=79090607645
2808,Гранитная мастерская Векамень,79199169901; 73412569901; 73412576695; 79128561601; 73412561601,"Тепличная ул., 4Г, д. Хохряки, Ижевск",https://vekamen.ru/,kirill576695@yandex.ru,Ижевск,,A,45,No,joomla,No,https://t.me/+79199169901,https://vk.com/pamyatniki_izhevsk,https://api.whatsapp.com/send?phone=79199169901
2849,Гранит памяти магазин памятников,79678087675,"ул. Пойма, 19Б, Ижевск, Ижевск",https://granit-pamyati.ru/,office@granit-pamyati.ru,Ижевск,,A,45,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati_moscow,
2799,Комфорт центр ритуальных услуг,73412563037; 73412240470; 79127576964; 79120274541; 79828171721; 79128563673; 79128563651; 79128563037; 79128563655; 73208264071; 73208307079; 73208337279,"Воткинское ш., 65, Ижевск, Ижевск",https://ритуал-комфорт.рф/,,Ижевск,,A,44,No,opencart,No,https://t.me/Ritkomfort,https://vk.com/public215572697,https://api.whatsapp.com/send?phone=79127576964
2806,Грааль ритуальное агентство,79090550216; 79508255156,"Клубная ул., 36, Ижевск, Ижевск",https://graal18.ru/,,Ижевск,,A,43,No,wordpress,No,https://t.me/+79090550216,,https://api.whatsapp.com/send?phone=79090550216
2794,Похоронная компания Ангел,73412321075; 73412320810; 73412906012,"Квартальный пр., 25, Ижевск, Ижевск",http://ангел-18.рф/,,Ижевск,,A,40,No,unknown,No,https://t.me/+73412321075,https://vk.com/club86740535,https://api.whatsapp.com/send?phone=79090606012
2796,Миссия-С похоронный дом,73412907865; 73412568284; 79090607862; 73412907862; 73412907834; 73412595996,"ул. 30 лет Победы, 13, Ижевск, Ижевск",http://ritualnye-uslugi18.ru/,,Ижевск,,A,40,No,unknown,No,https://t.me/+79128563062,https://vk.com/missia_s18,https://api.whatsapp.com/send?phone=79128563062
2802,Данила-Мастер,73412278094; 73412277893; 73412650818; 79022234935; 79022202052; 76270000012; 76021044011; 79201004861; 79201492793,"ул. Максима Горького, 53А, Ижевск, Ижевск",https://izh.danila-master.ru/,natalia.chekh@danila-master.ru; mail@danila-master.ru; natalia.malygina@danila-master.ru; info@danila-master.ru,Ижевск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/danila_pamyatniki,
2816,ИжРитуал похоронная служба,79127412959; 79828264076,"ул. Калинина, 33А, село Завьялово, Ижевск",https://ижритуал.рф/,,Ижевск,,A,40,No,unknown,No,https://t.me/89127412959,,https://api.whatsapp.com/send?phone=79127412959
2822,Вечная память ритуальная служба,79128567709; 73412567709; 79127498397; 79128503609,"Деревообделочная ул., 34, Ижевск, Ижевск",https://vechnaja-pamjat-ulitsa-voroshilova.clients.site/,,Ижевск,,A,40,No,unknown,No,https://t.me/+79127498397,,https://api.whatsapp.com/send?phone=79128503609
2823,Елена Стоун,79128526551; 73412514231; 79018682899; 73412260577,"ул. Чайковского, 69, Ижевск, Ижевск",http://elenastone.dsud.ru/,,Ижевск,,A,40,No,unknown,No,https://t.me/+79128526551,https://vk.com/public158460240,https://api.whatsapp.com/send?phone=79128526551
2854,Гранит памяти,79678087675,,https://izhevsk.granit-pamyati.ru/,office@granit-pamyati.ru,Ижевск,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
2817,Республиканский центр ритуального обслуживания,73412687594; 79124558204; 79120070737; 73412687677; 79821235819,"ул. Гольянский посёлок, 8, корп. 1, Ижевск, Ижевск",http://bsme18.ru/,office@bsme18.ru; info@minzdrav.udmlink.ru; info@reg18.roszdravnadzor.ru; gsenr@udmnet.ru,Ижевск,,B,38,No,wordpress,No,https://t.me/+73412687594,https://vk.com/rcro18,
2800,Хохряковское кладбище,73412209035,"Удмуртская Республика, Завьяловский район, муниципальное образование Первомайское, Ижевск",https://izhritual.ru/,,Ижевск,,B,35,No,joomla,No,https://t.me/+79226831764,https://vk.com/public66982942,https://api.whatsapp.com/send?phone=79226831764
2821,Вечный след,79225077475,"ул. А.Н. Сабурова, 19, Ижевск, Ижевск",,,Ижевск,,B,32,No,unknown,No,https://t.me/vechnyisled,https://vk.com/vechnyisled1,https://api.whatsapp.com/send?phone=79225077475
2801,Небеса,73412576476; 73412241116,"Воткинское ш., 67/1, Ижевск, Ижевск",http://nebesa18.ru/,,Ижевск,,B,30,No,unknown,No,https://t.me/+73412576476,https://vk.com/https://2gis.ru/izhevsk/firm/5770765303777207,
2809,ПСК Джут производственно-строительная компания,73412444424,"Кольцевой пр., 1, Индустриальный район, Ижевск, Ижевск",https://gk-djut.ru/,444424@bk.ru,Ижевск,,B,30,No,unknown,No,https://t.me/+73412444424,https://vk.com/izhgranit,
2811,Некрополь,79512145144; 73412235144; 73412555744; 79018655744; 79991894245; 79226806720; 79018653444; 79018656444,"Удмуртская Республика, Ижевск, жилой район Аэропорт, Ижевск",https://www.necropol18.ru/,,Ижевск,,B,30,No,joomla,No,https://t.me/+79512145144,,
2818,Светлая память,73412567820; 79199111480; 79043158027,"Воткинское ш., 188А, Ижевск, Ижевск",https://dobraypam.ru/,,Ижевск,,B,30,No,unknown,No,https://t.me/+73412567820,,
