id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3030,Журавли похоронный дом,74954143223,"Московская ул., 109, Калуга, Калуга",https://kaluga.guravli.agency/,kaluga@guravli.com; detchino@guravli.com,Калуга,,A,57,Yes,bitrix,No,https://t.me/guravli_agency,https://vk.com/guravli.agency,https://api.whatsapp.com/send?phone=79254143223
3020,Габбро,79206185111; 79936185111,"Тарутинская ул., 209, Калуга, Калуга",https://габбро40.рф/,gabbro-diabaz.kaluga@mail.ru,Калуга,,A,50,No,wordpress,No,https://t.me/Gabbro40,https://vk.com/club59077558,https://api.whatsapp.com/send?phone=79206185111
3021,ПАМЯТНЫЙ ГРАНИТ,79308474888; 79308488886,"Московская ул., 292Б, Калуга, Калуга",https://pamyatniki-ignatina.ru/,granitpam40@yandex.ru,Калуга,,A,50,No,wordpress,No,https://t.me/serg888i,,https://api.whatsapp.com/send?phone=79308474888
3026,Память агентство ритуальных услуг,79105179161; 79105293665; 79533377070; 74842201211; 74842901040; 74842551571,"Калужская область, городской округ Калуга, Шопинское кладбище, Калуга",https://pamyat40.ru/,vg.bekker@yandex.ru,Калуга,,A,50,No,wordpress,No,https://t.me/kalugagranit,https://vk.com/bekkervg,https://api.whatsapp.com/send?phone=79105293665
3070,kaluga.bilkam.ru,73833830392; 73517009492,"г. Калуга, ул. Московская",https://kaluga.bilkam.ru/,sales@bilkam.ru,Калуга,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
3023,Ангел агентство ритуальных услуг,74842226190; 79019950303; 79208780303; 74842750303; 74842596003; 79036365657,"ул. Карла Либкнехта, 31, Калуга, Калуга",https://angel-kaluga.ru/,angelkalyga@yandex.ru; angelkalyga@mail.ru,Калуга,,A,48,No,wordpress,No,https://t.me/+74842226190,https://vk.com/angel750303,https://api.whatsapp.com/send?phone=79019950303
3025,Ритуал похоронное бюро,74842595922; 79208715922; 79208777758,"ул. Баррикад, 181, корп. 1, Калуга, Калуга",http://pbritual.ru/,pbritual@bk.ru,Калуга,,A,48,No,tilda,No,https://t.me/79208777758,https://vk.com/club111029165,https://api.whatsapp.com/send?phone=7920877758
3032,Реквием ритуальное агентство,79036351588; 79019951287; 74842751203; 72345633423; 72345644863; 72345645810,"Грабцевское ш., 101, Калуга, Калуга",http://rekviem.info/,tamari.17@mail.ru,Калуга,,A,45,No,unknown,No,https://t.me/+79036351588,,https://api.whatsapp.com/send?phone=79019951287
3018,Похоронный дом Стелла,74842595223; 79036365223; 76477034339; 76477074025; 79610068404,"ул. Карла Либкнехта, 31, Калуга, Калуга",https://stella-ritual.ru/,,Калуга,,A,43,No,tilda,No,https://t.me/79036365223,https://vk.com/stella_ritual,https://api.whatsapp.com/send?phone=79036365223
3033,Антик,79657016865; 74993228036,"Азаровская ул., 18, Калуга, Калуга",https://antiktrade.ru/,,Калуга,,A,43,No,wordpress,No,https://t.me/+79657016865,,https://api.whatsapp.com/send?phone=79657016865
3017,Архангел,74842400940; 79206170202; 79307540940,"ул. Максима Горького, 6А, Калуга, Калуга",https://adamant40.ru/,,Калуга,,A,40,No,unknown,No,https://t.me/+79307540940,https://vk.com/id774709841,https://api.whatsapp.com/send?phone=79307540940
3024,Латур,79533109885; 79105251501,"ул. Глаголева, 25, Калуга, Калуга",https://memorial40.ru/,,Калуга,,A,40,No,unknown,No,https://t.me/+79533109885,,https://api.whatsapp.com/send?phone=79533109885090900203000930009009098020909000909001020950001090900
3027,Похоронный дом Небеса городской похоронный дом,74842202202,"Зерновая ул., 17В, Калуга, Калуга",https://nebesa.online/,info@nebesa40.ru,Калуга,,A,40,No,unknown,No,https://t.me/+74842202202,https://vk.com/nebesa40,https://api.whatsapp.com/send?phone=79023988880
3036,Nts-Com.ru,79307541690; 74842401690; 74842400690; 74842400790,"Тарутинская ул., 169А, Калуга, Калуга",http://nts-com.ru/,,Калуга,,A,40,No,unknown,No,https://t.me/gk_fenix_pamiatniki,https://vk.com/club134423424,https://api.whatsapp.com/send?phone=79307541690
3042,Анны Костюшиной,79621727372; 76150966472,"ул. Глаголева, 25, Калуга, Калуга",https://studija-pamytnikov40.clients.site/,,Калуга,,A,40,No,unknown,No,https://t.me/79621727372,,https://api.whatsapp.com/send?phone=79621727372
3046,Ритуал.ру,74842333056,"Зерновая ул., 17В, Калуга, Калуга",https://kaluga.ritual.ru/,kaluga@ritual.ru,Калуга,,A,40,No,bitrix,No,https://t.me/+74842333056,,
3064,Ritual Agency,79662010281,"ул. Вишневского, 7, микрорайон Анненки, Калуга, Калуга",https://ritualagency.ru/,,Калуга,,A,40,Yes,unknown,No,https://t.me/+79669999000,,https://api.whatsapp.com/send?phone=79669999000
3068,Гранит памяти,79678087675,,https://kaluga.granit-pamyati.ru/,office@granit-pamyati.ru,Калуга,,A,40,Yes,bitrix,No,https://t.me/granitpamyatibot,https://vk.com/granit_pamyati,
3069,Данила-Мастер,79022234935; 79022202052,"г. Калуга, ул. Московская",https://kaluga.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Калуга,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=kaluga,
