id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3127,Стикс,79029113243; 79082142274; 79951722274,"ул. Шабалина, 63, Канск, Канск",https://styx.tb.ru/,,Канск,,A,45,Yes,unknown,No,https://t.me/+79029113243,,https://api.whatsapp.com/send?phone=79029113243
3128,Ритуальная Галерея,79509933493; 79504300555,"ул. 40 лет Октября, 88А, Канск, Канск",https://ritualgallery.ru/,ogradki@internet.ru,Канск,,A,45,No,unknown,No,https://t.me/79509933493,,https://api.whatsapp.com/send?phone=79509933493
3126,Памятники-Канск,79233052391; 79509844982,"г   
 
 
 
 
 
 
 
 
 
 
 
 
 Каталог 
 
	Отображение 1",https://xn----7sbb4aalcblkgo0bf8q.xn--p1ai/,galya84@list.ru,Канск,,B,38,No,wordpress,No,https://t.me/+79233052391,,
3130,Вечная память,79509777758,"ул. Горького, 80, Канск, Канск",https://памятник124.рф/,pamyatnik124@mail.ru,Канск,,B,35,No,tilda,No,https://t.me/dashiiiiiik14,,
3129,Мемориал-К компания по продаже памятников,73912298030,"ул. 40 лет Октября, 88, стр. 6, Канск, Канск",http://memorial-k.ru/,memorial19@mail.ru; memorial.nazarovo@mail.ru; Memorial.kansk@mail.ru; m.balyakina90@mail.ru; memorial-sh@mail.ru; memorial.kansk@mail.ru; fosster@bk.ru; venok24@mail.ru; memoral.achinsk@mail.ru,Канск,,B,25,No,bitrix,No,,https://vk.com/memorialkrsk,
3134,Изготовление памятников на могилу в Канске,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://kansk.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Канск,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
3135,ПамятникизгранитавКанске- цена и фото в каталоге,79785971717; 79885811717; 70172111195,"г. Канск, ул. Кайтымская",https://kansk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Канск,,B,25,Yes,unknown,No,https://t.me/+79785971717,,
3131,Канск-гранит,79232919746,"Канск, микрорайон Северо-Западный, 45В, Канск",,,Канск,,C,20,No,unknown,No,https://t.me/+79232919746,,
3132,Памятники,,"Красноярский край, Канский район, Сотниковский сельсовет, Канск",,,Канск,,D,5,No,unknown,No,,,
3133,Гранитная мастерская,,"Московская ул., 67/1, Канск, Канск",,,Канск,,D,5,No,unknown,No,,,
