id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3241,Бирюза оптово-розничная компания,79609056060; 79236006060; 79069805050; 79617204040; 70281012616,"Камышинская ул., 2А, корп. 1, Кемерово, Кемерово",https://mramorgranit42.ru/,mramorgranit42@mail.ru,Кемерово,,A,60,Yes,bitrix,No,https://t.me/+79609056060,,https://api.whatsapp.com/send?phone=79069805050
3239,Ангел похоронное агентство,73842769244; 79132996008; 79059082771; 79089464078,"ул. Рукавишникова, 39, Кемерово, Кемерово",https://kem-ritual.ru/,angel.kem@bk.ru; ANGEL.KEM@BK.RU,Кемерово,,A,49,No,unknown,No,https://t.me/angel_ritual,,https://api.whatsapp.com/send?phone=79132996008
3246,Дом Гранита,73842765975; 79089442762; 79511603294; 79235012111; 77207904872,"ул. Тухачевского, 2, Кемерово, Кемерово",https://domgranita42.ru/,kemritual42@yandex.ru,Кемерово,,A,49,No,unknown,No,https://t.me/libovoginez,,https://api.whatsapp.com/send?phone=79235012111
3243,Ритуал-металл,79963313052; 79132345940,"Станционная ул., 8, Кемерово, Кемерово",https://ritual-metal.ru/,ritual-metal@mail.ru,Кемерово,,A,47,No,opencart,No,https://t.me/Ritual_Metal_42,https://vk.com/ritual_metal,https://api.whatsapp.com/send?phone=79963313052
3234,Антарос агентство ритуальных услуг,79515964051; 79515964127,"ул. Нахимова, 246Б, Кемерово, Кемерово",https://antaros.ru/,antaros2@yandex.ru,Кемерово,,A,45,No,unknown,No,https://t.me/+79515964051,,https://api.whatsapp.com/send?phone=79515964127
3235,Артемиос гранитная мастерская,79530673939; 79530653737; 73842333002,"ул. Обнорского, 36, Кемерово, Кемерово",https://artemios42.ru/,artemios42@gmail.ru; artemios42@mail.ru,Кемерово,,A,45,No,unknown,No,https://t.me/89530673939,https://vk.com/artemios42,https://api.whatsapp.com/send?phone=79530673939
3244,Кемеровское Похоронное агентство,73842766555; 79235231333; 79000518182,"ул. Сибиряков-Гвардейцев, 11, Кемерово, Кемерово",https://кемритуал.рф/,kemritual@yandex.ru,Кемерово,,A,45,No,opencart,No,https://t.me/+73842766555,,https://api.whatsapp.com/send?phone=79000518182
3247,Галерея камня,79050659966; 79059609966; 73842767610; 79059690599,"Кузнецкий просп., 103, Кемерово, Кемерово",https://galerystone42.ru/,stonegallery42@mail.ru; Stonegallery42@mail.ru,Кемерово,,A,43,Yes,wordpress,No,https://t.me/+79050659966,https://vk.com/stonegallery142,
3254,Гранит гарант,73842448899; 79627348899; 79050659966,"Кузнецкий просп., 103А, Кемерово, Кемерово",https://granitgarant.ru/,stonegallery103@mail.ru,Кемерово,,A,43,Yes,wordpress,No,https://t.me/+73842448899,,
3257,Ритуал 42,79511626070; 79502601803; 79832531303,"ул. Тухачевского, 38, корп. 2, Кемерово, Кемерово",https://ritual42.ru/,ritual42@mail.ru,Кемерово,,A,43,Yes,wordpress,No,https://t.me/+79511626070,https://vk.com/ritual42,
3233,Данила-Мастер Центр производства памятников,73842233536; 74991132525; 79022234935; 74957452726; 79201305838; 79022202052; 76270001630; 76040840298; 79201306095; 79201306102; 79201306101; 79250093760,"пр. Ленина, 66Б, Кемерово, Кемерово",https://danila-master.ru/,svetlana.pohodenko@danila-master.ru; mail@danila-master.ru; ilia.borisov@danila-master.ru; elizaveta.hechiyan@danila-master.ru; ksenia.malyutina@danila-master.ru; info@danila-master.ru; evgenia.belova@danila-master.ru,Кемерово,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/danila_pamyatniki,
3236,Завет агентство ритуальных услуг,79132949951; 73842633386; 73842636444; 79133221900,"Таврическая ул., 19, посёлок Комиссарово, Кемерово, Кемерово",https://zavet42.ru/,,Кемерово,,A,40,No,unknown,No,https://t.me/+79132949951,https://vk.com/zavet7,https://api.whatsapp.com/send?phone=79132949951
3291,ПК «НАРС»,79237757412; 73833757412,,https://kemerovo.nars.su/,info@nars.su,Кемерово,,A,40,No,bitrix,No,https://t.me/+79237757412,,
