id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3302,Гранит Соракс,79788338113; 79780161610; 79785717281; 79781181944; 79788940218; 79787203792; 79786922935; 79789474763; 79782587046; 79785485896; 79788718785; 79788694952; 79786646141; 79782930201; 79788578371,"ул. Козлова, 22, Керчь, Керчь",https://granit-sorax.ru/,granitimramor.opt@mail.ru; granit-rost2000@mail.ru,Керчь,,A,55,Yes,wordpress,No,https://t.me/granitsorax,https://vk.com/club160240571,https://api.whatsapp.com/send?phone=79780161610
3303,Krim1.ru,79788237855; 79780053677; 79780152852; 79789675451; 79787404697; 73656154308; 73652273612; 79787189100,"ул. Маршала Ерёменко, 28, Керчь, Керчь",https://www.krim1.ru/,info@krim1.ru,Керчь,,A,45,No,unknown,No,https://t.me/+79780053677,https://vk.com/olimp.kerch,https://api.whatsapp.com/send?phone=79781306361
3305,Стол заказов,79788583269,"ул. Мирошника, 3Б, Керчь, Керчь",https://stol-zakazov-pamytniki.clients.site/,,Керчь,,B,35,No,unknown,No,https://t.me/+79788583269,,https://api.whatsapp.com/send?phone=79788583269
3306,Соколов,79787168316; 79788582989,"Полевая ул., 17В, Керчь, Керчь",,,Керчь,,B,35,No,unknown,No,https://t.me/+79787168316,,https://api.whatsapp.com/send?phone=79782282217
3309,Рябина,79785971717; 70172111195,"ул. Маршала Ерёменко, 7Б, Керчь, Керчь",https://kerch.rm-ryabina.ru/,rim-ryabina@yandex.ru,Керчь,,B,35,Yes,unknown,No,,,https://api.whatsapp.com/send?phone=79785971717
3304,Гранитная мастерская,79788872830,"Пионерская ул., 6, село Бондаренково, Керчь",,,Керчь,,C,20,No,unknown,No,https://t.me/+79788872830,https://vk.com/public175678754,
3307,ИП Соколова Д. В.,79787741947,"Сенная площадь, 1, Керчь, Керчь",,,Керчь,,C,20,No,unknown,No,https://t.me/+79787741947,,
3308,Памятники Мрамор Гранит,,"ул. Ярошенко, 27, Керчь, Керчь",,,Керчь,,C,15,No,unknown,No,,,https://api.whatsapp.com/send?phone=79786729141
3311,"Изготовление памятников в Керчи: цены, где заказать, контакты ...",79785312780,,https://pamyatniki-v-kerchi.ru/,,Керчь,,D,13,Yes,wordpress,No,https://t.me/+79785312780,,
3312,Гранитная мастерская Владимира Горабека,79788246683; 79788362728,,http://06561.com/,gravvl@yandex.ua,Керчь,,D,12,No,unknown,No,,,
3310,Ритуал,,"ул. Орджоникидзе, 17, Керчь, Керчь",,,Керчь,,D,5,No,unknown,No,,,
