id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
7946,Память на века,79141738741; 72390011753; 72400044625,"ул. Волочаевская, 28, Хабаровск, Хабаровский край, Россия, 680007, Хабаровск",https://pamyatnaveka.turbo.site/,director@pamyatnaveka.com; director@pamyatnaveka.site; pamyatnaveka@ya.ru,Хабаровск,,A,50,Yes,opencart,No,https://t.me/Pamyatnaveka,https://vk.com/pamyatinaveka,https://api.whatsapp.com/send?phone=79141738741
7991,habarovsk.bilkam.ru,73833830392; 73517009492,"г. Хабаровск, ул. Шевчука",https://habarovsk.bilkam.ru/,sales@bilkam.ru,Хабаровск,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
7945,Сириус ритуальное агентство,74212901100; 74212209319; 79244001100,"ул. Калинина, 113, Хабаровск, Хабаровск",http://siriusdv.ru/,siriusdv27@mail.ru,Хабаровск,,A,48,No,wordpress,No,https://t.me/+74212901100,,https://api.whatsapp.com/send?phone=892440011000901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7947,Мемориальная Студия,79963907384,"ул. Джамбула, 80, Хабаровск, Хабаровск",https://memorialstudio.ru/,memorialstudio27@gmail.com,Хабаровск,,A,40,No,unknown,No,https://t.me/79963907384,https://vk.com/memorialstudio27,https://api.whatsapp.com/send?phone=79963907384
7948,Данила-Мастер,79022234935; 79022202052,"Тихоокеанская ул., 73, корп. 3, Хабаровск, Хабаровск",https://khabarovsk.danila-master.ru/,info@danila-master.ru; dm-on-line@danila-master.ru; mail@danila-master.ru,Хабаровск,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/danila_pamyatniki,
7950,Ритуал27,74212203303; 79141583303; 79842909675,"ул. Павловича, 13, Хабаровск, Хабаровск",https://ритуал27.рус/,,Хабаровск,,A,40,No,opencart,No,https://t.me/+74212203303,,https://api.whatsapp.com/send?phone=798429096750901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7953,Фотокерамика 27,79244042505; 79249253931,"ул. Льва Толстого, 19, Хабаровск, Хабаровск",https://фотокерамика27.рф/,,Хабаровск,,A,40,No,unknown,No,https://t.me/+79244042505,,https://api.whatsapp.com/send?phone=792440425050901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7996,habarovsk.evlitos.ru,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://habarovsk.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Хабаровск,,A,40,Yes,unknown,No,https://t.me/+79039558117,,
7994,pamyatniki.one,79241069759,"г. Хабаровск, ул Карла",https://khabarovsk.pamyatniki.one/,habarovsk@pamyatniki.one,Хабаровск,,B,38,Yes,unknown,No,https://t.me/pamyatnikione,https://vk.com/pamyatnikione,
7992,pohoronim.com,79249300700,"г. Хабаровск, ул. Совхозная",https://pohoronim.com/,info@pohoronim.com,Хабаровск,,B,37,No,bitrix,No,https://t.me/+79249300700,,
7952,Торговая компания Шинта,74959892621; 74212508628; 74212539888; 74212651896; 79098221896,"ул. Менделеева, 2, Хабаровск, Хабаровск",https://www.ermis.su/,,Хабаровск,,B,35,Yes,unknown,No,https://t.me/+74959892621,https://vk.com/ermis_fs,
7954,Память ритуальное агентство,74212203999; 72590928307,"Центральная ул., 2А, село Тополево, Россия, Хабаровск",https://www.памятьритуал.рф/,,Хабаровск,,B,35,Yes,unknown,No,https://t.me/+74212203999,,
7964,Помним Всегда!,79098520389; 79144223815,"Хабаровский район, Матвеевка-Заозёрное, 3-й километр, 1/9, Хабаровск",,,Хабаровск,,B,35,No,unknown,No,https://t.me/+79144223815,,https://api.whatsapp.com/send?phone=790985203890901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
7976,Мастерская Память,79098710101; 72512341832,"ул. Менделеева, 2, Хабаровск, Хабаровск",http://память-мастерская.рф/,whatsappandrey.re@mail.ru; andrey.re@mail.ru,Хабаровск,,B,35,No,unknown,No,https://t.me/+79098710101,,
8000,pamyatniki-stone.ru,79532033130; 79089323676,,https://khabarovsk.pamyatniki-stone.ru/,khabarovsk@pamyatniki-stone.ru; 932-36-76info@pamyatniki-stone.ru,Хабаровск,,B,35,Yes,unknown,No,https://t.me/+79532033130,,
