id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
8035,Гранит Стандарт,79855122526; 74537452510; 77351390396,"Московская область, Химки, микрорайон Подрезково, квартал Кирилловка, Химки",https://granitstandart.ru/,info@granitstandart.ru,Химки,,A,63,Yes,bitrix,No,https://t.me/e662ok,,https://api.whatsapp.com/send?phone=79855122526
8031,Горслужба Ритуал,74953239797; 79770898562; 70010499731; 79055203749,"ул. Бабакина, 5А, Химки, Химки",https://himki.gs-ritual.ru/,help@gs-ritual.ru,Химки,,A,58,No,bitrix,No,https://t.me/gsritualbot,,https://api.whatsapp.com/send?phone=79254742013
8036,Стикс П гранитная мастерская,79152198997; 79685931495; 79164106779; 79197239329; 74957960172; 74955922618; 79670857320; 79686440616,"ул. Академика Грушина, 2/10, Химки, Химки",https://stiks-p.ru/,,Химки,,A,50,No,bitrix,No,https://t.me/+79152198997,https://vk.com/pamaytnik_stiks,https://api.whatsapp.com/send?phone=791641067790901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
8033,Грани гранита,79268544414; 79267016998; 79258940206; 75029000176,"Московская область, городской округ Солнечногорск, Новосходненское кладбище, Химки",http://www.grani-granita.ru/,info@grani-granita.ru; sales@demostore.ru,Химки,,A,50,Yes,unknown,No,https://t.me/+79268544414,,https://api.whatsapp.com/send?phone=79268544414
8034,Городская Ритуальная Служба,74991302726; 79099865455,"Вашутинское ш., с17Ж, Химки, Химки",https://ритуальные-услуги-москва.рф/,funeral-services@yandex.ru,Химки,,A,50,Yes,unknown,No,https://t.me/89099865455,https://vk.com/ritualniuslugivmoskve,https://api.whatsapp.com/send?phone=896116898880901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
8024,Свежий взгляд,79166348624; 79161354495,"Рабочая ул., 2А, Химки, Химки",http://www.sv-vzgliad.ru/,sv_vzgliad@mail.ru,Химки,,A,48,No,wordpress,No,https://t.me/+79166348624,,https://api.whatsapp.com/send?phone=791613544950901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
8032,Первый областной похоронный дом,74957971957; 79652929610; 79681992498; 74957802457; 74997912050; 74957777777; 74955741589; 74955710481; 74959635045; 74955049099; 74955726566; 74959445601; 79250278021,"ул. Мичурина, 31А, стр. 2, микрорайон Сходня, Химки, Химки",http://pohorony.info/,kusakinskusakin@yandex.ru,Химки,,A,48,No,wordpress,No,https://t.me/89652929610,,https://api.whatsapp.com/send?phone=796529296100901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
8025,Град-Экс гранитная мастерская,74951205544; 74951096677; 79254444000; 79268884444,"Московская область, Химки, Железнодорожная улица, Химки",https://www.grad-ex.ru/,,Химки,,A,48,Yes,joomla,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=79254444000
8042,Цвет Камня гранитная мастерская,79104888893; 79671079110; 74951989776,"ул. Маяковского, 14, Химки, Химки",http://памятники-из-гранита77.рф/,mastergranit88@yandex.ru; mastergranit88@mail.ru,Химки,,A,45,No,unknown,No,https://t.me/+79671079110,https://vk.com/share.php?url=,https://api.whatsapp.com/send?phone=796710791100901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
8026,Городской Ритуал,74952032899; 74952971752; 74952976728; 74952087821,"Юбилейный пр., 7, стр. 1, микрорайон Сходня, Химки, Химки",https://гор-ритуал.рф/,info@гор-ритуал.рф,Химки,,A,45,Yes,joomla,No,https://t.me/gorodskoy_ritual,,https://api.whatsapp.com/send?phone=79268016478
8029,Поклон торговая компания,79165672233; 79857601022,"Московская область, городской округ Химки, территориальное управление Лунёвское, Химки",http://poklon.ru/,,Химки,,A,45,Yes,unknown,No,https://t.me/+79165672233,,https://api.whatsapp.com/send?phone=791656722330901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
8040,Производство гранита,79039691199; 74959691199; 70281053800,"Гаражная ул., 2/4, посёлок Лунёво, Химки",https://granit-manufactura.ru/,+74959691199; granit-manufactura@yandex.ru,Химки,,A,43,Yes,wordpress,No,https://t.me/+79035499798,,
8047,Арий Ритуал,79295042933; 79037128798; 79999799229; 77366500884; 77460066732,"71, микрорайон Подрезково, квартал Кирилловка, Химки, Химки",https://ariritual.ru/,ariritual@mail.ru,Химки,,A,41,No,wordpress,No,https://t.me/katrin_ari,,
8028,Данила-Мастер,74993481725; 79201305838; 74991132525; 79022234935; 74957452726; 79022202052; 76270001630; 76040840298; 79201306095; 79201306102; 79201306101; 79250093760,"Нагорное ш., 2, Химки, Химки",https://danila-master.ru/,mail@danila-master.ru; elizaveta.hechiyan@danila-master.ru; evgenia.belova@danila-master.ru; info@danila-master.ru; ksenia.malyutina@danila-master.ru; ilia.borisov@danila-master.ru; svetlana.pohodenko@danila-master.ru,Химки,,A,40,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/danila_pamyatniki,
