id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3368,Натуральный камень,74933153352; 79806680004; 79806680001; 79806680009; 79806680002; 78123854136; 74957218088,"ул. 50-летия Комсомола, 25, Кинешма, Кинешма",https://nkamen.ru/,bills@beget.com; support@beget.com; manager@beget.com,Кинешма,,A,52,Yes,unknown,No,https://t.me/natural_stone_1997,http://vk.com/natural_stone_k,https://api.whatsapp.com/send?phone=79806680004
3370,Магазин Ритуал,79109822088; 74933156773; 79605056926,"ул. имени Островского, 5/83, Кинешма, Кинешма",http://ritual37.ru/,galinaugp@mail.ru; contact@yourowpsite.com,Кинешма,,A,43,Yes,wordpress,No,https://t.me/+79109822088,,
3373,Мраморный цех,79038793223; 79605056926; 79016849046,"ул. Попова, 3, Кинешма, Кинешма",https://monument-factory.ru/,vladimir.usov.2017@mail.ru,Кинешма,,A,43,Yes,wordpress,No,https://t.me/+79038793223,,
3376,Мастерская памятников из мрамора и гранита Мемориал,79065105467; 79203660956; 79308204959; 79158435450; 79203509093; 79183930111; 79671380007; 79158199697; 79066172141; 79158475555; 74957777710; 79036363313; 74986958942; 79212541486; 79233000866; 79832094115; 74959123666; 74959125441; 79130335020; 79104218911; 79806858058; 79203688453; 79158473364; 79023181221; 79036321475; 79611152225; 79100181889; 79612460800; 79158267280; 79806844695; 74955045850; 79203613816; 79158103322; 79106685702; 79158430939; 79203423808; 79106977282; 79068093824; 79051060774; 79106995355; 79645015614; 79109870696; 79109950099; 79303555169; 79127047896; 79615678640; 78612738345; 78612738346,"ул. Сеченова, 3, Кинешма, Кинешма",http://kineshma.spravmer.ru/,vopros-po-situ@yandex.ru,Кинешма,,B,35,No,unknown,No,https://t.me/+79065105467,,
3371,Каменный век,79014838877; 79109812100; 79023182772; 79106923774,"Юрьевецкая ул., 94стр4, Кинешма, Кинешма",,,Кинешма,,B,25,No,unknown,No,https://t.me/+79014838877,https://vk.com/kavek,
3372,Мир камня,74933196926; 74933155297,"ул. Ивана Виноградова, 5П, Кинешма, Кинешма",,,Кинешма,,B,25,No,unknown,No,https://t.me/+74933196926,,
3377,Затенки,79038889989; 79051575773,"Ивановская область, Кинешма, Шуйская улица, Кинешма",,,Кинешма,,B,25,No,unknown,No,https://t.me/+79038889989,,
3382,Памятник из гранита в Кинешме - цена и фото в каталоге,79785971717; 79885811717; 70172111195,"г. Кинешма, ул. Правды",https://kineshma.rm-ryabina.ru/,rim-ryabina@yandex.ru,Кинешма,,B,25,Yes,unknown,No,https://t.me/+79785971717,,
3375,Служба памяти,79158378757,"ул. Правды, 104, Кинешма, Кинешма",,,Кинешма,,C,20,No,unknown,No,https://t.me/+79158378757,,
3378,Памятники,,"ул. Ивана Виноградова, 5П, Кинешма, Кинешма",,,Кинешма,,D,5,No,unknown,No,,,
3379,Стандарт,,"Ивановская область, Кинешма, микрорайон Сокольники, Кинешма",,,Кинешма,,D,5,No,unknown,No,,,
3380,"Военная мемориальная компания, филиал",,"Вичугская ул., 13, Кинешма, Кинешма",,,Кинешма,,D,5,No,unknown,No,,,
3381,Монумент сервис,,"ул. Правды, 14/9, Кинешма, Кинешма",,,Кинешма,,D,5,No,unknown,No,,,
