id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3392,Град-Экс гранитная мастерская,74951096677; 74951205544; 79254444000; 79268884444,"Привокзальная ул., 10А, Киржач, Киржач",https://www.grad-ex.ru/,,Киржач,,A,47,Yes,joomla,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=7925444400009011800018905008052849617015006080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
3391,РусКО агентство ритуальных услуг,79051452873; 79092741616; 79157515491; 79056116913; 79157547327; 79065585969,"Большая Московская ул., 45, Киржач, Киржач",https://kirzhach.spravka-region.ru/,regionspravka@yandex.ru,Киржач,,A,45,No,unknown,No,https://t.me/+79051452873,https://vk.com/club195981712,https://api.whatsapp.com/send?phone=790661309290901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
3399,КОВКА 33,79100991663; 79018880801,"г. Киржач, ул. Северная",https://customforging.ru/,kirzhach.monuments@email.com; info@customforging.ru,Киржач,,A,45,No,bitrix,No,https://t.me/+79100991663,,
3401,Хоккейные коньки | Клюшки | Инвентарь,79254330166,г из 5,https://hockeyskates.ru/,info@hockeyskates.ru,Киржач,,A,40,No,bitrix,No,https://t.me/+79254330166,,
3400,Tradepavilions,79776739159,,https://receptionofmetals.ru/,info@receptionofmetals.ru,Киржач,,B,35,No,bitrix,No,https://t.me/+79776739159,,
3404,Памятники в Киржаче: лучшие мастерские,79612542259,,https://plitkastroy33.ru/,Topolm16@ya.ru; topolm16@ya.ru,Киржач,,B,35,No,bitrix,No,https://t.me/+79612542259,,
3395,Память,79807529405; 79807529406,"Сосновая ул., 10, Киржач, Киржач",,,Киржач,,B,25,No,unknown,No,https://t.me/+79807529405,,
3398,Кресты и ограды,79645362020,"Владимирская область, Киржач, Дорожная улица, Киржач",http://www.kresti-ogradi.ru/,,Киржач,,B,25,No,unknown,No,https://t.me/+79645362020,,
3402,Техцентр ГРАНД,,,https://grand33.ru/,grandauto33@mail.ru,Киржач,,C,20,No,bitrix,No,,,
3403,Памятники Киржач Изготовление,,,https://irbispolimer.ru/,info@example.com; irbispolimer2004@mail.ru,Киржач,,C,20,No,bitrix,No,,,
3396,Карельский гранит,,"Привокзальная ул., 10А, Киржач, Киржач",,,Киржач,,D,5,No,unknown,No,,,
