id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3449,Данила-Мастер,79022234935; 79022202052,,https://kiselyovsk.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Киселёвск,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=kiselyovsk,
3450,Памятники из гранита в Прокопьевске и Киселёвске - изготовление и ...,79609069647; 79505953087; 76960116919; 76960120369,г памятников             7,https://pamyat-naveka.ru/,,Киселёвск,,B,35,No,tilda,No,https://t.me/stolyarovv69,https://vk.com/pamyatnaveka42,
3437,Каменный цветок,79095205535; 79049674278,"Геологическая ул., 1, Киселёвск, Киселёвск",,,Киселёвск,,B,25,No,unknown,No,https://t.me/+79095205535,https://vk.com/kamennyjcvetok,
3441,Памятники,79511842937; 79505995336,"ул. Дзержинского, 25, Киселёвск, Киселёвск",,,Киселёвск,,B,25,No,unknown,No,https://t.me/+79511842937,,
3443,"Монолит, мастерская",79039855963; 79089575046; 79089575033,"Привольная ул., 17, Киселёвск, Киселёвск",,,Киселёвск,,B,25,No,unknown,No,https://t.me/+79039855963,,
3447,Памятникиизгранита- купить по доступной цене вКиселёвске,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://kiselyovsk.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Киселёвск,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
3438,Базальт,79019292590,"ул. Ленина, 1, корп. 1, Киселёвск, Киселёвск",,,Киселёвск,,C,20,No,unknown,No,https://t.me/+79019292590,,
3439,Стикс,79043781950,"Промышленная ул., 13, Киселёвск, Киселёвск",,,Киселёвск,,C,20,No,unknown,No,https://t.me/+79043781950,,
3440,Похоронная служба Обелиск,79236007373,"ул. Дзержинского, 20, Киселёвск, Киселёвск",,,Киселёвск,,C,20,No,unknown,No,https://t.me/+79236007373,,
3442,Салон ритуальных услуг Ритуал сервис,79043791200,"Студенческая ул., 9, Киселёвск, Киселёвск",,,Киселёвск,,C,20,No,unknown,No,https://t.me/+79043791200,,
3445,Киселевский похоронный дом Некрополь,79617065643,"ул. Горького, 11, Киселёвск, Киселёвск",,,Киселёвск,,C,20,No,unknown,No,https://t.me/+79617065643,,
3448,ПамятникизгранитавКиселёвске- цена и фото в каталоге,79785971717; 79885811717; 70172111195,,https://kiselyovsk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Киселёвск,,C,20,Yes,unknown,No,https://t.me/+79785971717,,
