id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3462,Небо Одно,79097535050,,https://kislovodsk.nebo-odno.ru/,op.nebo1@gmail.com,Кисловодск,,A,42,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
3451,Последнийпуть агентство ритуальных услуг,79286511141,"Азербайджанская ул., 68А, Кисловодск, Россия, Кисловодск",https://www.ritualnie-uslugi26.ru/,,Кисловодск,,B,35,No,unknown,No,https://t.me/+79286511141,,https://api.whatsapp.com/send?phone=79187676712
3454,Ритуальные услуги ИП Липиева Т. В.,79383030257; 79280115318,"ул. Фоменко, 134, Кисловодск, Кисловодск",,,Кисловодск,,B,35,No,unknown,No,https://t.me/+79383030257,,https://api.whatsapp.com/send?phone=79383030257
3465,Данила-Мастер,79022234935; 79022202052,,https://kislovodsk.danila-master.ru/,mail@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Кисловодск,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=kislovodsk,
3460,Комбинат спецобслуживания компания по организации похорон,79283707027; 79283545157; 79283751849,"ул. Фоменко, 135, Кисловодск, Кисловодск",http://kso-kislovodsk.ru/,,Кисловодск,,B,33,No,wordpress,No,https://t.me/+79283707027,,
3453,Похоронный дом,79633893994,"ул. Фоменко, 134, Кисловодск, Кисловодск",,,Кисловодск,,B,30,No,unknown,No,https://t.me/+79633893994,,https://api.whatsapp.com/send?phone=79633893994
3455,Дом Камня,79280148986; 79286343134; 78793759071,"ул. Фоменко, 88, Кисловодск, Кисловодск",https://dom-kamnja-kmv.clients.site/,,Кисловодск,,B,30,No,unknown,No,https://t.me/+79280148986,,
3463,Изготовление памятников в Кисловодске мастерская магазин Карат,79620070990; 79288127744,,https://ritual-karat.ru/,,Кисловодск,,B,27,No,unknown,No,https://t.me/ritualkarat,,
3467,Похоронное Бюро 'Доверие',79953775536,,https://kislovodsk.ritual-doverie.com/,ritual-doverie.com@yandex.ru,Кисловодск,,B,27,Yes,unknown,No,https://t.me/+79953775536,,
3457,Память похоронное бюро,79283670642; 79283511816,"ул. Фоменко, 135Ж, стр. 1, Кисловодск, Кисловодск",,,Кисловодск,,B,25,No,unknown,No,https://t.me/+79283670642,,
3461,Изготовление памятников на могилу в Кисловодске по цене от ...,79892201077; 79882409747; 79618559078; 79618555089,,https://kislovodsk.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Кисловодск,,C,22,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
3452,Империя камней торговая компания,79280135013,"Седлогорская ул., 144, стр. 2, Кисловодск, Кисловодск",,,Кисловодск,,C,20,No,unknown,No,https://t.me/+79280135013,,
3456,Изготовление памятников,79288165356,"Ессентукская ул., 21, посёлок Подкумок, Кисловодск",,,Кисловодск,,C,20,No,unknown,No,https://t.me/+79288165356,,
3459,Памятники,79283236065,"Седлогорская ул., 108, Кисловодск, Кисловодск",,,Кисловодск,,C,20,No,unknown,No,https://t.me/+79283236065,,
3464,"Изготовление памятников в Кисловодске. Купить памятники на могилу в Кисловодске, компания Ритуалум",79182792792; 72375001374,,https://kislovodsk.ritualum.ru/,zakaz@ritualum.ru; krd.ritualum@yandex.ru,Кисловодск,,C,20,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
