id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3470,Град-Экс гранитная мастерская,74951205544; 74951096677; 79254444000; 79268884444,"ул. Дзержинского, 15А, Клин, Клин",https://www.grad-ex.ru/,,Клин,,A,47,Yes,joomla,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=79254444000
3469,Мрамор Xxv,79169187007; 74952110360; 79165482608,"24, стр. 22, посёлок Шевляково, Клин",https://vip-monument.ru/,vip-monument.ru@yandex.ru; /vip-monument.ru@yandex.ru,Клин,,A,45,No,unknown,No,https://t.me/+79169187007,https://vk.com/mramorxxv,https://api.whatsapp.com/send?phone=79852110360
3471,Гранитная мастерская ООО «Аметист»,79175426969; 79167766677; 79162477750; 79684440745; 79167278095; 79190536629,"Московская область, городской округ Клин, А-108, 4-й километр, Клин",https://klin.ivolga.tv/,oooametist@gmail.com; klin-granit@mail.ru; olga1986om@yandex.ru,Клин,,A,45,No,unknown,No,https://t.me/79104479427,https://vk.com/kareliangranit,https://api.whatsapp.com/send?phone=79162477750
3474,Памятники. Moscow,79268252866; 74953694359; 79057057777,"Россия, Московская область, городской округ Клин, Клин",https://pamyatniki.moscow/,info@pamyatniki.moscow,Клин,,A,40,Yes,opencart,No,https://t.me/+79268252866,,
3478,Гранитные технологии,79162004020; 74950114345,"2М, д. Давыдково, Клин",,,Клин,,B,30,Yes,unknown,No,https://t.me/+79162004020,,
3480,Стоун Ритуал,79778079292; 79168623490,"24, посёлок Шевляково, Клин",https://stone-25.ru/,,Клин,,B,30,No,unknown,No,https://t.me/+79778079292,,
3472,Гранит&,79854720480; 79104256887; 79637716711,"Волоколамское ш., 42, Клин, Клин",http://памятник-из-камня.рф/,andrepolyanski@yandex.ru,Клин,,C,20,No,unknown,No,,,
3473,Набат г. Клин,,"Спортивная ул., 15/1, Клин, Клин",,,Клин,,D,5,No,unknown,No,,,
3475,Ритуальные принадлежности,,"Московская область, городской округ Клин, Клин",,,Клин,,D,5,No,unknown,No,,,
3476,Памятники,,"Спортивная ул., 15/1, Клин, Клин",,,Клин,,D,5,No,unknown,No,,,
3477,Память,,"Бородинский пр., 19, Клин, Клин",,,Клин,,D,5,No,unknown,No,,,
3482,Гранитные памятники и мемориальные комплексы заказать недорого в Клине ...,,"г. Клин , ул. Лесная",https://mvd-kbr.ru/,,Клин,,D,3,Yes,wordpress,No,,,
