id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3743,Пирамида производственное предприятие,74932559848; 79206779679; 79303652562; 74932415151; 74932373070; 79023168468; 74932424363; 74932267660; 74935132050; 74935128301; 74935131550; 74935132230,"Октябрьская площадь, 7, Кохма, Кохма",https://piramida37.ru/,piramida-37@yandex.ru,Кохма,,A,50,Yes,bitrix,No,https://t.me/+74932559848,,
3739,Небесный Рай,79010387392; 79203533191; 74932499249,"1-я Шуйская ул., 1В, Кохма, Кохма",https://nebesnyj-raj.clients.site/,,Кохма,,A,40,No,unknown,No,https://t.me/+79203533191,https://vk.com/id869319975,https://api.whatsapp.com/send?phone=79203533191
3742,Партнер ритуальная компания,74932262979; 79303302979,"Ивановский район, Богданихское сельское поселение, Кохма",https://ritualnoe-byuro.ru/,,Кохма,,A,40,No,unknown,No,https://t.me/+79303302458,,https://api.whatsapp.com/send?phone=793033024580901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
3747,Дом Памяти,,,https://memoryhouse.in.ua/,pamyatnikidp@gmail.com; andrey.dik.90@gmail.com,Кохма,,B,32,Yes,unknown,No,https://t.me/monumentum3d,,
3744,Памятники,79158434363; 74932225404,"Ивановская обл., Ивановский р-н, Кохма, 30, Кохма",,,Кохма,,B,25,No,unknown,No,https://t.me/+79158434363,,
3746,Салон памятников,74932344566; 79051094566,"Ивановская ул., 30, Кохма, Кохма",,,Кохма,,B,25,No,unknown,No,https://t.me/+74932344566,,
3740,Гранитъ салон камня,74932463653,"Почтовая ул., 19, Кохма, Кохма",,,Кохма,,C,20,No,unknown,No,https://t.me/+74932463653,,
3741,Млечный Путь,79605045335,"1-я Шуйская ул., 59, п. г. т. Лежнево, Кохма",,,Кохма,,C,20,No,unknown,No,https://t.me/+79605045335,,
3745,Мемориал,74932552871,"Ивановская ул., 18Г, Кохма, Кохма",,,Кохма,,C,20,No,unknown,No,https://t.me/+74932552871,,
3748,Памятникиизгранитав Иваново | Заказатьпамятникпо...,79085628877; 79158160102,,https://karelgranit37.ru/,irina-v25@mail.ru; anna.tundina.72@mail.ru; lenusya_19_1991@mail.ru; karelmonument.ivanovo@mail.ru; aleks.otto-arh@yandex.ru,Кохма,,C,15,No,unknown,No,https://t.me/+79085628877,,
