id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3549,<Контур>,79162110332; 79775747973; 79162950977,"просп. Кирова, 66А, Коломна, Коломна",https://kgranitkomplex.ru/,mixkat1986@mail.ru; mixkat1986@mail.com; maiklarkhip@gmail.com,Коломна,,A,48,No,wordpress,Yes,https://t.me/pamyatnikstkladbishe,https://vk.com/granitkomplex,
3564,Памятники. Moscow,79268252866; 74953694359; 79057057777,"Городищенская ул., 108А, Коломна, Коломна",https://pamyatniki.moscow/,info@pamyatniki.moscow,Коломна,,A,40,Yes,opencart,No,https://t.me/+79268252866,,
3565,Вечная память,79801681595; 79168468019; 79153564546,"Городищенская ул., 106Б, Коломна, Коломна",https://pamyatkolomna.ru/,vech.pam.art@yandex.ru,Коломна,,A,40,No,tilda,No,https://t.me/vech_pam,https://vk.com/pamyatkolomna,
3557,Памятник,79035393476; 79260906360; 79778173533; 79057689746; 74966145801; 79160702044,"Россия, Московская область, городской округ Коломна, село Нижнее Хорошово, Коломна",https://kgranitkomplex4.ru/,nov.kladbishe@mail.ru,Коломна,,B,38,No,wordpress,No,https://t.me/+79035393476,,
3571,ИзготовлениепамятниковвКоломне-гранитнаямастерская...,79165044445; 79167360090,,https://diabaz-lux.ru/,diabaz-lux@mail.ru; info@diabaz-lux.ru,Коломна,,B,38,Yes,wordpress,No,https://t.me/+79165044445,,
3580,Памятникизгранитасо статуей ангела T-EG-00132 по... - ПамятьМ,74957698374; 79857698374; 79162012666; 79104200687; 79258891134; 79268740087; 79151772333; 79167697735; 79165044435; 75035000336,,https://pamyatm.ru/,zakaz@pamyatm.ru,Коломна,,B,37,Yes,unknown,No,https://t.me/pamyatm_moscow,https://vk.com/pamyat_m/,
3575,Гранитная мастерская «Некрополь»,74964046249; 79153501050; 79104567787,,https://www.egorievsk-nekropol.ru/,egorievsk-nekropol@yandex.ru,Коломна,,B,35,Yes,unknown,No,https://t.me/+74964046249,,
3576,ПамятникивКоломне(Парфентьево),79919892568,,https://pamytnikparfentevo.ru/,parfentevo23@mail.ru,Коломна,,B,35,No,unknown,Yes,https://t.me/pamyatnikparfentievo,,
3559,Гранит Мастер,79165210573,"Московская область, Коломна, район Учхоз, Коломна",,,Коломна,,B,32,No,unknown,No,https://t.me/Kolomnagrm,,https://api.whatsapp.com/send?phone=79165210573
3550,Центр Ритуальных Услуг Контур ритуальное агентство,79152211688; 79164741198,"ул. Яна Грунта, 34, Коломна, Коломна",http://www.ритуалколомна.рф/,,Коломна,,B,30,No,unknown,No,https://t.me/KolomnaRitual,,
3566,Гранит,79854889737,"ул. Астахова, 25А, Коломна, Коломна",https://granit-kolomna.ucoz.ru/,granitkolomna@mail.ru,Коломна,,B,30,No,unknown,No,https://t.me/+79854889737,https://vk.com/css/al/common.837ea214.css,
3569,Мемориал,79163832321; 79856637034; 79067349656,"Зелёная ул., 2, Коломна, Коломна",https://ooo-memorial.ru/,,Коломна,,B,30,No,unknown,No,https://t.me/+79163832321,,
3573,Гранитная мастерская РитуалСтоун,79162565777; 79035310141,,https://kolomna.ritualstoun.ru/,info@ritualstoun.ru,Коломна,,B,30,No,unknown,No,https://t.me/+79162565777,,
3553,Монолит гранитная мастерская,79197241161,"ул. Макеева, 18, Коломна, Коломна",http://granit-kolomna.ru/,,Коломна,,B,25,No,unknown,No,https://t.me/+79197241161,https://vk.com/monolitpi,
3555,Ритуальные принадлежности,79160532065; 79295100371,"Московская область, Коломна, исторический район Щурово, Коломна",,,Коломна,,B,25,No,unknown,No,https://t.me/+79160532065,,
3556,Коломенская Гранитная мастерская,79161894125,"Московская область, Коломна, Речная улица, Коломна",http://памятникивколомне.рф/,,Коломна,,B,25,No,unknown,No,https://t.me/+79161894125,,
3560,Монумент гранитная мастерская,74966148235; 79858306122,"Огородная ул., 85, Коломна, Коломна",,,Коломна,,B,25,No,unknown,No,https://t.me/+74966148235,,
3561,Обелиск,79152102966,"Полянская ул., 30, Коломна, Коломна",http://obelisk-kolomna.ru/,,Коломна,,B,25,No,unknown,No,https://t.me/+79152102966,,
3563,Похоронный дом ритуальный салон,74966192800; 79253436060; 79857101625,"Полянская ул., 17, Коломна, Коломна",,,Коломна,,B,25,No,unknown,No,https://t.me/+74966192800,,
3574,Изготовлениепамятниковна могилу вКоломнепо цене от 18900...,74951474745; 79530863611; 79882409747,,https://kolomna.xn--80apbncqgt0j.xn--p1ai/,garantpamyati@yandex.ru,Коломна,,C,22,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
3562,Памятники и благоустройство,79857409640,"ул. Яна Грунта, 34, Коломна, Коломна",,,Коломна,,C,20,No,unknown,No,https://t.me/+79857409640,,
