id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3586,Гранитная мастерская Третьякова,78122098877; 79213158877; 73616742316; 73841403924; 73616792103; 73624721217; 73624729626; 73669086034,"Тверская ул., 50, Колпино, Колпино",https://pkplus.pro/,,Колпино,,A,52,Yes,tilda,No,https://t.me/tgws_spb,https://vk.com/graniteworkshoptretyakov,https://api.whatsapp.com/send?phone=791192437910901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
3590,Борис Гладилин Похоронный дом,78123856354; 79992123968,"Тверская ул., 1/13, СПБ, Колпино",https://gmbg.ru/,,Колпино,,A,50,No,bitrix,No,https://t.me/+79312995663,https://vk.com/pdombg,https://api.whatsapp.com/send?phone=79312995663
3588,Невские камни,79213335088; 79523843882; 79618085999; 79811906640; 79522422288,"Межевая ул., 26, Колпино, Колпино",http://www.graal-spb.ru/,9213335088@mail.ru,Колпино,,A,49,No,unknown,No,https://t.me/Nikolay1509,https://vk.com/vkamne_pro,https://api.whatsapp.com/send?phone=895238438820901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
3601,"Новое Колпинское городское кладбище Колпино Санкт-Петербург, памятники на заказ: как доехать, адрес на карте",78129246727; 79817199420,"г. 
 
 
 
 
 
 
 Татьяна Михайловна 
 22",https://pamyatniki-na-mogilu-spb.ru/,ebxf.xnzra@lnaqrk.eh; roks.kamen@yandex.ru,Колпино,,A,48,Yes,unknown,Yes,https://t.me/+79817199420,https://vk.com/pamyatniki_na_mogilu_v_spb,
3587,ПД Бориса Гладилина Похоронный дом,78126226820; 78123856323; 78126226830; 78126226810,"наб. Комсомольского канала, 13/1, Колпино, Колпино",https://pdbg.ru/,,Колпино,,A,45,Yes,unknown,No,https://t.me/79312995663,https://vk.com/pdbgru,https://api.whatsapp.com/send?phone=79312995663
3589,Ritual.ru,78127408735; 78122922222; 78124254259; 78124254243,"Колпинская ул., 6, корп. 2, Колпино, Колпино",http://spb.ritual.ru/,spb@ritual.ru,Колпино,,A,45,No,bitrix,No,https://t.me/+78127408735,,
3594,Социальный,78124615808; 79818896634; 78161443242; 78471010027,"ул. Труда, 15/5, Колпино, Колпино",https://socialniykolpino.ru/,sotsialniykolpino@yandex.ru,Колпино,,A,45,No,unknown,No,https://t.me/+78124615808,,https://api.whatsapp.com/send?phone=798188966340901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
3593,Памятники гранитные № 1 в Колпино,79213158877; 78122098877; 73616742316; 73841403924; 73616792103; 73624721217; 73624729626,"Тверская ул., 50, Колпино, Колпино",http://памятникипро.рф/,,Колпино,,A,42,Yes,tilda,No,https://t.me/tgws_spb,https://vk.com/graniteworkshoptretyakov,
3605,"Колпинское городское кладбище. Памятники, надгробия, ограды.",79013113178; 79112937456; 79531707314,"г. Колпино, ул. Колпинская",https://lenip.ru/,manager@lenip.ru,Колпино,,B,38,No,wordpress,No,https://t.me/+79013113178,,
3602,Данила-Мастер,78122411702; 79022234935; 79022202052; 76270000381; 76050132745; 79201304749,,https://kolpino.danila-master.ru/,mail@danila-master.ru; marina.fedorcova@danila-master.ru; info@danila-master.ru; dm-on-line@danila-master.ru,Колпино,,B,35,Yes,unknown,No,https://t.me/+79022202052,https://vk.com/share.php?url=https://danila-master.ru/products/model-m-12.html?city_name=kolpino,
3603,Невгранит,79313409676; 79118142494,г Россия 196191,https://nevgranit-spb.ru/,nevgranit-spb@mail.ru; nevgranit-spb@yandex.ru,Колпино,,B,35,No,unknown,No,https://t.me/+79313409676,https://vk.com/peter_lukanov,
3595,Каменные Вехи Гранитная мастерская,79219719574,"пос. Тельмана2Г, Санкт-Петербург, Россия, Колпино",https://pamyatniki-vehi.ru/,info@pamyatniki-vehi.ru,Колпино,,B,30,No,joomla,No,https://t.me/+79219719574,,
3596,Каменный рай,79944206322; 78129972755; 79291797855,"бул. Трудящихся, 18, корп. 5, Колпино, Колпино",https://stoneparadise.ru/,,Колпино,,B,30,No,unknown,No,https://t.me/+79944206322,https://vk.com/id729997730,
3597,Каменный Цветок,79117125203; 79533751510,"Загородная ул., 6, Колпино, Колпино",,,Колпино,,B,25,No,unknown,No,https://t.me/+79117125203,https://vk.com/public165655355,
3600,Похоронная служба,78126226810,"Колпинская ул., 8Б, Колпино",,,Колпино,,B,25,Yes,unknown,No,https://t.me/+78126226810,,
3591,Мастерская по изготовлению памятников Стоун торговая компания,79218864699,"Красноборская ул., 10, г. Тельмана, Колпино",,,Колпино,,C,20,No,unknown,No,https://t.me/+79218864699,https://vk.com/club30227828,
3592,Изготовление памятников,79817249240,"Вознесенское ш., 49, корп. 2, Колпино, Колпино",,,Колпино,,C,20,No,unknown,No,https://t.me/+79817249240,https://vk.com/pamklp,
