id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3643,ДЕЛО,79000717912; 79000717920,,https://kopeysk.pamyatniki74.ru/,89000717912@mail.ru,Копейск,,A,40,Yes,wordpress,No,https://t.me/Kamennoe_delo_rf,https://vk.com/blagoustrojstvachelyabinsk,
3632,Памятники,79507494336; 79220185818; 73513993036,"пер. Железняка, 61, Копейск, Копейск",,,Копейск,,B,35,No,unknown,No,https://t.me/+79507494336,https://vk.com/pamyatniki_chel,https://api.whatsapp.com/send?phone=792201858180901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
3647,Grand Stone,74942373788; 74942495171; 79109570844; 79106610303,,https://grandstone1.ru/,grandstone@yandex.ru,Копейск,,B,35,Yes,unknown,No,https://t.me/+79106610303,,
3648,Одинарныепамятники::Памятникизгранита80*40*5 прямой...,79495957259; 79493263226; 79491532963,,https://artgranit.company/,info@artgranit.company,Копейск,,B,35,Yes,unknown,No,https://t.me/artgranit_company,https://vk.com/id866641356,
3646,ГРАВЕР,79507372615,,https://kopejsk.pamyatniki-graver.ru/,graver74@inbox.ru,Копейск,,B,33,Yes,wordpress,No,https://t.me/+79507372615,https://vk.com/pamatniki_graver74,
3645,Изготовление Памятников Копейск Челябинск | Гипермаркет камня,79925208002,"г. Копейск ,  ул. Шишкина",https://gipermarket-kamny.ru/,kopshishkina17@mail.ru; Kopshishkina17@mail.ru,Копейск,,B,30,No,unknown,No,https://t.me/+79925208002,https://vk.com/club219105837,
3635,Челябинский завод камня,73513941224,"Тюменская ул., 1А, Копейск, Копейск",https://kzk74.pulscen.ru/,,Копейск,,B,25,No,unknown,No,https://t.me/+73513941224,http://vk.com/kzkgranit,
3639,Памятники и оградки,79518134696; 79822827761,"ул. Петра Томилова, 15А, корп. 3, Копейск, Копейск",,,Копейск,,B,25,No,unknown,No,https://t.me/+79518134696,,
3641,Мемориал,73513932885; 73513975279,"ул. Братьев Гожевых, 5А, Копейск, Копейск",,,Копейск,,B,25,No,unknown,No,https://t.me/+73513932885,,
3644,Изготовление памятников на могилу в Копейске,79039558117; 70170439939; 70170530015,г товаров Сравнение 0,https://kopeysk.evlitos.ru/,227298@mail.ru; 221737@bk.ru,Копейск,,B,25,Yes,unknown,No,https://t.me/+79039558117,,
3642,ПамятникизгранитаРозы с крестом и мантией 232 купить...,79618559078; 79892201077; 79882409747,"г Рита 
 31",https://ryazan.xn--80apbncqgt0j.xn--p1ai/,,Копейск,,C,22,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
3631,Гранит 74,79080607991,"просп. Победы, 18, Копейск, Копейск",,,Копейск,,C,20,No,unknown,No,https://t.me/+79080607991,https://vk.com/granite74,
3634,СПРУ Танатос салон ритуальных услуг,79227011468,"Артиллерийская ул., 2А, Копейск, Копейск",,,Копейск,,C,20,No,unknown,No,https://t.me/+79227011468,,
3640,Гранит Сервис производственная компания,79511136588,"Российская ул., 14, Копейск, Копейск",,,Копейск,,C,20,No,unknown,No,https://t.me/+79511136588,https://vk.com/granitoktb,
