id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3663,Изготовление памятников Кореновск / Monument23,79181555554; 79821903475,г  памятников с 3,https://monument23.ru/,monymentbelora@mail.ru,Кореновск,,A,43,Yes,wordpress,No,https://t.me/+79181555554,,
3662,Небо Одно,79097535050,,https://korenovsk.nebo-odno.ru/,op.nebo1@gmail.com,Кореновск,,A,42,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
3668,Изготовления памятников в Кореновске,79182999123; 79182699977,,https://zakaz-pamyatnik.ru/,danil_290494@mail.ru,Кореновск,,B,38,Yes,wordpress,No,https://t.me/+79182999123,https://vk.com/zakazpamyatnik,
3670,Гранитная мастерская «Камень памяти»,79180200986; 79824811620,,https://korenovsk.memorygranit.ru/,memorygranit@mail.ru,Кореновск,,B,38,Yes,wordpress,No,https://t.me/+79180200986,,
3665,Памятники на могилу купить в Кореновске. Фото и цены. Изготовление и ...,78652302409; 78652302405; 76347313185; 76296158638; 76296157651,г со скидками 2025,https://krasnodar.nebo-pamyatniki.ru/,mail@example.com,Кореновск,,B,37,Yes,unknown,Yes,https://t.me/neboodnosalebot,,
3664,Заказать памятник из гранита в г. Кореновск - Центр гранита,79184378000; 79885278000; 70709896871; 79182594359; 79182648000,"г. Сочи, ул. ул",https://granitkamen.ru/,granitkamen.ru@mail.ru,Кореновск,,B,36,Yes,wordpress,Yes,http://telegram.me/+79885278000,,
3656,Ритуальные услуги,79182300362; 79649160231,"Красная ул., 34, станица Платнировская, Кореновск",,,Кореновск,,B,35,No,unknown,No,https://t.me/+79182300362,,https://api.whatsapp.com/send?phone=79182300362
3667,Кореновск - изготовление и установка памятников на заказ,79892923142,,https://vladimirmaster.ru/,volnik77@yandex.ru,Кореновск,,B,30,No,wordpress,No,https://t.me/Andreypamatniki,https://vk.com/belkamen_andrey,
3654,Inri,79615082160; 79184440302,"Краснодарская ул., 33, Кореновск, Кореновск",,,Кореновск,,B,25,No,unknown,No,https://t.me/+79615082160,,
3669,ПамятникизгранитавКореновске- цена и фото в каталоге,79785971717; 79885811717; 70172111195,"г. Кореновск, ул. Космонавтов",https://korenovsk.rm-ryabina.ru/,rim-ryabina@yandex.ru,Кореновск,,B,25,Yes,unknown,No,https://t.me/+79785971717,,
3658,Град-Экс,79034330404,"Краснодарский край, Кореновск г., ул. Мироненко, 56, Кореновск",,,Кореновск,,C,20,No,unknown,No,https://t.me/+79034330404,,
3659,Похоронный дом Некрополь,79184201166,"ул. Карла Либкнехта, 1А, Кореновск, Кореновск",,,Кореновск,,C,20,No,unknown,No,https://t.me/+79184201166,,
3660,Ритуал,79181222255,"Краснодарская ул., 36А, Кореновск, Кореновск",,,Кореновск,,C,20,No,unknown,No,https://t.me/+79181222255,,
3666,"Памятник из гранита Березка 14, купить по низкой цене в Кореновске ...",79182792792; 72375001374,,https://korenovsk.ritualum.ru/,zakaz@ritualum.ru; krd.ritualum@yandex.ru,Кореновск,,C,20,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
3655,Юг Гранит,,"ул. Мироненко, 56, Кореновск, Кореновск",http://yug-granit.ru/,,Кореновск,,C,15,Yes,unknown,No,,http://vk.com/webhost1ru,
3661,Памятники из гранита - купить в Кореновске по выгодной цене,79183999916,,https://altair-master.ru/,aldan05@yandex.ru,Кореновск,,C,15,Yes,unknown,No,https://t.me/+79183999916,,
3653,КМС Групп,,"ул. Ленина, 56В, Кореновск, Кореновск",https://stonecity23.ru/,,Кореновск,,D,10,No,unknown,No,,,
