id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3498,Ритуал городская ритуальная служба,79209201277; 79209002626; 79107773044; 79101711729; 79100909267; 79209270008,"ул. Грибоедова, 28, Ковров, Ковров",https://vmk-ritual.ru/,i&#110;fo&#064;v&#109;k-rit&#117;&#097;&#108;&#046;r&#117;; in&#102;&#111;&#064;&#118;mk-&#114;&#105;t&#117;&#097;&#108;&#046;ru; &#105;&#110;&#102;&#111;&#064;&#118;m&#107;-ri&#116;&#117;al.&#114;&#117;; info@vmk-ritual.ru; &#105;&#110;f&#111;&#064;v&#109;&#107;&#045;ritual.ru,Ковров,,A,55,Yes,wordpress,No,https://t.me/+7,https://vk.com/public222148295,https://api.whatsapp.com/send?phone=79107773044
3516,kovrov.bilkam.ru,73833830392; 73517009492,"г. Ковров, ул. Северная",https://kovrov.bilkam.ru/,sales@bilkam.ru,Ковров,,A,50,Yes,bitrix,No,https://t.me/+73833830392,https://vk.com/bilkam,
3499,Мемориал салон,79807503389; 79005835015,"ул. Грибоедова, 52, Ковров, Ковров",https://memorial-kovrov.ru/,,Ковров,,A,40,No,unknown,No,https://t.me/+79807503389,https://vk.com/memorialkovrov,https://api.whatsapp.com/send?phone=79807503389
3500,Вечность,79101852747; 79106729171,"ул. Грибоедова, 56, Ковров, Ковров",http://pamyatniki-vechnost.ru/,,Ковров,,A,40,No,unknown,No,https://t.me/+79101852747,,https://api.whatsapp.com/send?phone=79101852747
3501,Ангел,79206237999; 79206236999; 79107732439; 79107732108,"ул. Грибоедова, 78, Ковров, Ковров",https://angelmemory33.ru/,,Ковров,,A,40,No,unknown,No,https://t.me/+79206237999,https://vk.com/angelsavostin,https://api.whatsapp.com/send?phone=79206237999
3502,Салон камня,79100993955; 79101776356; 79051414007; 79107747338; 74923240004,"просп. Ленина, 22, Ковров, Ковров",http://www.pamyatniki33.ru/,,Ковров,,A,40,No,joomla,No,https://t.me/+79100993955,,https://api.whatsapp.com/send?phone=79101776356
3503,ВМК Ритуальные услуги салон ритуальных услуг,79209270008; 79209270006,"Еловая ул., 84, Ковров, Ковров",https://ритуальные-услуги-ковров.рф/,,Ковров,,A,40,Yes,wordpress,No,https://t.me/esluslychulocgore,,
3504,ВМК-Александр Ритуальные услуги,79209302626; 79209305070,"ул. Туманова, 2Б, Ковров, Ковров",http://вмк-александр.рф/,,Ковров,,A,40,No,unknown,No,https://t.me/79209302626,https://vk.com/id700308832,https://api.whatsapp.com/send?phone=79209302626
3507,Памятники,79107745560; 74923230398,"просп. Ленина, 33, Ковров, Ковров",http://памятники-ковров.рф/,yulia_87@list.ru,Ковров,,B,35,No,unknown,No,https://t.me/+79107745560,https://vk.com/pamyatniki_kovrov,
3518,Наши работы,79209218050; 74923426275; 74923433052,,https://granit-mramor33.ru/,info@granit-mramor33.ru,Ковров,,B,30,No,unknown,No,https://t.me/+79209218050,,
3505,Стела,79157537343; 79157974046; 79157987374,"Либерецкая ул., 4, Ковров, Ковров",,,Ковров,,B,25,No,unknown,No,https://t.me/+79157537343,,
3506,Гранитная мастерская Арт Камень,79807534490,"Профсоюзная ул., 39, Ковров, Ковров",https://kovrov-granit.ru/,,Ковров,,B,25,No,joomla,No,https://t.me/+79807534490,,
3508,Мир камня,79040365253; 79106788987,"Либерецкая ул., 4, Ковров, Ковров",,,Ковров,,B,25,No,unknown,No,https://t.me/+79040365253,,
3517,ПамятникизгранитавКоврове- цена и фото в каталоге,79785971717; 79885811717; 70172111195,"г. Ковров, ул. Малеева",https://kovrov.rm-ryabina.ru/,rim-ryabina@yandex.ru,Ковров,,B,25,Yes,unknown,No,https://t.me/+79785971717,,
