id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3763,Честный Агент ритуальное бюро,74951502112; 79995422168; 74954142940; 74994442809; 79250025795; 75053008481; 70281063800,"ул. Карбышева, 10, корп. 3, Красногорск, Красногорск",https://openagent.ru/,info@openagent.ru,Красногорск,,A,62,Yes,bitrix,No,https://t.me/+Q0_7TPbOsdGSelet,https://vk.com/openagent,https://api.whatsapp.com/send?phone=799954221680901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
3761,Град-Экс гранитная мастерская,74951205544; 74951096677; 79254444000; 79268884444,"Железнодорожный пер., 1А, Красногорск, Красногорск",https://www.grad-ex.ru/,,Красногорск,,A,47,Yes,joomla,No,https://t.me/Grad_Ex,https://vk.com/id644504660,https://api.whatsapp.com/send?phone=79254444000
3762,Сабуровское кладбище,74951389858; 79175167171,"Московская область, городской округ Красногорск, территориальное управление Отрадненское, Красногорск",https://9-dney.ru/,,Красногорск,,A,45,Yes,unknown,No,https://t.me/+74951389858,http://vk.com/public193176043,https://api.whatsapp.com/send?phone=74951389858
3767,Центральная Похоронная Служба,78312304343; 78312002188,"ул. Ленина, 63, Красногорск, Красногорск",https://krasnogorsk.gos-cps.ru/,cps_nn@mail.ru,Красногорск,,A,44,Yes,unknown,No,https://t.me/cps_nn52,,
3773,Небо Одно,79097535050,,https://krasnogorsk.nebo-odno.ru/,op.nebo1@gmail.com,Красногорск,,A,42,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
3765,Стикс ритуальная служба,74955639601; 79264397386,"ул. Карбышева, 10, корп. 1, Красногорск, Красногорск",http://www.stixritual.ru/,,Красногорск,,A,40,No,unknown,No,https://t.me/+74955639601,,https://api.whatsapp.com/send?phone=79264397386
3764,Монумент Мастер,79685477999; 74993904362; 74993901809; 77460006295; 77337901627,"ул. Губайлово, 53, Красногорск, Красногорск",http://monumentmaster.ru/,,Красногорск,,B,38,Yes,wordpress,No,https://t.me/+79685477999,,
3769,Империя,79262270623; 79963644578,"ул. Братьев Горожанкиных, 2Б, Красногорск, Красногорск",https://mirangela.ru/,info@mirangela.ru,Красногорск,,B,37,No,unknown,No,https://t.me/megagroup,,
3771,Похороны Ритуал,74991136558,"Центральная ул., 3, стр. 1, д. Гольёво, Красногорск",http://pohoroni-pravoslavnie.ru/,,Красногорск,,B,30,Yes,unknown,No,https://t.me/+74991136558,,
3774,ЕЦМУ – забота о памяти,,,https://ecmu.ru/,info@ecmu.ru,Красногорск,,B,29,No,unknown,No,https://t.me/ecmu_mo,,
3768,Ритуал Красногорск похоронный центр,74991133856,"Строительная ул., 6, стр. 3, Красногорск, Красногорск",https://krasnogorsk-ritual.ru/,,Красногорск,,B,25,No,unknown,No,https://t.me/+74991133856,,
3770,Марьинское кладбище,74996734496,"Полевая ул., 37, д. Марьино, Красногорск",,,Красногорск,,C,20,No,unknown,No,https://t.me/+74996734496,,
3772,Памятники на могилу в Красногорске без переплат,79632425222,,https://tkk-krasnogorsk.ru/,pamyatniki.tkk@bk.ru,Красногорск,,C,17,No,wordpress,No,https://t.me/TKKmonument,,
