id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3864,ДаВинчи,78125011283; 78126067643,,https://davincispb.ru/,info@davincispb.ru; --><!--,Кронштадт,,A,50,No,bitrix,No,https://t.me/+79219260866,https://vk.com/davincispb_ru,https://api.whatsapp.com/send?phone=79219260866
3863,"Изделия
из гранита оптом и в розницу",79128940251; 79026122976; 74030288701; 72000019200,,https://kamen-74.ru/,kamen-174@mail.ru,Кронштадт,,B,38,Yes,wordpress,No,https://t.me/+79128940251,,
3866,Мастерская по изготовлению памятников - Санкт-Петербург и Ленинградская ...,78123118715; 78126004328; 78124496809; 78124498389; 78124497282; 78124493153; 78123294282; 78124497752; 78124496366; 78123273211; 78124491862; 78124491865; 78123366352; 78122750806; 78124956660; 78123340106; 78123342816; 78127021450; 78124980197; 78122326794; 78123112203; 78127133836; 78125949602; 78124230770; 78124230624; 78127054437; 78123881423; 78127054430; 78123277666; 78124288298; 78124332269; 78123828760; 78124349257; 78124704829; 78124373676; 78124707411; 78123245267; 78129823845; 79013184495; 78127188190; 78127188191; 78129276581; 78129313100; 78123271347; 78127187650; 78127187651; 78124421531; 78129839395; 78125205590; 78122747098; 78127162202; 78129672433; 78127026104; 78123274300; 78123274712; 78123206006; 78123200063; 78127186533; 78123871984; 78123270734; 78124486422; 78125400355; 78129939315; 78123372552; 78125427940; 78123273233; 78123277303; 78123258992; 78123229839; 78122953617; 78125963410; 78125781107; 78127867790; 78127868088; 78123242566; 78122520914; 78129843771; 78123320599; 78123320597; 78129723362; 78122335502; 78122334327; 78123239103; 78127151088; 78125674443; 78123317576; 78124489065; 78124489064; 78123231818; 78123235650; 78127401707; 78127401787; 78123350772; 78123247375; 78123221515; 78127407707; 78127407708; 78125917259; 78125917131; 78122955069; 78125421849; 78127166315; 78124271510; 79118165938; 78129731482; 78123429173; 78127457711; 78123277083; 78126491111; 78124487933; 78123876501; 78127537238; 78123783309; 78127126010; 79013201565; 78123340474; 78123340475; 78122519509; 78122511559; 78123881128; 78123318121; 78127726115; 78127726251; 78126006410; 78126006418; 78123248826; 78127221711; 78123310485; 78123263242; 78127151789; 78124205994; 78127165777; 78123234112; 78129555535; 78123742671; 78124616066; 79500126585; 79516729112; 79602533096; 79112981916; 78127160873; 78123209943; 78123209944; 78129738439; 78123271058; 78127030330; 78123682976; 78123942163; 78124933560; 78122726121; 78123330311; 78123271540; 78125289657; 78125540503; 78125540333; 78123270567; 78123218908; 78123371400; 78123254291; 78123254290; 78123460790; 78123460789; 78126298533; 78123376055; 78127034500; 78127034502; 78124493800; 78124493801; 78123882617; 78123297200; 78123297201; 78121085857; 78124491727; 78124493840; 78123365648; 78123299999; 78123240286; 78125917215; 78127023302; 78123802526; 78123366777; 78123352020; 78123332217; 78123330333; 78123269698; 78124495429; 78127407405; 78127037788; 78123258888; 78123805352; 78123291988; 78124496161; 78125953335; 78127183322; 78127183112; 78127176291; 78127177189; 78123216111; 78124495258; 78123800033; 78123205065; 78123141550; 78127106834; 78123801010; 78123807101; 78123039170; 78123039171; 78126010011; 78126010012; 78125524115; 78122517968; 78123237725; 78125718478; 78125719577; 78123294444; 78121033333; 78121033334; 78123349111; 78123209111; 78121644084; 78123253355; 78123253356; 78123291390; 78126032828; 78123351010; 78123355520; 78123039033; 78123279033; 78127184900; 78127184932,,https://spbcat.ru/,,Кронштадт,,B,25,No,unknown,No,https://t.me/+78123118715,,
3862,Памятники и скульптуры Кронштадта,,г него в 1860,https://yakaev.livejournal.com/,,Кронштадт,,C,24,No,unknown,No,http://t.me/yakaev_travel,,
3857,Рикс,79319834361,"просп. Ленина, 16, Кронштадт, Кронштадт",,,Кронштадт,,C,20,No,unknown,No,https://t.me/+79319834361,,
3858,Ритуальные услуги,79312559646,"ул. Восстания, 3А, Кронштадт, Кронштадт",,,Кронштадт,,C,20,No,unknown,No,https://t.me/+79312559646,,
3859,Пантера,79992900029,"Кронштадтское ш., 16, Кронштадт, Кронштадт",http://pantera-stone.ru/,info@pantera-granit.ru,Кронштадт,,C,20,Yes,opencart,No,,,
3867,Памятники Кронштадта,,"г. 
 Военные события 1865",https://medalirus.ru/,,Кронштадт,,C,20,No,bitrix,No,,,
3868,Love-Gorod.ru,,,https://love-gorod.ru/,love-russia@yandex.ru,Кронштадт,,D,10,No,unknown,No,,https://vk.com/lovegorodru,
3860,Изготовления памятников,,"Кронштадтское ш., 31, корп. 2, Кронштадт, Кронштадт",,,Кронштадт,,D,5,No,unknown,No,,,
3861,Art Stone Master производственная компания,,"Кронштадтское ш., 31, корп. 2, Кронштадт, Кронштадт",,,Кронштадт,,D,5,No,unknown,No,,,
