id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3872,Светлая память,79094464422; 79034100664; 79615001103,"Авиационная ул., 71, Кропоткин, Кропоткин",https://памятники-кропоткин.рф/,,Кропоткин,,A,43,No,wordpress,No,https://t.me/+79094464422,,https://api.whatsapp.com/send?phone=79094464422&#038;text=%D0%AF%20%D1%85%D0%BE%D1%87%D1%83%20%D0%B7%D0%B0%D0%BA%D0%B0%D0%B7%D0%B0%D1%82%D1%8C%20%D0%BF%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA
3877,Небо Одно,79097535050,,https://kropotkin.nebo-odno.ru/,op.nebo1@gmail.com,Кропоткин,,A,42,Yes,unknown,Yes,https://t.me/neboodnosalebot,https://vk.com/nebo_stavropol,
3876,Гранитная мастерская «Камень памяти»,79180200986; 79824811620,,https://memorygranit.ru/,memorygranit@mail.ru,Кропоткин,,B,38,Yes,wordpress,No,https://t.me/+79180200986,,
3880,Изготовление памятников Кропоткин | Мастерская Данила - изготовление памятников,79182999123; 79182699977,,https://zakaz-pamyatnik.ru/,danil_290494@mail.ru,Кропоткин,,B,38,Yes,wordpress,No,https://t.me/+79182999123,https://vk.com/zakazpamyatnik,
3879,Памятники на могилу купить в Кропоткине. Фото и цены ...,78652302409; 78652302405; 76347313185; 76296158638; 76296157651,г со скидками 2025,https://krasnodar.nebo-pamyatniki.ru/,mail@example.com,Кропоткин,,B,37,Yes,unknown,Yes,https://t.me/neboodnosalebot,,
3873,Изготовление памятников и надгробий,79180175909,"ул. Льва Толстого, 64, Кропоткин, Кропоткин",https://izgotovlenie-pamjatnikov-i-ulitsa-lva-tolstogo.clients.site/,,Кропоткин,,B,35,No,unknown,No,https://t.me/+79180175909,,https://api.whatsapp.com/send?phone=79180175909
3878,ИзготовлениепамятниковвКропоткине- «Ритуалум»,79182792792; 72375001374,,https://kropotkin.ritualum.ru/,zakaz@ritualum.ru; krd.ritualum@yandex.ru,Кропоткин,,B,35,Yes,opencart,No,https://t.me/+79182792792,https://vk.com/ritualum,
3870,Изготовление памятников,78613863476; 79182489509,"ул. Шаумяна, 28, Кропоткин, Кропоткин",http://memorial23.ru/,,Кропоткин,,B,30,No,unknown,No,https://t.me/+78613863476,,
3869,ЦРО Центр ритуального обслуживания,79883555200; 79181350555,"Авиационная ул., 128, Кропоткин, Кропоткин",,,Кропоткин,,B,25,No,unknown,No,https://t.me/+79883555200,,
3874,Городские ритуальные услуги,79182537728; 79184990862,"Коммунистическая ул., 121, Кропоткин, Кропоткин",,,Кропоткин,,B,25,No,unknown,No,https://t.me/+79182537728,,
3875,Изготовлениепамятниковна могилу вКропоткинепо цене от...,79892201077; 79882409747; 79618559078; 79618555089,,https://kropotkin.xn--80apbncqgt0j.xn--p1ai/,zakaz-mirpamyati@yandex.ru,Кропоткин,,C,22,Yes,unknown,No,https://t.me/garantpamyati,https://vk.com/mirpamyati,
3871,Памятники,79189907776,"Шоссейная ул., 1А, п. г. т. Красносельский, Кропоткин",,,Кропоткин,,C,20,No,unknown,No,https://t.me/+79189907776,,
