id,name,phones,address,website,emails,city,region,segment,crm_score,is_network,cms,has_marquiz,telegram,vk,whatsapp
3884,Центральная Похоронная Служба,78312002570; 78312304343; 78312002188,"ул. Талалушкина, 14, Кстово, Кстово",https://kstovo.gos-cps.ru/,cps_nn@mail.ru,Кстово,,A,50,Yes,unknown,No,https://t.me/89506096414,https://vk.com/cps2304343,https://api.whatsapp.com/send?phone=795060964140901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
3890,Некрополь компания по изготовлению памятников,79506052072; 78314156617; 70281005510,"Зелёная ул., 6Б, сельский посёлок Ждановский, Кстово",http://necropolcity.ru/,abuse@timeweb.ru; marketing@timeweb.ru; k.izosimova@timeweb.ru; noc@timeweb.ru; info@timeweb.ru; billing@timeweb.ru; partner@timeweb.ru,Кстово,,A,50,Yes,bitrix,No,https://telegram.me/timeweb_bot,https://vk.com/iq700120,
3883,Кстовский Похоронный Дом,78314571089; 79101010002; 79200671089; 79876543210,"Театральная ул., 18, Кстово, Кстово",http://www.ritualkstovo.ru/,Guli_u@mail.ru; guli_u@mail.ru; info@constructor.ru,Кстово,,A,47,No,unknown,No,https://t.me/kstovpohordom2018,https://vk.com/kstovpohordom2018,https://api.whatsapp.com/send?phone=791010100020901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
3882,Камнеград магазин памятников,79200058775; 78312340377,"Магистральная ул., 14, Кстово, Кстово",https://kamnegradnn.ru/,info@kamnegradnn.ru,Кстово,,A,43,Yes,wordpress,No,https://t.me/+79200058775,https://vk.com/kamnegrad_nn,
3887,Динго,79308194482; 78314142314; 79308190302; 76909952878; 76909989843; 77313315034; 79308190314; 79308194459; 79308194460; 79308194463; 79308194458; 79308194514; 79308194464; 79308194496; 79159375515; 79308194430; 79200003962; 79308194462; 79308194431; 79308194437; 79308194433; 79308125067; 79308194436; 79200474505; 79308194456; 79308194467; 79308194478; 79308194457; 79308194476; 79308194481; 79308194503; 79308192573; 79308190281; 79308194506; 79308194533; 79308194492; 79308194498; 79200566564; 79308194471; 79308194454,"ул. Чванова, 9, Кстово, Кстово",http://dingo-pamyatnik.ru/,dingo-2026@mail.ru; 414-23-14dingo-2026@mail.ru,Кстово,,B,38,No,tilda,No,https://t.me/+79308190302,https://vk.com/dingo_pamyatnik,
3892,Некрополь ритуальная компания,79108767779; 79519145335; 79877555659,"Магистральная ул., 12, Кстово, Кстово",https://necropolnn.ru/,info@necropolnn.ru,Кстово,,B,38,No,wordpress,No,https://t.me/+79108767779,,
3881,Нижегородская мемориальная компания,78314527000; 78314522028; 79101422028; 78314573454; 79307003344,"Нижегородская обл., Кстовский р-н, село Шелокша, Кстово",https://vrk-nmk.ru/,,Кстово,,B,35,Yes,unknown,No,https://t.me/+78314527000,https://vk.com/vrknmk,
3886,Памятники,79043912150,"Магистральная ул., 8, Кстово, Кстово",http://орлов-камень.рф/,,Кстово,,B,35,No,unknown,No,https://t.me/+79043912150,https://vk.com/dmorl,https://api.whatsapp.com/send?phone=790439121500901180001890500805080700040501810900180182009704180000218118202183091820509050180700080182051800518100200000200188050180050400060500805
3888,Торговая марка Бетонплит интернет-магазин,79202535278; 78314135278; 79200155200; 74993901990,"Тупиковый пр., 3, Кстово, Кстово",http://betonplit.ru/,info@betonplit.ru; INFO@betonplit.ru,Кстово,,B,35,No,unknown,No,https://t.me/+79202535278,,
3889,Мастерская памятников Орлова Николая,79519034857; 78314544284; 78314524999; 79159424999; 79200479300,"ул. Сутырина, 3, Кстово, Кстово",http://orlov-52.ru/,nikorlov19@mail.ru,Кстово,,B,35,No,unknown,No,https://t.me/+79519034857,https://vk.com/id251046733,
